,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년04월_계_총인구수,"1,811,619","655,713","338,965","316,748","268,667","285,255","109,763","81,170","83,391","91,976","25,548","24,127","22,277","27,895","28,124","55,021","52,692"
2020년04월_계_연령구간인구수,"1,811,619","655,713","338,965","316,748","268,667","285,255","109,763","81,170","83,391","91,976","25,548","24,127","22,277","27,895","28,124","55,021","52,692"
2020년04월_계_0~9세,"133,951","55,480","25,268","30,212","21,913","20,345","6,737","5,214","4,554","7,389","1,361","1,267","1,205","1,407","1,601","2,805","2,673"
2020년04월_계_10~19세,"178,989","73,314","37,316","35,998","27,302","28,759","9,981","7,533","6,392","8,372","1,676","1,810","1,677","1,779","2,275","4,284","3,835"
2020년04월_계_20~29세,"212,153","92,311","49,122","43,189","29,681","36,688","10,768","7,613","7,355","8,966","1,994","1,861","1,711","2,253","2,137","4,426","4,389"
2020년04월_계_30~39세,"194,215","82,469","40,093","42,376","31,788","29,738","9,248","6,674","6,927","9,901","1,756","1,765","1,655","2,089","2,122","4,036","4,047"
2020년04월_계_40~49세,"272,813","108,083","54,330","53,753","44,101","42,872","15,267","11,007","10,277","13,627","2,840","2,941","2,645","2,997","3,403","6,440","6,313"
2020년04월_계_50~59세,"302,242","105,704","56,990","48,714","44,103","49,730","18,797","13,901","14,135","15,426","4,642","4,243","3,764","4,820","4,636","9,239","9,102"
2020년04월_계_60~69세,"246,819","73,797","40,735","33,062","36,188","39,040","16,357","12,555","14,214","13,304","4,685","4,225","4,116","4,856","4,637","9,410","9,435"
2020년04월_계_70~79세,"166,423","42,590","23,042","19,548","22,116","23,746","13,266","9,685","11,157","8,998","3,793","3,404","3,114","4,319","4,208","8,383","7,644"
2020년04월_계_80~89세,"90,207","19,152","10,471","8,681","9,900","12,384","8,101","6,040","7,197","5,211","2,409","2,262","2,090","2,929","2,713","5,189","4,630"
2020년04월_계_90~99세,"12,982","2,648","1,515","1,133","1,459","1,847","1,136",910,"1,117",744,366,333,278,423,362,773,586
2020년04월_계_100세 이상,825,165,83,82,116,106,105,38,66,38,26,16,22,23,30,36,38
2020년04월_남_총인구수,"900,628","322,894","165,196","157,698","135,704","142,088","54,410","39,786","41,337","47,244","12,888","11,995","11,103","14,219","13,648","27,155","26,157"
2020년04월_남_연령구간인구수,"900,628","322,894","165,196","157,698","135,704","142,088","54,410","39,786","41,337","47,244","12,888","11,995","11,103","14,219","13,648","27,155","26,157"
2020년04월_남_0~9세,"68,693","28,425","13,046","15,379","11,153","10,366","3,462","2,757","2,350","3,746",685,677,625,737,832,"1,482","1,396"
2020년04월_남_10~19세,"92,828","37,912","19,367","18,545","14,151","14,773","5,314","3,900","3,292","4,393",883,915,845,948,"1,163","2,305","2,034"
2020년04월_남_20~29세,"114,373","48,537","25,511","23,026","16,181","19,935","5,911","4,229","4,073","4,971","1,132","1,039",966,"1,321","1,164","2,490","2,424"
2020년04월_남_30~39세,"100,093","41,642","20,343","21,299","16,604","15,552","4,898","3,388","3,707","5,073",846,964,868,"1,147","1,035","2,170","2,199"
2020년04월_남_40~49세,"140,939","52,923","25,977","26,946","23,123","21,923","8,057","5,682","5,807","7,598","1,662","1,650","1,519","1,821","1,938","3,685","3,551"
2020년04월_남_50~59세,"156,080","51,865","27,409","24,456","23,045","25,225","10,062","7,367","7,662","8,587","2,620","2,335","2,121","2,722","2,519","5,027","4,923"
2020년04월_남_60~69세,"121,621","35,189","19,275","15,914","17,880","19,346","8,093","6,257","7,091","6,858","2,458","2,139","2,063","2,554","2,341","4,638","4,714"
2020년04월_남_70~79세,"72,933","18,936","10,256","8,680","9,889","10,499","5,705","4,037","4,830","4,114","1,725","1,410","1,339","1,894","1,687","3,562","3,306"
2020년04월_남_80~89세,"29,991","6,826","3,659","3,167","3,347","4,007","2,634","1,948","2,256","1,739",774,789,690,972,871,"1,656","1,482"
2020년04월_남_90~99세,"2,908",609,337,272,296,440,254,211,257,157,94,73,63,96,97,138,123
2020년04월_남_100세 이상,169,30,16,14,35,22,20,10,12,8,9,4,4,7,1,2,5
2020년04월_여_총인구수,"910,991","332,819","173,769","159,050","132,963","143,167","55,353","41,384","42,054","44,732","12,660","12,132","11,174","13,676","14,476","27,866","26,535"
2020년04월_여_연령구간인구수,"910,991","332,819","173,769","159,050","132,963","143,167","55,353","41,384","42,054","44,732","12,660","12,132","11,174","13,676","14,476","27,866","26,535"
2020년04월_여_0~9세,"65,258","27,055","12,222","14,833","10,760","9,979","3,275","2,457","2,204","3,643",676,590,580,670,769,"1,323","1,277"
2020년04월_여_10~19세,"86,161","35,402","17,949","17,453","13,151","13,986","4,667","3,633","3,100","3,979",793,895,832,831,"1,112","1,979","1,801"
2020년04월_여_20~29세,"97,780","43,774","23,611","20,163","13,500","16,753","4,857","3,384","3,282","3,995",862,822,745,932,973,"1,936","1,965"
2020년04월_여_30~39세,"94,122","40,827","19,750","21,077","15,184","14,186","4,350","3,286","3,220","4,828",910,801,787,942,"1,087","1,866","1,848"
2020년04월_여_40~49세,"131,874","55,160","28,353","26,807","20,978","20,949","7,210","5,325","4,470","6,029","1,178","1,291","1,126","1,176","1,465","2,755","2,762"
2020년04월_여_50~59세,"146,162","53,839","29,581","24,258","21,058","24,505","8,735","6,534","6,473","6,839","2,022","1,908","1,643","2,098","2,117","4,212","4,179"
2020년04월_여_60~69세,"125,198","38,608","21,460","17,148","18,308","19,694","8,264","6,298","7,123","6,446","2,227","2,086","2,053","2,302","2,296","4,772","4,721"
2020년04월_여_70~79세,"93,490","23,654","12,786","10,868","12,227","13,247","7,561","5,648","6,327","4,884","2,068","1,994","1,775","2,425","2,521","4,821","4,338"
2020년04월_여_80~89세,"60,216","12,326","6,812","5,514","6,553","8,377","5,467","4,092","4,941","3,472","1,635","1,473","1,400","1,957","1,842","3,533","3,148"
2020년04월_여_90~99세,"10,074","2,039","1,178",861,"1,163","1,407",882,699,860,587,272,260,215,327,265,635,463
2020년04월_여_100세 이상,656,135,67,68,81,84,85,28,54,30,17,12,18,16,29,34,33
