,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년09월_계_총인구수,"71,250","5,836","1,116","3,189",822,"2,484","3,031","2,403","2,734","1,942","3,559","2,603","5,892","7,102","9,085","3,159","16,293"
2020년09월_계_연령구간인구수,"71,250","5,836","1,116","3,189",822,"2,484","3,031","2,403","2,734","1,942","3,559","2,603","5,892","7,102","9,085","3,159","16,293"
2020년09월_계_0~9세,"4,091",222,42,101,16,59,85,39,53,85,88,73,381,430,673,124,"1,620"
2020년09월_계_10~19세,"5,668",341,64,157,39,298,127,159,105,75,127,94,415,583,873,151,"2,060"
2020년09월_계_20~29세,"6,092",399,70,152,25,144,186,314,142,100,212,114,533,614,848,217,"2,022"
2020년09월_계_30~39세,"5,784",370,49,157,47,105,157,104,117,94,213,131,611,640,826,240,"1,923"
2020년09월_계_40~49세,"8,806",608,105,259,81,179,254,187,230,170,302,190,715,889,"1,339",332,"2,966"
2020년09월_계_50~59세,"12,050","1,052",228,547,175,346,484,387,489,369,607,499,996,"1,155","1,564",547,"2,605"
2020년09월_계_60~69세,"13,214","1,241",258,711,192,561,704,540,600,485,757,640,"1,130","1,386","1,527",668,"1,814"
2020년09월_계_70~79세,"9,312","1,008",172,592,151,390,551,363,543,326,721,476,729,938,923,539,890
2020년09월_계_80~89세,"5,373",503,111,432,80,344,407,269,394,211,468,316,344,413,449,299,333
2020년09월_계_90~99세,805,81,17,78,15,57,74,40,57,27,57,64,35,46,58,40,59
2020년09월_계_100세 이상,55,11,0,3,1,1,2,1,4,0,7,6,3,8,5,2,1
2020년09월_남_총인구수,"34,869","2,825",565,"1,548",424,"1,294","1,504","1,147","1,358",994,"1,687","1,199","2,882","3,423","4,504","1,569","7,946"
2020년09월_남_연령구간인구수,"34,869","2,825",565,"1,548",424,"1,294","1,504","1,147","1,358",994,"1,687","1,199","2,882","3,423","4,504","1,569","7,946"
2020년09월_남_0~9세,"2,131",102,20,48,9,30,43,24,30,45,42,38,216,229,357,56,842
2020년09월_남_10~19세,"3,056",182,34,96,24,194,68,76,60,41,71,48,228,297,507,87,"1,043"
2020년09월_남_20~29세,"3,424",249,44,94,11,80,116,133,91,57,118,69,315,359,514,124,"1,050"
2020년09월_남_30~39세,"3,058",208,27,86,20,63,88,60,72,53,128,74,322,348,417,135,957
2020년09월_남_40~49세,"4,719",339,61,143,47,110,163,110,145,113,195,121,386,467,705,207,"1,407"
2020년09월_남_50~59세,"6,223",546,133,289,100,204,278,217,288,188,338,241,476,572,751,310,"1,292"
2020년09월_남_60~69세,"6,357",580,130,378,118,287,346,281,310,279,371,315,492,606,686,318,860
2020년09월_남_70~79세,"4,031",429,77,256,65,192,252,148,237,138,290,198,314,408,397,243,387
2020년09월_남_80~89세,"1,696",169,37,137,29,122,138,91,113,75,120,80,125,127,155,85,93
2020년09월_남_90~99세,159,17,2,21,1,12,12,7,10,5,10,13,8,8,14,4,15
2020년09월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년09월_여_총인구수,"36,381","3,011",551,"1,641",398,"1,190","1,527","1,256","1,376",948,"1,872","1,404","3,010","3,679","4,581","1,590","8,347"
2020년09월_여_연령구간인구수,"36,381","3,011",551,"1,641",398,"1,190","1,527","1,256","1,376",948,"1,872","1,404","3,010","3,679","4,581","1,590","8,347"
2020년09월_여_0~9세,"1,960",120,22,53,7,29,42,15,23,40,46,35,165,201,316,68,778
2020년09월_여_10~19세,"2,612",159,30,61,15,104,59,83,45,34,56,46,187,286,366,64,"1,017"
2020년09월_여_20~29세,"2,668",150,26,58,14,64,70,181,51,43,94,45,218,255,334,93,972
2020년09월_여_30~39세,"2,726",162,22,71,27,42,69,44,45,41,85,57,289,292,409,105,966
2020년09월_여_40~49세,"4,087",269,44,116,34,69,91,77,85,57,107,69,329,422,634,125,"1,559"
2020년09월_여_50~59세,"5,827",506,95,258,75,142,206,170,201,181,269,258,520,583,813,237,"1,313"
2020년09월_여_60~69세,"6,857",661,128,333,74,274,358,259,290,206,386,325,638,780,841,350,954
2020년09월_여_70~79세,"5,281",579,95,336,86,198,299,215,306,188,431,278,415,530,526,296,503
2020년09월_여_80~89세,"3,677",334,74,295,51,222,269,178,281,136,348,236,219,286,294,214,240
2020년09월_여_90~99세,646,64,15,57,14,45,62,33,47,22,47,51,27,38,44,36,44
2020년09월_여_100세 이상,40,7,0,3,1,1,2,1,2,0,3,4,3,6,4,2,1
