,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년01월_계_총인구수,"388,409","19,743","20,861","17,320","20,092","21,463","16,628","25,237","25,881","18,657","18,837","37,488","36,668","48,769","24,836","35,929"
2021년01월_계_연령구간인구수,"388,409","19,743","20,861","17,320","20,092","21,463","16,628","25,237","25,881","18,657","18,837","37,488","36,668","48,769","24,836","35,929"
2021년01월_계_0~9세,"38,424","1,391","1,532",891,944,"1,395",998,"1,261","2,360","1,374","1,556","3,196","4,864","6,926","3,782","5,954"
2021년01월_계_10~19세,"42,767","1,886","2,232","1,091","1,639","1,707","1,242","1,755","2,678","1,978","2,848","5,473","6,317","5,924","2,837","3,160"
2021년01월_계_20~29세,"52,262","2,699","3,006","2,446","3,150","3,390","2,270","3,531","3,596","2,727","2,568","6,276","3,645","6,289","2,784","3,885"
2021년01월_계_30~39세,"58,001","2,334","2,519","2,305","2,575","3,216","2,247","3,046","3,918","2,597","1,826","4,397","4,488","9,374","4,733","8,426"
2021년01월_계_40~49세,"68,684","3,148","3,335","2,347","3,338","3,073","2,249","3,697","4,213","2,950","3,395","6,634","8,553","9,823","5,188","6,741"
2021년01월_계_50~59세,"64,602","3,727","3,970","3,417","4,014","3,930","3,079","5,294","4,712","3,525","3,390","6,257","5,450","6,078","3,249","4,510"
2021년01월_계_60~69세,"39,268","2,519","2,466","2,914","2,686","2,786","2,521","3,881","2,912","2,189","1,937","3,409","2,177","2,884","1,571","2,416"
2021년01월_계_70~79세,"15,699","1,336","1,154","1,262","1,169","1,188","1,173","1,768",930,819,843,"1,195",759,"1,024",492,587
2021년01월_계_80~89세,"7,303",614,541,555,492,650,694,858,442,445,385,529,343,383,176,196
2021년01월_계_90~99세,"1,335",86,101,88,81,123,148,137,106,49,88,121,68,63,23,53
2021년01월_계_100세 이상,64,3,5,4,4,5,7,9,14,4,1,1,4,1,1,1
2021년01월_남_총인구수,"193,006","9,802","10,327","8,960","10,994","10,575","7,927","13,050","12,706","9,106","9,157","18,400","18,021","23,922","12,271","17,788"
2021년01월_남_연령구간인구수,"193,006","9,802","10,327","8,960","10,994","10,575","7,927","13,050","12,706","9,106","9,157","18,400","18,021","23,922","12,271","17,788"
2021년01월_남_0~9세,"19,586",719,770,470,488,727,499,643,"1,194",710,768,"1,659","2,481","3,497","1,915","3,046"
2021년01월_남_10~19세,"21,961",986,"1,154",564,899,864,654,895,"1,339","1,017","1,455","2,785","3,244","3,030","1,444","1,631"
2021년01월_남_20~29세,"27,069","1,477","1,601","1,369","1,786","1,817","1,151","1,997","1,855","1,395","1,338","3,120","1,857","3,041","1,376","1,889"
2021년01월_남_30~39세,"28,539","1,212","1,231","1,307","1,522","1,678","1,181","1,758","1,930","1,333",804,"2,079","1,876","4,385","2,197","4,046"
2021년01월_남_40~49세,"33,880","1,549","1,661","1,319","1,912","1,515","1,058","1,967","2,016","1,366","1,543","3,051","4,014","4,843","2,604","3,462"
2021년01월_남_50~59세,"31,860","1,816","1,908","1,618","2,187","1,844","1,409","2,681","2,218","1,654","1,679","3,136","2,906","3,042","1,637","2,125"
2021년01월_남_60~69세,"20,173","1,237","1,246","1,513","1,449","1,405","1,261","1,992","1,524","1,111","1,026","1,772","1,158","1,469",785,"1,225"
2021년01월_남_70~79세,"7,246",578,552,587,567,509,497,795,458,369,384,588,347,473,246,296
2021년01월_남_80~89세,"2,373",205,176,194,163,186,192,289,139,135,137,183,125,125,65,59
2021년01월_남_90~99세,302,23,26,19,21,28,23,29,29,15,23,27,12,16,2,9
2021년01월_남_100세 이상,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2021년01월_여_총인구수,"195,403","9,941","10,534","8,360","9,098","10,888","8,701","12,187","13,175","9,551","9,680","19,088","18,647","24,847","12,565","18,141"
2021년01월_여_연령구간인구수,"195,403","9,941","10,534","8,360","9,098","10,888","8,701","12,187","13,175","9,551","9,680","19,088","18,647","24,847","12,565","18,141"
2021년01월_여_0~9세,"18,838",672,762,421,456,668,499,618,"1,166",664,788,"1,537","2,383","3,429","1,867","2,908"
2021년01월_여_10~19세,"20,806",900,"1,078",527,740,843,588,860,"1,339",961,"1,393","2,688","3,073","2,894","1,393","1,529"
2021년01월_여_20~29세,"25,193","1,222","1,405","1,077","1,364","1,573","1,119","1,534","1,741","1,332","1,230","3,156","1,788","3,248","1,408","1,996"
2021년01월_여_30~39세,"29,462","1,122","1,288",998,"1,053","1,538","1,066","1,288","1,988","1,264","1,022","2,318","2,612","4,989","2,536","4,380"
2021년01월_여_40~49세,"34,804","1,599","1,674","1,028","1,426","1,558","1,191","1,730","2,197","1,584","1,852","3,583","4,539","4,980","2,584","3,279"
2021년01월_여_50~59세,"32,742","1,911","2,062","1,799","1,827","2,086","1,670","2,613","2,494","1,871","1,711","3,121","2,544","3,036","1,612","2,385"
2021년01월_여_60~69세,"19,095","1,282","1,220","1,401","1,237","1,381","1,260","1,889","1,388","1,078",911,"1,637","1,019","1,415",786,"1,191"
2021년01월_여_70~79세,"8,453",758,602,675,602,679,676,973,472,450,459,607,412,551,246,291
2021년01월_여_80~89세,"4,930",409,365,361,329,464,502,569,303,310,248,346,218,258,111,137
2021년01월_여_90~99세,"1,033",63,75,69,60,95,125,108,77,34,65,94,56,47,21,44
2021년01월_여_100세 이상,47,3,3,4,4,3,5,5,10,3,1,1,3,0,1,1
