,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년02월_계_총인구수,"46,447","20,719","4,557","3,029","5,910","2,410","2,407","3,520","2,144","1,751"
2021년02월_계_연령구간인구수,"46,447","20,719","4,557","3,029","5,910","2,410","2,407","3,520","2,144","1,751"
2021년02월_계_0~9세,"2,151","1,447",127,68,248,39,31,88,67,36
2021년02월_계_10~19세,"3,430","1,984",215,439,383,87,70,115,67,70
2021년02월_계_20~29세,"3,802","2,246",370,140,395,125,120,203,117,86
2021년02월_계_30~39세,"3,416","2,014",258,126,431,111,92,177,133,74
2021년02월_계_40~49세,"5,094","2,949",419,187,650,167,162,274,157,129
2021년02월_계_50~59세,"8,693","3,650",901,561,"1,184",455,511,696,390,345
2021년02월_계_60~69세,"10,399","3,333","1,162",798,"1,419",739,749,"1,005",654,540
2021년02월_계_70~79세,"5,582","1,820",658,423,704,404,396,545,311,321
2021년02월_계_80~89세,"3,320","1,070",384,244,438,244,234,349,216,141
2021년02월_계_90~99세,523,193,57,40,53,36,40,65,30,9
2021년02월_계_100세 이상,37,13,6,3,5,3,2,3,2,0
2021년02월_남_총인구수,"23,810","10,423","2,386","1,549","3,088","1,246","1,220","1,841","1,139",918
2021년02월_남_연령구간인구수,"23,810","10,423","2,386","1,549","3,088","1,246","1,220","1,841","1,139",918
2021년02월_남_0~9세,"1,137",763,67,39,129,19,11,48,41,20
2021년02월_남_10~19세,"1,793","1,017",114,227,210,44,40,60,34,47
2021년02월_남_20~29세,"2,157","1,225",238,88,220,68,72,124,70,52
2021년02월_남_30~39세,"1,787","1,005",140,66,248,56,47,107,78,40
2021년02월_남_40~49세,"2,834","1,595",239,100,370,94,93,176,93,74
2021년02월_남_50~59세,"4,623","1,910",489,295,643,238,272,374,215,187
2021년02월_남_60~69세,"5,404","1,675",609,423,739,403,403,528,353,271
2021년02월_남_70~79세,"2,714",791,337,212,352,216,199,279,163,165
2021년02월_남_80~89세,"1,229",388,137,94,167,100,74,129,81,59
2021년02월_남_90~99세,122,51,16,5,10,6,8,13,10,3
2021년02월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2021년02월_여_총인구수,"22,637","10,296","2,171","1,480","2,822","1,164","1,187","1,679","1,005",833
2021년02월_여_연령구간인구수,"22,637","10,296","2,171","1,480","2,822","1,164","1,187","1,679","1,005",833
2021년02월_여_0~9세,"1,014",684,60,29,119,20,20,40,26,16
2021년02월_여_10~19세,"1,637",967,101,212,173,43,30,55,33,23
2021년02월_여_20~29세,"1,645","1,021",132,52,175,57,48,79,47,34
2021년02월_여_30~39세,"1,629","1,009",118,60,183,55,45,70,55,34
2021년02월_여_40~49세,"2,260","1,354",180,87,280,73,69,98,64,55
2021년02월_여_50~59세,"4,070","1,740",412,266,541,217,239,322,175,158
2021년02월_여_60~69세,"4,995","1,658",553,375,680,336,346,477,301,269
2021년02월_여_70~79세,"2,868","1,029",321,211,352,188,197,266,148,156
2021년02월_여_80~89세,"2,091",682,247,150,271,144,160,220,135,82
2021년02월_여_90~99세,401,142,41,35,43,30,32,52,20,6
2021년02월_여_100세 이상,27,10,6,3,5,1,1,0,1,0
