카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년11월_계_총인구수,"29,239","10,641","5,446","2,495","2,111","3,305","1,941","1,540","1,760"
2020년11월_계_연령구간인구수,"29,239","10,641","5,446","2,495","2,111","3,305","1,941","1,540","1,760"
2020년11월_계_0~9세,"1,201",634,262,60,61,80,48,21,35
2020년11월_계_10~19세,"2,013",956,411,101,145,175,78,37,110
2020년11월_계_20~29세,"2,260","1,136",480,119,101,150,93,75,106
2020년11월_계_30~39세,"2,036","1,047",426,101,84,143,79,73,83
2020년11월_계_40~49세,"3,335","1,504",693,190,196,333,152,125,142
2020년11월_계_50~59세,"5,726","1,996","1,010",533,404,705,407,309,362
2020년11월_계_60~69세,"6,323","1,805","1,019",653,553,824,563,442,464
2020년11월_계_70~79세,"3,915",984,745,439,366,544,314,263,260
2020년11월_계_80~89세,"2,122",507,358,249,179,305,183,171,170
2020년11월_계_90~99세,286,70,41,43,19,45,23,24,21
2020년11월_계_100세 이상,22,2,1,7,3,1,1,0,7
2020년11월_남_총인구수,"14,818","5,340","2,819","1,239","1,140","1,587","1,048",780,865
2020년11월_남_연령구간인구수,"14,818","5,340","2,819","1,239","1,140","1,587","1,048",780,865
2020년11월_남_0~9세,620,322,138,29,40,37,24,11,19
2020년11월_남_10~19세,"1,078",487,224,57,96,100,50,14,50
2020년11월_남_20~29세,"1,323",639,294,57,63,92,68,44,66
2020년11월_남_30~39세,"1,078",543,235,52,47,78,43,39,41
2020년11월_남_40~49세,"1,835",790,402,106,115,169,91,80,82
2020년11월_남_50~59세,"3,075","1,072",549,298,218,364,214,168,192
2020년11월_남_60~69세,"3,244",880,506,343,290,390,333,252,250
2020년11월_남_70~79세,"1,752",423,325,194,195,244,147,116,108
2020년11월_남_80~89세,732,170,134,89,70,105,68,49,47
2020년11월_남_90~99세,72,12,11,11,6,7,9,7,9
2020년11월_남_100세 이상,9,2,1,3,0,1,1,0,1
2020년11월_여_총인구수,"14,421","5,301","2,627","1,256",971,"1,718",893,760,895
2020년11월_여_연령구간인구수,"14,421","5,301","2,627","1,256",971,"1,718",893,760,895
2020년11월_여_0~9세,581,312,124,31,21,43,24,10,16
2020년11월_여_10~19세,935,469,187,44,49,75,28,23,60
2020년11월_여_20~29세,937,497,186,62,38,58,25,31,40
2020년11월_여_30~39세,958,504,191,49,37,65,36,34,42
2020년11월_여_40~49세,"1,500",714,291,84,81,164,61,45,60
2020년11월_여_50~59세,"2,651",924,461,235,186,341,193,141,170
2020년11월_여_60~69세,"3,079",925,513,310,263,434,230,190,214
2020년11월_여_70~79세,"2,163",561,420,245,171,300,167,147,152
2020년11월_여_80~89세,"1,390",337,224,160,109,200,115,122,123
2020년11월_여_90~99세,214,58,30,32,13,38,14,17,12
2020년11월_여_100세 이상,13,0,0,4,3,0,0,0,6
