,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년03월_계_총인구수,"421,315","20,801","22,083","32,128","31,241","27,813","11,467","32,089","15,889","22,352","19,211","21,008","17,062","19,954","20,529","23,633","43,885","22,249","17,921"
2021년03월_계_연령구간인구수,"421,315","20,801","22,083","32,128","31,241","27,813","11,467","32,089","15,889","22,352","19,211","21,008","17,062","19,954","20,529","23,633","43,885","22,249","17,921"
2021년03월_계_0~9세,"33,159","1,480","1,912","1,757","2,961","2,115",544,"3,032","1,824","1,985","1,672","1,500","1,139","1,154","1,274","1,654","3,814","1,413","1,929"
2021년03월_계_10~19세,"45,074","1,930","1,972","2,840","4,215","3,405","1,839","3,510","2,794","2,959","2,174","2,729","1,332","1,606","1,907","2,632","4,313","1,594","1,323"
2021년03월_계_20~29세,"54,237","2,775","3,111","5,237","3,543","3,587","1,456","4,146","1,334","2,506","2,245","2,663","2,458","2,814","2,663","3,140","5,315","3,336","1,908"
2021년03월_계_30~39세,"62,192","3,539","4,378","5,488","3,589","3,741",842,"5,369","1,498","2,626","2,606","2,410","2,934","3,079","2,792","3,538","6,643","4,449","2,671"
2021년03월_계_40~49세,"76,596","3,793","4,002","5,088","6,360","5,375","2,095","6,600","3,664","4,521","3,546","3,936","2,763","3,067","3,121","4,282","7,643","3,696","3,044"
2021년03월_계_50~59세,"63,204","3,005","2,921","4,898","4,810","4,619","2,138","4,178","2,136","3,552","2,881","3,449","2,445","3,109","3,399","3,595","6,239","3,360","2,470"
2021년03월_계_60~69세,"47,753","2,360","2,114","3,696","3,048","2,840","1,246","2,999","1,347","2,251","2,322","2,278","2,120","2,865","3,081","2,403","5,654","2,634","2,495"
2021년03월_계_70~79세,"27,350","1,347","1,234","2,186","1,855","1,404",949,"1,633",917,"1,323","1,246","1,321","1,324","1,637","1,609","1,620","2,996","1,288","1,461"
2021년03월_계_80~89세,"9,860",482,365,794,715,595,314,524,315,510,424,613,474,526,575,685,"1,041",386,522
2021년03월_계_90~99세,"1,751",90,67,136,124,115,38,91,50,101,92,104,67,92,104,81,222,88,89
2021년03월_계_100세 이상,139,0,7,8,21,17,6,7,10,18,3,5,6,5,4,3,5,5,9
2021년03월_남_총인구수,"201,619","10,035","10,515","15,590","15,183","13,347","5,431","15,540","7,605","10,613","9,079","9,753","7,992","9,339","9,928","10,803","21,000","11,137","8,729"
2021년03월_남_연령구간인구수,"201,619","10,035","10,515","15,590","15,183","13,347","5,431","15,540","7,605","10,613","9,079","9,753","7,992","9,339","9,928","10,803","21,000","11,137","8,729"
2021년03월_남_0~9세,"17,125",770,933,927,"1,576","1,113",282,"1,507",969,"1,036",878,772,579,582,658,829,"1,966",778,970
2021년03월_남_10~19세,"22,966","1,001","1,053","1,626","2,169","1,742",932,"1,803","1,379","1,511","1,118","1,272",709,802,977,"1,201","2,207",792,672
2021년03월_남_20~29세,"26,063","1,341","1,403","2,432","1,721","1,714",712,"1,870",658,"1,246","1,091","1,253","1,166","1,385","1,388","1,381","2,621","1,679","1,002"
2021년03월_남_30~39세,"28,625","1,634","1,962","2,594","1,526","1,713",373,"2,484",576,"1,149","1,147","1,055","1,323","1,440","1,339","1,574","3,180","2,319","1,237"
2021년03월_남_40~49세,"35,963","1,818","1,919","2,405","2,949","2,457",856,"3,291","1,672","2,033","1,618","1,737","1,276","1,429","1,417","1,914","3,732","1,890","1,550"
2021년03월_남_50~59세,"31,139","1,460","1,465","2,412","2,507","2,344","1,083","2,184","1,152","1,800","1,365","1,728","1,134","1,410","1,589","1,732","2,963","1,654","1,157"
2021년03월_남_60~69세,"22,072","1,126",987,"1,737","1,439","1,342",599,"1,402",628,"1,026","1,058","1,064",954,"1,251","1,463","1,099","2,486","1,239","1,172"
2021년03월_남_70~79세,"12,838",654,582,"1,060",900,645,418,756,411,575,595,583,613,775,804,737,"1,399",604,727
