,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년05월_계_총인구수,"1,810,097","655,607","338,482","317,125","268,558","284,746","109,646","81,067","83,384","91,835","25,514","24,089","22,230","27,807","28,040","54,950","52,624"
2020년05월_계_연령구간인구수,"1,810,097","655,607","338,482","317,125","268,558","284,746","109,646","81,067","83,384","91,835","25,514","24,089","22,230","27,807","28,040","54,950","52,624"
2020년05월_계_0~9세,"133,311","55,268","25,100","30,168","21,821","20,198","6,699","5,201","4,528","7,326","1,355","1,266","1,207","1,399","1,582","2,793","2,668"
2020년05월_계_10~19세,"178,351","73,030","37,037","35,993","27,242","28,641","9,931","7,487","6,377","8,360","1,674","1,810","1,663","1,777","2,260","4,263","3,836"
2020년05월_계_20~29세,"211,775","92,289","49,133","43,156","29,659","36,562","10,749","7,605","7,353","8,942","1,991","1,828","1,697","2,209","2,135","4,391","4,365"
2020년05월_계_30~39세,"193,615","82,442","40,026","42,416","31,664","29,551","9,201","6,646","6,901","9,819","1,750","1,761","1,641","2,073","2,105","4,032","4,029"
2020년05월_계_40~49세,"272,051","107,814","54,083","53,731","44,011","42,722","15,227","10,983","10,247","13,587","2,819","2,923","2,630","2,982","3,397","6,396","6,313"
2020년05월_계_50~59세,"302,137","105,932","57,059","48,873","44,090","49,660","18,767","13,852","14,147","15,398","4,619","4,236","3,731","4,812","4,594","9,253","9,046"
2020년05월_계_60~69세,"247,433","73,990","40,769","33,221","36,294","39,145","16,376","12,592","14,207","13,347","4,703","4,244","4,147","4,866","4,647","9,436","9,439"
2020년05월_계_70~79세,"167,140","42,825","23,175","19,650","22,269","23,903","13,314","9,700","11,235","9,037","3,800","3,398","3,113","4,313","4,204","8,380","7,649"
2020년05월_계_80~89세,"90,416","19,193","10,500","8,693","9,925","12,399","8,145","6,053","7,191","5,222","2,416","2,276","2,099","2,933","2,726","5,191","4,647"
2020년05월_계_90~99세,"13,032","2,662","1,520","1,142","1,466","1,858","1,130",909,"1,130",756,360,331,280,420,360,779,591
2020년05월_계_100세 이상,836,162,80,82,117,107,107,39,68,41,27,16,22,23,30,36,41
2020년05월_남_총인구수,"899,894","322,832","164,941","157,891","135,674","141,842","54,361","39,729","41,319","47,142","12,877","11,976","11,078","14,184","13,613","27,135","26,132"
2020년05월_남_연령구간인구수,"899,894","322,832","164,941","157,891","135,674","141,842","54,361","39,729","41,319","47,142","12,877","11,976","11,078","14,184","13,613","27,135","26,132"
2020년05월_남_0~9세,"68,392","28,320","12,952","15,368","11,112","10,298","3,430","2,756","2,342","3,715",684,678,627,727,825,"1,483","1,395"
2020년05월_남_10~19세,"92,432","37,730","19,201","18,529","14,120","14,691","5,295","3,870","3,274","4,383",880,911,836,952,"1,154","2,299","2,037"
2020년05월_남_20~29세,"114,250","48,541","25,553","22,988","16,183","19,882","5,897","4,234","4,074","4,960","1,130","1,024",962,"1,295","1,174","2,474","2,420"
2020년05월_남_30~39세,"99,777","41,601","20,275","21,326","16,537","15,481","4,881","3,378","3,691","5,023",847,961,861,"1,136","1,026","2,166","2,188"
2020년05월_남_40~49세,"140,513","52,810","25,870","26,940","23,082","21,834","8,033","5,655","5,780","7,570","1,652","1,637","1,505","1,814","1,937","3,655","3,549"
2020년05월_남_50~59세,"156,109","52,000","27,450","24,550","23,068","25,188","10,069","7,355","7,676","8,568","2,611","2,329","2,101","2,716","2,490","5,034","4,904"
2020년05월_남_60~69세,"121,940","35,298","19,292","16,006","17,922","19,404","8,103","6,264","7,089","6,880","2,462","2,153","2,085","2,572","2,339","4,654","4,715"
2020년05월_남_70~79세,"73,281","19,032","10,318","8,714","9,957","10,577","5,731","4,051","4,871","4,132","1,728","1,407","1,339","1,894","1,687","3,568","3,307"
2020년05월_남_80~89세,"30,118","6,853","3,671","3,182","3,359","4,030","2,647","1,948","2,253","1,743",782,798,696,977,884,"1,663","1,485"
2020년05월_남_90~99세,"2,910",617,343,274,298,435,254,208,256,159,92,74,62,94,96,138,127
2020년05월_남_100세 이상,172,30,16,14,36,22,21,10,13,9,9,4,4,7,1,1,5
2020년05월_여_총인구수,"910,203","332,775","173,541","159,234","132,884","142,904","55,285","41,338","42,065","44,693","12,637","12,113","11,152","13,623","14,427","27,815","26,492"
2020년05월_여_연령구간인구수,"910,203","332,775","173,541","159,234","132,884","142,904","55,285","41,338","42,065","44,693","12,637","12,113","11,152","13,623","14,427","27,815","26,492"
2020년05월_여_0~9세,"64,919","26,948","12,148","14,800","10,709","9,900","3,269","2,445","2,186","3,611",671,588,580,672,757,"1,310","1,273"
2020년05월_여_10~19세,"85,919","35,300","17,836","17,464","13,122","13,950","4,636","3,617","3,103","3,977",794,899,827,825,"1,106","1,964","1,799"
2020년05월_여_20~29세,"97,525","43,748","23,580","20,168","13,476","16,680","4,852","3,371","3,279","3,982",861,804,735,914,961,"1,917","1,945"
2020년05월_여_30~39세,"93,838","40,841","19,751","21,090","15,127","14,070","4,320","3,268","3,210","4,796",903,800,780,937,"1,079","1,866","1,841"
2020년05월_여_40~49세,"131,538","55,004","28,213","26,791","20,929","20,888","7,194","5,328","4,467","6,017","1,167","1,286","1,125","1,168","1,460","2,741","2,764"
2020년05월_여_50~59세,"146,028","53,932","29,609","24,323","21,022","24,472","8,698","6,497","6,471","6,830","2,008","1,907","1,630","2,096","2,104","4,219","4,142"
2020년05월_여_60~69세,"125,493","38,692","21,477","17,215","18,372","19,741","8,273","6,328","7,118","6,467","2,241","2,091","2,062","2,294","2,308","4,782","4,724"
2020년05월_여_70~79세,"93,859","23,793","12,857","10,936","12,312","13,326","7,583","5,649","6,364","4,905","2,072","1,991","1,774","2,419","2,517","4,812","4,342"
2020년05월_여_80~89세,"60,298","12,340","6,829","5,511","6,566","8,369","5,498","4,105","4,938","3,479","1,634","1,478","1,403","1,956","1,842","3,528","3,162"
2020년05월_여_90~99세,"10,122","2,045","1,177",868,"1,168","1,423",876,701,874,597,268,257,218,326,264,641,464
2020년05월_여_100세 이상,664,132,64,68,81,85,86,29,55,32,18,12,18,16,29,35,36
