,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년10월_계_총인구수,"189,732","60,305","5,368","7,370","3,335","5,941","15,453","5,257","6,510","7,626","7,020","3,770","1,952","12,387","24,840","22,598"
2021년10월_계_연령구간인구수,"189,732","60,305","5,368","7,370","3,335","5,941","15,453","5,257","6,510","7,626","7,020","3,770","1,952","12,387","24,840","22,598"
2021년10월_계_0~9세,"13,297","5,620",165,363,82,201,"1,277",131,380,269,221,72,48,680,"2,020","1,768"
2021년10월_계_10~19세,"18,013","7,538",292,608,139,266,"1,080",262,388,486,477,341,81,"1,004","2,577","2,474"
2021년10월_계_20~29세,"23,260","7,092",492,737,285,559,"2,119",454,787,675,712,481,201,"1,576","3,803","3,287"
2021년10월_계_30~39세,"22,791","8,249",414,618,232,550,"2,481",375,947,594,523,271,138,"1,334","3,373","2,692"
2021년10월_계_40~49세,"30,150","12,084",527,980,340,728,"2,639",537,924,814,756,332,175,"1,678","4,106","3,530"
2021년10월_계_50~59세,"31,811","9,216","1,004","1,326",655,"1,094","2,354","1,024","1,221","1,320","1,398",657,368,"2,215","4,003","3,956"
2021년10월_계_60~69세,"27,580","5,916","1,248","1,495",784,"1,307","2,049","1,270","1,075","1,808","1,540",812,497,"2,067","2,936","2,776"
2021년10월_계_70~79세,"13,838","2,979",692,700,447,706,918,642,492,977,814,469,240,"1,108","1,314","1,340"
2021년10월_계_80~89세,"7,827","1,417",455,468,327,462,471,455,253,584,517,301,171,625,631,690
2021년10월_계_90~99세,"1,129",187,77,73,43,65,64,104,43,94,60,33,31,97,77,81
2021년10월_계_100세 이상,36,7,2,2,1,3,1,3,0,5,2,1,2,3,0,4
2021년10월_남_총인구수,"97,969","30,479","2,839","3,668","1,765","3,241","8,665","2,743","3,674","4,008","3,756","1,932","1,019","6,210","12,623","11,347"
2021년10월_남_연령구간인구수,"97,969","30,479","2,839","3,668","1,765","3,241","8,665","2,743","3,674","4,008","3,756","1,932","1,019","6,210","12,623","11,347"
2021년10월_남_0~9세,"6,858","2,874",86,195,46,101,695,68,218,137,114,33,24,329,"1,044",894
2021년10월_남_10~19세,"9,358","3,880",174,302,76,146,560,127,221,274,251,149,44,505,"1,343","1,306"
2021년10월_남_20~29세,"12,884","3,819",293,411,178,348,"1,212",260,480,380,402,247,118,865,"2,053","1,818"
2021년10월_남_30~39세,"12,475","4,280",246,321,138,347,"1,495",218,581,361,332,173,83,712,"1,790","1,398"
2021년10월_남_40~49세,"16,153","6,193",311,509,204,448,"1,590",317,570,488,444,204,104,888,"2,132","1,751"
2021년10월_남_50~59세,"16,871","4,792",551,703,372,608,"1,371",580,662,721,804,357,195,"1,144","2,034","1,977"
2021년10월_남_60~69세,"13,949","2,805",682,746,409,721,"1,083",687,594,923,825,425,259,"1,004","1,435","1,351"
2021년10월_남_70~79세,"6,366","1,320",319,296,214,342,457,305,245,490,375,226,117,499,569,592
2021년10월_남_80~89세,"2,809",475,163,170,117,166,191,161,86,215,193,113,70,244,204,241
2021년10월_남_90~99세,239,39,14,14,11,13,11,20,17,18,15,5,5,19,19,19
2021년10월_남_100세 이상,7,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년10월_여_총인구수,"91,763","29,826","2,529","3,702","1,570","2,700","6,788","2,514","2,836","3,618","3,264","1,838",933,"6,177","12,217","11,251"
2021년10월_여_연령구간인구수,"91,763","29,826","2,529","3,702","1,570","2,700","6,788","2,514","2,836","3,618","3,264","1,838",933,"6,177","12,217","11,251"
2021년10월_여_0~9세,"6,439","2,746",79,168,36,100,582,63,162,132,107,39,24,351,976,874
2021년10월_여_10~19세,"8,655","3,658",118,306,63,120,520,135,167,212,226,192,37,499,"1,234","1,168"
2021년10월_여_20~29세,"10,376","3,273",199,326,107,211,907,194,307,295,310,234,83,711,"1,750","1,469"
2021년10월_여_30~39세,"10,316","3,969",168,297,94,203,986,157,366,233,191,98,55,622,"1,583","1,294"
2021년10월_여_40~49세,"13,997","5,891",216,471,136,280,"1,049",220,354,326,312,128,71,790,"1,974","1,779"
2021년10월_여_50~59세,"14,940","4,424",453,623,283,486,983,444,559,599,594,300,173,"1,071","1,969","1,979"
2021년10월_여_60~69세,"13,631","3,111",566,749,375,586,966,583,481,885,715,387,238,"1,063","1,501","1,425"
2021년10월_여_70~79세,"7,472","1,659",373,404,233,364,461,337,247,487,439,243,123,609,745,748
2021년10월_여_80~89세,"5,018",942,292,298,210,296,280,294,167,369,324,188,101,381,427,449
2021년10월_여_90~99세,890,148,63,59,32,52,53,84,26,76,45,28,26,78,58,62
2021년10월_여_100세 이상,29,5,2,1,1,2,1,3,0,4,1,1,2,2,0,4
