카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년08월_계_총인구수,"267,982","3,203","4,724","3,452","2,712","2,614","5,103","3,033","2,945","2,224","3,508","3,069","2,426","5,731","7,314","5,809","4,241","12,917","22,183","7,573","5,606","2,932","55,600","12,967","24,006","32,806","16,873","12,411"
2020년08월_계_연령구간인구수,"267,982","3,203","4,724","3,452","2,712","2,614","5,103","3,033","2,945","2,224","3,508","3,069","2,426","5,731","7,314","5,809","4,241","12,917","22,183","7,573","5,606","2,932","55,600","12,967","24,006","32,806","16,873","12,411"
2020년08월_계_0~9세,"21,450",96,582,181,70,76,160,77,97,47,115,124,122,222,372,181,209,"1,117","2,510",414,316,166,"6,887",693,"1,830","2,785","1,244",757
2020년08월_계_10~19세,"27,060",113,372,347,119,114,246,156,142,104,188,138,142,416,628,339,209,"1,142","2,093",490,487,257,"7,760","1,206","2,948","4,329","1,673",902
2020년08월_계_20~29세,"29,568",252,384,246,234,168,349,271,254,135,337,259,169,479,813,595,408,"1,429","2,537",739,646,311,"6,638","1,616","2,964","4,212","1,808","1,315"
2020년08월_계_30~39세,"31,258",198,716,216,150,165,373,177,197,125,284,228,225,496,594,430,569,"1,712","3,789",778,579,265,"7,884","1,356","2,242","3,732","2,166","1,612"
2020년08월_계_40~49세,"43,758",325,734,494,262,256,545,309,291,231,526,382,272,742,988,640,569,"1,958","3,608","1,111",749,375,"10,920","1,881","3,977","6,247","3,191","2,175"
2020년08월_계_50~59세,"43,934",590,684,562,507,467,837,617,597,390,744,467,380,986,"1,124",981,658,"2,073","3,126","1,257","1,011",489,"7,834","2,422","4,144","5,548","3,088","2,351"
2020년08월_계_60~69세,"36,776",685,605,587,605,575,"1,133",658,635,500,714,611,506,"1,151","1,344","1,169",775,"1,760","2,561","1,377","1,013",522,"4,473","2,172","3,269","3,385","2,189","1,802"
2020년08월_계_70~79세,"22,553",555,372,458,436,415,858,470,451,395,411,544,442,842,"1,018",978,599,"1,223","1,350","1,012",578,344,"2,197","1,156","1,670","1,746","1,050",983
2020년08월_계_80~89세,"9,985",331,234,311,266,307,508,261,237,253,167,266,143,340,377,435,206,448,523,343,194,175,865,400,842,732,374,447
2020년08월_계_90~99세,"1,521",53,41,50,59,63,87,33,43,41,18,44,18,45,51,57,36,52,82,48,32,26,137,65,117,85,79,59
2020년08월_계_100세 이상,119,5,0,0,4,8,7,4,1,3,4,6,7,12,5,4,3,3,4,4,1,2,5,0,3,5,11,8
2020년08월_남_총인구수,"135,367","1,643","2,411","1,774","1,366","1,306","2,531","1,544","1,486","1,161","1,980","1,557","1,174","2,865","3,642","2,843","2,171","6,488","11,293","3,806","2,809","1,505","27,661","6,486","11,609","16,376","9,158","6,722"
2020년08월_남_연령구간인구수,"135,367","1,643","2,411","1,774","1,366","1,306","2,531","1,544","1,486","1,161","1,980","1,557","1,174","2,865","3,642","2,843","2,171","6,488","11,293","3,806","2,809","1,505","27,661","6,486","11,609","16,376","9,158","6,722"
2020년08월_남_0~9세,"10,939",46,299,93,35,42,78,39,42,30,61,70,56,119,193,94,122,588,"1,286",212,153,78,"3,505",358,901,"1,408",648,383
2020년08월_남_10~19세,"13,990",60,181,189,64,54,141,85,69,55,103,71,69,211,321,167,107,588,"1,119",255,251,148,"4,026",645,"1,457","2,211",863,480
2020년08월_남_20~29세,"16,161",159,220,143,137,102,197,162,154,83,205,148,78,281,466,347,210,752,"1,333",405,359,190,"3,455",914,"1,613","2,283","1,006",759
2020년08월_남_30~39세,"16,315",127,351,111,86,101,200,103,101,72,186,128,116,260,308,237,334,895,"1,982",451,313,149,"3,779",741,"1,093","1,891","1,252",948
2020년08월_남_40~49세,"22,967",200,415,287,170,162,329,174,162,141,345,231,157,396,524,357,325,"1,042","1,893",626,375,190,"5,372",919,"1,866","3,129","1,843","1,337"
2020년08월_남_50~59세,"22,977",333,371,336,276,265,476,330,307,238,425,266,189,529,574,498,337,"1,082","1,589",640,477,245,"4,055","1,180","2,081","2,787","1,751","1,340"
