,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2020년07월_계_총인구수,"91,828","14,103","26,078","7,188","4,479","14,496","6,222","5,840","4,752","1,926","1,945","2,739","1,085",975
2020년07월_계_연령구간인구수,"91,828","14,103","26,078","7,188","4,479","14,496","6,222","5,840","4,752","1,926","1,945","2,739","1,085",975
2020년07월_계_0~9세,"7,213",717,"3,090",406,314,"1,738",247,199,242,66,55,77,39,23
2020년07월_계_10~19세,"8,352","1,209","3,346",534,401,"1,356",343,393,286,122,65,214,42,41
2020년07월_계_20~29세,"8,977","1,643","2,644",720,400,"1,460",573,564,401,129,104,215,79,45
2020년07월_계_30~39세,"9,675","1,209","3,540",612,377,"2,320",453,372,360,110,81,132,56,53
2020년07월_계_40~49세,"13,623","2,070","4,710",961,662,"2,535",619,614,562,200,194,316,99,81
2020년07월_계_50~59세,"15,331","2,434","3,610","1,315",802,"2,163","1,259","1,226",888,339,392,470,259,174
2020년07월_계_60~69세,"13,520","2,269","2,509","1,255",728,"1,514","1,318","1,206",851,382,447,547,259,235
2020년07월_계_70~79세,"9,094","1,496","1,624",853,505,902,842,755,678,326,361,417,149,186
2020년07월_계_80~89세,"5,231",927,856,459,239,446,501,441,421,203,218,301,92,127
2020년07월_계_90~99세,768,124,143,66,45,58,61,66,62,46,28,49,11,9
2020년07월_계_100세 이상,44,5,6,7,6,4,6,4,1,3,0,1,0,1
2020년07월_남_총인구수,"47,139","7,244","13,571","3,722","2,288","7,284","3,210","2,929","2,442",974,968,"1,448",561,498
2020년07월_남_연령구간인구수,"47,139","7,244","13,571","3,722","2,288","7,284","3,210","2,929","2,442",974,968,"1,448",561,498
2020년07월_남_0~9세,"3,630",345,"1,601",194,160,876,118,85,121,37,24,40,21,8
2020년07월_남_10~19세,"4,371",616,"1,761",295,204,674,190,200,173,60,42,114,19,23
2020년07월_남_20~29세,"4,986",921,"1,512",420,234,726,312,294,239,71,54,123,46,34
2020년07월_남_30~39세,"4,970",681,"1,747",330,188,"1,138",257,188,198,54,54,78,27,30
2020년07월_남_40~49세,"7,563","1,145","2,591",544,349,"1,371",366,329,329,113,116,196,61,53
2020년07월_남_50~59세,"8,541","1,392","2,034",752,453,"1,140",682,667,491,195,209,294,136,96
2020년07월_남_60~69세,"6,994","1,148","1,270",628,357,779,697,657,446,206,237,294,151,124
2020년07월_남_70~79세,"4,160",664,746,382,252,414,402,353,293,159,154,192,70,79
2020년07월_남_80~89세,"1,753",302,278,155,85,149,175,143,139,68,73,109,28,49
2020년07월_남_90~99세,161,28,29,21,6,17,9,13,12,9,5,8,2,2
2020년07월_남_100세 이상,10,2,2,1,0,0,2,0,1,2,0,0,0,0
2020년07월_여_총인구수,"44,689","6,859","12,507","3,466","2,191","7,212","3,012","2,911","2,310",952,977,"1,291",524,477
2020년07월_여_연령구간인구수,"44,689","6,859","12,507","3,466","2,191","7,212","3,012","2,911","2,310",952,977,"1,291",524,477
2020년07월_여_0~9세,"3,583",372,"1,489",212,154,862,129,114,121,29,31,37,18,15
2020년07월_여_10~19세,"3,981",593,"1,585",239,197,682,153,193,113,62,23,100,23,18
2020년07월_여_20~29세,"3,991",722,"1,132",300,166,734,261,270,162,58,50,92,33,11
2020년07월_여_30~39세,"4,705",528,"1,793",282,189,"1,182",196,184,162,56,27,54,29,23
2020년07월_여_40~49세,"6,060",925,"2,119",417,313,"1,164",253,285,233,87,78,120,38,28
2020년07월_여_50~59세,"6,790","1,042","1,576",563,349,"1,023",577,559,397,144,183,176,123,78
2020년07월_여_60~69세,"6,526","1,121","1,239",627,371,735,621,549,405,176,210,253,108,111
2020년07월_여_70~79세,"4,934",832,878,471,253,488,440,402,385,167,207,225,79,107
2020년07월_여_80~89세,"3,478",625,578,304,154,297,326,298,282,135,145,192,64,78
2020년07월_여_90~99세,607,96,114,45,39,41,52,53,50,37,23,41,9,7
2020년07월_여_100세 이상,34,3,4,6,6,4,4,4,0,1,0,1,0,1
