,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년06월_계_총인구수,"53,475","21,869","4,784","7,022","1,812","1,792","1,387","2,389","2,413","4,090","5,323",407,187
2020년06월_계_연령구간인구수,"53,475","21,869","4,784","7,022","1,812","1,792","1,387","2,389","2,413","4,090","5,323",407,187
2020년06월_계_0~9세,"3,805","2,104",196,649,90,87,60,93,87,149,267,12,11
2020년06월_계_10~19세,"4,276","2,371",265,565,129,80,57,199,70,153,371,13,3
2020년06월_계_20~29세,"5,074","2,441",363,849,147,137,94,164,126,252,466,27,8
2020년06월_계_30~39세,"4,934","2,344",271,941,138,114,126,128,137,276,426,21,12
2020년06월_계_40~49세,"6,687","3,378",475,892,179,153,102,261,192,375,583,72,25
2020년06월_계_50~59세,"8,719","3,430",820,"1,172",289,293,252,393,352,679,920,83,36
2020년06월_계_60~69세,"8,367","2,814",854,870,319,334,291,411,453,919,946,105,51
2020년06월_계_70~79세,"7,120","1,927",928,701,296,314,239,425,544,839,831,43,33
2020년06월_계_80~89세,"3,924",906,542,341,185,243,148,274,408,399,448,23,7
2020년06월_계_90~99세,534,141,64,37,38,36,18,38,43,49,61,8,1
2020년06월_계_100세 이상,35,13,6,5,2,1,0,3,1,0,4,0,0
2020년06월_남_총인구수,"26,665","10,713","2,406","3,679",968,868,686,"1,214","1,156","2,010","2,608",248,109
2020년06월_남_연령구간인구수,"26,665","10,713","2,406","3,679",968,868,686,"1,214","1,156","2,010","2,608",248,109
2020년06월_남_0~9세,"1,940","1,067",93,353,48,49,24,44,50,63,137,6,6
2020년06월_남_10~19세,"2,227","1,220",141,277,98,38,26,110,42,78,187,7,3
2020년06월_남_20~29세,"2,842","1,304",230,490,88,64,49,98,69,155,274,18,3
2020년06월_남_30~39세,"2,549","1,113",163,520,77,56,62,76,75,159,228,14,6
2020년06월_남_40~49세,"3,819","1,724",307,516,120,99,72,173,121,260,352,55,20
2020년06월_남_50~59세,"4,757","1,746",490,667,168,163,141,251,205,372,476,55,23
2020년06월_남_60~69세,"4,182","1,342",421,453,181,178,157,202,225,448,483,64,28
2020년06월_남_70~79세,"3,032",876,372,296,125,134,103,169,215,362,338,23,19
2020년06월_남_80~89세,"1,217",293,172,102,54,80,48,84,148,104,125,6,1
2020년06월_남_90~99세,96,28,14,4,9,7,4,7,6,9,8,0,0
2020년06월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"26,810","11,156","2,378","3,343",844,924,701,"1,175","1,257","2,080","2,715",159,78
2020년06월_여_연령구간인구수,"26,810","11,156","2,378","3,343",844,924,701,"1,175","1,257","2,080","2,715",159,78
2020년06월_여_0~9세,"1,865","1,037",103,296,42,38,36,49,37,86,130,6,5
2020년06월_여_10~19세,"2,049","1,151",124,288,31,42,31,89,28,75,184,6,0
2020년06월_여_20~29세,"2,232","1,137",133,359,59,73,45,66,57,97,192,9,5
2020년06월_여_30~39세,"2,385","1,231",108,421,61,58,64,52,62,117,198,7,6
2020년06월_여_40~49세,"2,868","1,654",168,376,59,54,30,88,71,115,231,17,5
2020년06월_여_50~59세,"3,962","1,684",330,505,121,130,111,142,147,307,444,28,13
2020년06월_여_60~69세,"4,185","1,472",433,417,138,156,134,209,228,471,463,41,23
2020년06월_여_70~79세,"4,088","1,051",556,405,171,180,136,256,329,477,493,20,14
2020년06월_여_80~89세,"2,707",613,370,239,131,163,100,190,260,295,323,17,6
2020년06월_여_90~99세,438,113,50,33,29,29,14,31,37,40,53,8,1
2020년06월_여_100세 이상,31,13,3,4,2,1,0,3,1,0,4,0,0
