,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년05월_계_총인구수,"88,339","10,638","15,415","5,443","32,983","3,106","6,297","4,629","1,981","4,916","2,931"
2021년05월_계_연령구간인구수,"88,339","10,638","15,415","5,443","32,983","3,106","6,297","4,629","1,981","4,916","2,931"
2021년05월_계_0~9세,"8,017",705,"2,386",157,"4,182",48,185,110,58,114,72
2021년05월_계_10~19세,"9,414","1,105","1,589",300,"5,193",125,410,199,87,242,164
2021년05월_계_20~29세,"9,136","1,278","1,097",505,"4,273",234,713,321,139,345,231
2021년05월_계_30~39세,"10,664",937,"2,617",324,"5,442",153,432,255,120,228,156
2021년05월_계_40~49세,"14,025","1,517","2,487",565,"7,189",252,679,396,207,469,264
2021년05월_계_50~59세,"13,016","1,861","1,747","1,120","3,986",596,"1,105",866,329,826,580
2021년05월_계_60~69세,"11,230","1,598","1,584","1,208","1,722",616,"1,253","1,027",475,"1,080",667
2021년05월_계_70~79세,"7,850","1,066","1,156",770,695,577,892,875,361,959,499
2021년05월_계_80~89세,"4,342",514,657,414,263,445,531,506,163,579,270
2021년05월_계_90~99세,620,57,93,77,37,58,87,73,39,72,27
2021년05월_계_100세 이상,25,0,2,3,1,2,10,1,3,2,1
2021년05월_남_총인구수,"44,409","5,309","7,706","2,869","16,323","1,549","3,266","2,352","1,029","2,497","1,509"
2021년05월_남_연령구간인구수,"44,409","5,309","7,706","2,869","16,323","1,549","3,266","2,352","1,029","2,497","1,509"
2021년05월_남_0~9세,"4,135",365,"1,238",73,"2,153",19,101,60,36,61,29
2021년05월_남_10~19세,"4,773",579,787,148,"2,639",70,202,85,47,134,82
2021년05월_남_20~29세,"4,902",716,584,287,"2,127",141,423,189,77,229,129
2021년05월_남_30~39세,"5,430",499,"1,261",185,"2,647",104,264,162,75,132,101
2021년05월_남_40~49세,"7,380",773,"1,360",343,"3,473",161,399,270,134,299,168
2021년05월_남_50~59세,"7,158",983,977,651,"2,073",343,628,515,186,465,337
2021년05월_남_60~69세,"5,656",765,765,667,819,320,663,515,244,545,353
2021년05월_남_70~79세,"3,547",456,529,372,309,260,404,391,165,438,223
2021년05월_남_80~89세,"1,325",165,187,135,76,120,168,151,59,185,79
2021년05월_남_90~99세,100,8,18,8,6,10,14,14,6,9,7
2021년05월_남_100세 이상,3,0,0,0,1,1,0,0,0,0,1
2021년05월_여_총인구수,"43,930","5,329","7,709","2,574","16,660","1,557","3,031","2,277",952,"2,419","1,422"
2021년05월_여_연령구간인구수,"43,930","5,329","7,709","2,574","16,660","1,557","3,031","2,277",952,"2,419","1,422"
2021년05월_여_0~9세,"3,882",340,"1,148",84,"2,029",29,84,50,22,53,43
2021년05월_여_10~19세,"4,641",526,802,152,"2,554",55,208,114,40,108,82
2021년05월_여_20~29세,"4,234",562,513,218,"2,146",93,290,132,62,116,102
2021년05월_여_30~39세,"5,234",438,"1,356",139,"2,795",49,168,93,45,96,55
2021년05월_여_40~49세,"6,645",744,"1,127",222,"3,716",91,280,126,73,170,96
2021년05월_여_50~59세,"5,858",878,770,469,"1,913",253,477,351,143,361,243
2021년05월_여_60~69세,"5,574",833,819,541,903,296,590,512,231,535,314
2021년05월_여_70~79세,"4,303",610,627,398,386,317,488,484,196,521,276
2021년05월_여_80~89세,"3,017",349,470,279,187,325,363,355,104,394,191
2021년05월_여_90~99세,520,49,75,69,31,48,73,59,33,63,20
2021년05월_여_100세 이상,22,0,2,3,0,1,10,1,3,2,0
