,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년01월_계_총인구수,"223,727","4,950","25,120","12,247","12,436","8,743","20,458","15,059","10,465","13,927","18,360","20,534","12,289","10,990","14,538","2,491","21,120"
2021년01월_계_연령구간인구수,"223,727","4,950","25,120","12,247","12,436","8,743","20,458","15,059","10,465","13,927","18,360","20,534","12,289","10,990","14,538","2,491","21,120"
2021년01월_계_0~9세,"15,041",107,"2,574",887,788,269,"1,482","1,423",379,799,963,"1,101",888,578,802,64,"1,937"
2021년01월_계_10~19세,"19,868",143,"3,339",900,965,394,"1,774","1,385",753,"1,108","1,764","1,500",924,801,"1,278",144,"2,696"
2021년01월_계_20~29세,"30,188",372,"2,628","1,383","1,477",801,"3,167","1,810","2,644","2,006","2,899","3,871","1,382","1,915","1,558",206,"2,069"
2021년01월_계_30~39세,"26,005",412,"2,969","1,619","1,464",750,"2,645","2,010","1,065","1,416","1,910","3,053","1,526","1,292","1,424",156,"2,294"
2021년01월_계_40~49세,"34,143",549,"4,861","1,773","1,735","1,018","3,093","2,327","1,235","2,065","2,739","3,131","1,779","1,581","2,184",263,"3,810"
2021년01월_계_50~59세,"36,796",983,"3,580","1,961","2,195","1,540","3,413","2,402","1,557","2,382","3,293","3,329","2,107","1,872","2,579",468,"3,135"
2021년01월_계_60~69세,"32,875","1,172","2,881","1,921","1,950","1,906","2,817","1,952","1,492","2,212","2,678","2,633","1,922","1,644","2,419",558,"2,718"
2021년01월_계_70~79세,"19,185",810,"1,579","1,213","1,192","1,275","1,397","1,156",915,"1,315","1,445","1,340","1,188",874,"1,542",346,"1,598"
2021년01월_계_80~89세,"8,392",346,611,503,593,696,579,508,376,557,599,504,479,381,664,248,748
2021년01월_계_90~99세,"1,137",44,90,75,74,92,84,78,43,61,68,71,84,50,81,36,106
2021년01월_계_100세 이상,97,12,8,12,3,2,7,8,6,6,2,1,10,2,7,2,9
2021년01월_남_총인구수,"112,794","2,773","12,386","6,005","6,062","4,281","10,362","7,558","5,480","7,159","9,196","10,572","6,075","5,592","7,384","1,304","10,605"
2021년01월_남_연령구간인구수,"112,794","2,773","12,386","6,005","6,062","4,281","10,362","7,558","5,480","7,159","9,196","10,572","6,075","5,592","7,384","1,304","10,605"
2021년01월_남_0~9세,"7,752",55,"1,284",450,432,127,784,755,196,390,493,576,465,314,388,31,"1,012"
2021년01월_남_10~19세,"10,309",77,"1,775",484,501,202,888,732,372,559,917,772,465,406,679,68,"1,412"
2021년01월_남_20~29세,"15,964",207,"1,395",691,766,462,"1,699",961,"1,409","1,096","1,491","1,969",737,988,848,125,"1,120"
2021년01월_남_30~39세,"14,067",244,"1,442",863,784,446,"1,439","1,054",659,779,"1,074","1,759",805,720,769,97,"1,133"
2021년01월_남_40~49세,"17,959",364,"2,429",938,855,578,"1,601","1,176",724,"1,142","1,400","1,680",934,873,"1,161",153,"1,951"
2021년01월_남_50~59세,"18,849",633,"1,765",946,"1,062",784,"1,716","1,210",795,"1,279","1,651","1,737","1,046",952,"1,361",269,"1,643"
2021년01월_남_60~69세,"15,946",661,"1,348",849,924,923,"1,368",950,742,"1,102","1,291","1,266",907,808,"1,177",306,"1,324"
2021년01월_남_70~79세,"8,612",385,699,561,518,518,643,516,428,586,651,600,525,378,716,167,721
2021년01월_남_80~89세,"3,018",129,226,203,193,217,200,182,144,208,218,193,165,148,259,76,257
2021년01월_남_90~99세,290,11,22,16,26,24,20,21,11,17,10,20,23,4,24,12,29
2021년01월_남_100세 이상,28,7,1,4,1,0,4,1,0,1,0,0,3,1,2,0,3
2021년01월_여_총인구수,"110,933","2,177","12,734","6,242","6,374","4,462","10,096","7,501","4,985","6,768","9,164","9,962","6,214","5,398","7,154","1,187","10,515"
2021년01월_여_연령구간인구수,"110,933","2,177","12,734","6,242","6,374","4,462","10,096","7,501","4,985","6,768","9,164","9,962","6,214","5,398","7,154","1,187","10,515"
2021년01월_여_0~9세,"7,289",52,"1,290",437,356,142,698,668,183,409,470,525,423,264,414,33,925
2021년01월_여_10~19세,"9,559",66,"1,564",416,464,192,886,653,381,549,847,728,459,395,599,76,"1,284"
2021년01월_여_20~29세,"14,224",165,"1,233",692,711,339,"1,468",849,"1,235",910,"1,408","1,902",645,927,710,81,949
2021년01월_여_30~39세,"11,938",168,"1,527",756,680,304,"1,206",956,406,637,836,"1,294",721,572,655,59,"1,161"
2021년01월_여_40~49세,"16,184",185,"2,432",835,880,440,"1,492","1,151",511,923,"1,339","1,451",845,708,"1,023",110,"1,859"
2021년01월_여_50~59세,"17,947",350,"1,815","1,015","1,133",756,"1,697","1,192",762,"1,103","1,642","1,592","1,061",920,"1,218",199,"1,492"
2021년01월_여_60~69세,"16,929",511,"1,533","1,072","1,026",983,"1,449","1,002",750,"1,110","1,387","1,367","1,015",836,"1,242",252,"1,394"
2021년01월_여_70~79세,"10,573",425,880,652,674,757,754,640,487,729,794,740,663,496,826,179,877
2021년01월_여_80~89세,"5,374",217,385,300,400,479,379,326,232,349,381,311,314,233,405,172,491
2021년01월_여_90~99세,847,33,68,59,48,68,64,57,32,44,58,51,61,46,57,24,77
2021년01월_여_100세 이상,69,5,7,8,2,2,3,7,6,5,2,1,7,1,5,2,6
