,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년05월_계_총인구수,"654,047","349,230","25,596","24,582","33,733","33,356","28,894","38,776","27,267","20,563","22,212","39,346","27,417","18,248","9,240","304,817","38,883","22,218","25,682","44,764","6,449","18,647","22,784","47,404","15,844","17,456","36,097","8,589"
2020년05월_계_연령구간인구수,"654,047","349,230","25,596","24,582","33,733","33,356","28,894","38,776","27,267","20,563","22,212","39,346","27,417","18,248","9,240","304,817","38,883","22,218","25,682","44,764","6,449","18,647","22,784","47,404","15,844","17,456","36,097","8,589"
2020년05월_계_0~9세,"45,960","24,185","1,886","1,231","2,000","2,728","3,133","2,886","1,690","1,091","1,581","2,418","1,839","1,173",529,"21,775","2,735","1,284","1,718","3,574",305,"1,375","1,732","3,944","1,128",996,"2,675",309
2020년05월_계_10~19세,"66,242","35,208","2,605","1,719","3,098","3,748","3,573","4,265","3,032","1,875","2,232","4,130","2,764","1,374",793,"31,034","4,073","2,027","2,349","5,422",317,"1,855","2,605","5,095","1,330","1,747","3,824",390
2020년05월_계_20~29세,"105,987","57,492","3,917","4,484","6,114","5,400","4,706","5,986","4,399","3,560","3,552","7,080","4,867","2,226","1,201","48,495","5,995","4,258","5,087","7,688",509,"2,857","3,093","7,514","2,376","2,594","5,838",686
2020년05월_계_30~39세,"86,210","44,233","3,268","3,926","4,768","4,267","3,969","4,879","3,075","2,558","2,522","4,450","3,320","2,244",987,"41,977","5,235","3,203","4,091","5,498",681,"2,509","3,041","7,300","2,529","2,027","5,208",655
2020년05월_계_40~49세,"110,183","58,756","4,664","4,098","5,863","5,684","5,138","7,129","4,712","3,334","3,767","6,412","3,821","2,729","1,405","51,427","7,206","3,405","3,853","7,619","1,066","2,904","4,132","8,403","2,514","3,054","6,334",937
2020년05월_계_50~59세,"127,209","68,157","4,662","4,612","6,295","6,390","5,071","7,358","5,456","4,270","4,628","8,232","5,833","3,468","1,882","59,052","7,475","4,125","4,645","9,112","1,685","3,725","4,265","8,226","2,996","3,878","6,976","1,944"
2020년05월_계_60~69세,"66,984","35,440","2,471","2,557","2,782","3,200","2,312","3,528","2,713","2,160","2,221","4,018","3,168","2,839","1,471","31,544","3,626","2,307","2,660","3,943","1,000","2,254","2,469","4,148","1,874","1,921","3,344","1,998"
2020년05월_계_70~79세,"29,111","16,503","1,431","1,289","1,528","1,235",666,"1,813","1,412","1,093","1,096","1,617","1,116","1,558",649,"12,608","1,661","1,031",816,"1,189",601,830,944,"1,775",684,801,"1,220","1,056"
2020년05월_계_80~89세,"14,016","8,010",599,570,"1,083",616,276,835,684,556,550,863,570,547,261,"6,006",760,518,378,616,249,295,444,865,367,382,605,527
2020년05월_계_90~99세,"2,030","1,184",89,89,188,84,49,96,89,66,60,120,112,85,57,846,114,57,80,100,30,35,56,126,45,53,69,81
