,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년12월_계_총인구수,"430,528","16,522","22,871","15,480","14,687","23,825","14,936","15,416","18,178","23,048","15,046","24,873","35,462","16,653","38,809","26,335","19,442","24,315","13,740","15,855","35,035"
2021년12월_계_연령구간인구수,"430,528","16,522","22,871","15,480","14,687","23,825","14,936","15,416","18,178","23,048","15,046","24,873","35,462","16,653","38,809","26,335","19,442","24,315","13,740","15,855","35,035"
2021년12월_계_0~9세,"27,326",727,"1,004",521,770,"1,877",423,938,"1,381","1,397",549,"1,459","3,605","1,444","2,485","1,906",990,"1,733",557,"1,670","1,890"
2021년12월_계_10~19세,"35,986","1,114","1,785",914,"1,222","2,722",783,915,"1,705","1,787",893,"2,067","4,967","1,430","3,567","2,547","1,419","1,877",854,"1,323","2,095"
2021년12월_계_20~29세,"65,580","2,727","4,182","4,553","1,957","2,833","5,213","2,618","2,231","3,196","3,102","3,218","3,347","2,005","5,589","2,954","3,470","3,344","1,941","1,997","5,103"
2021년12월_계_30~39세,"58,415","2,489","3,238","2,492","1,899","2,917","2,043","2,567","2,499","3,054","1,841","3,040","4,214","2,397","5,029","3,486","2,701","3,375","1,816","2,459","4,859"
2021년12월_계_40~49세,"67,446","2,482","3,411","1,941","2,067","4,236","1,576","2,282","3,127","3,444","1,787","4,035","7,714","2,861","6,183","4,440","2,725","3,706","1,861","2,614","4,954"
2021년12월_계_50~59세,"69,280","2,743","3,688","1,948","2,644","4,137","1,947","2,541","2,845","3,785","2,318","4,194","5,175","2,762","6,344","4,230","3,002","4,221","2,385","2,506","5,865"
2021년12월_계_60~69세,"56,803","2,100","2,805","1,519","2,225","2,808","1,510","1,969","2,288","3,458","2,295","3,666","3,379","2,155","4,972","3,667","2,745","3,471","2,266","1,981","5,524"
2021년12월_계_70~79세,"32,464","1,273","1,753","1,031","1,238","1,427",926,"1,046","1,353","1,947","1,432","2,117","2,056","1,073","2,848","2,113","1,580","1,735","1,369",912,"3,235"
2021년12월_계_80~89세,"15,136",725,893,482,589,731,455,480,666,862,718,937,874,460,"1,546",891,717,766,617,355,"1,372"
2021년12월_계_90~99세,"2,027",135,102,74,71,134,57,57,81,117,109,137,127,65,240,101,91,84,72,37,136
2021년12월_계_100세 이상,65,7,10,5,5,3,3,3,2,1,2,3,4,1,6,0,2,3,2,1,2
2021년12월_남_총인구수,"207,578","7,715","10,915","6,509","6,869","11,285","7,502","7,449","8,729","11,130","7,491","11,992","16,848","7,977","19,250","12,719","9,355","11,911","6,781","7,809","17,342"
2021년12월_남_연령구간인구수,"207,578","7,715","10,915","6,509","6,869","11,285","7,502","7,449","8,729","11,130","7,491","11,992","16,848","7,977","19,250","12,719","9,355","11,911","6,781","7,809","17,342"
2021년12월_남_0~9세,"13,968",352,525,249,377,951,214,469,725,710,289,760,"1,862",739,"1,278",959,531,873,283,858,964
2021년12월_남_10~19세,"18,296",571,915,389,597,"1,340",407,442,848,947,466,"1,081","2,418",760,"1,963","1,236",732,968,432,666,"1,118"
2021년12월_남_20~29세,"31,395","1,254","1,894","1,518",891,"1,393","2,680","1,242","1,099","1,580","1,739","1,638","1,605",927,"2,965","1,398","1,457","1,692",952,967,"2,504"
2021년12월_남_30~39세,"29,213","1,203","1,600","1,141",932,"1,378","1,141","1,336","1,236","1,561","1,053","1,480","1,892","1,152","2,574","1,724","1,411","1,754",945,"1,179","2,521"
2021년12월_남_40~49세,"33,248","1,184","1,677",928,977,"1,989",811,"1,149","1,500","1,706",882,"1,988","3,664","1,368","3,033","2,212","1,376","1,864","1,006","1,342","2,592"
2021년12월_남_50~59세,"34,156","1,293","1,823",965,"1,273","1,983",979,"1,243","1,390","1,800","1,136","2,037","2,662","1,355","3,152","2,124","1,512","2,052","1,216","1,261","2,900"
2021년12월_남_60~69세,"26,706",983,"1,368",682,"1,025","1,312",708,927,"1,078","1,607","1,025","1,649","1,521","1,015","2,402","1,748","1,329","1,636","1,061",949,"2,681"
2021년12월_남_70~79세,"14,133",525,741,433,556,614,384,449,568,863,607,947,863,471,"1,214",928,699,758,620,440,"1,453"
2021년12월_남_80~89세,"5,948",309,341,182,223,291,166,186,264,330,268,379,338,176,592,360,288,294,246,140,575
2021년12월_남_90~99세,504,39,29,22,18,34,11,6,21,26,26,33,23,14,74,30,19,19,20,7,33
2021년12월_남_100세 이상,11,2,2,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,1
2021년12월_여_총인구수,"222,950","8,807","11,956","8,971","7,818","12,540","7,434","7,967","9,449","11,918","7,555","12,881","18,614","8,676","19,559","13,616","10,087","12,404","6,959","8,046","17,693"
2021년12월_여_연령구간인구수,"222,950","8,807","11,956","8,971","7,818","12,540","7,434","7,967","9,449","11,918","7,555","12,881","18,614","8,676","19,559","13,616","10,087","12,404","6,959","8,046","17,693"
2021년12월_여_0~9세,"13,358",375,479,272,393,926,209,469,656,687,260,699,"1,743",705,"1,207",947,459,860,274,812,926
2021년12월_여_10~19세,"17,690",543,870,525,625,"1,382",376,473,857,840,427,986,"2,549",670,"1,604","1,311",687,909,422,657,977
2021년12월_여_20~29세,"34,185","1,473","2,288","3,035","1,066","1,440","2,533","1,376","1,132","1,616","1,363","1,580","1,742","1,078","2,624","1,556","2,013","1,652",989,"1,030","2,599"
2021년12월_여_30~39세,"29,202","1,286","1,638","1,351",967,"1,539",902,"1,231","1,263","1,493",788,"1,560","2,322","1,245","2,455","1,762","1,290","1,621",871,"1,280","2,338"
2021년12월_여_40~49세,"34,198","1,298","1,734","1,013","1,090","2,247",765,"1,133","1,627","1,738",905,"2,047","4,050","1,493","3,150","2,228","1,349","1,842",855,"1,272","2,362"
2021년12월_여_50~59세,"35,124","1,450","1,865",983,"1,371","2,154",968,"1,298","1,455","1,985","1,182","2,157","2,513","1,407","3,192","2,106","1,490","2,169","1,169","1,245","2,965"
