카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년10월_계_총인구수,"166,073","9,156","30,342","5,504","9,702","2,442","3,722","3,615","5,120","5,158","15,887","12,070","23,649","21,074","18,632"
2020년10월_계_연령구간인구수,"166,073","9,156","30,342","5,504","9,702","2,442","3,722","3,615","5,120","5,158","15,887","12,070","23,649","21,074","18,632"
2020년10월_계_0~9세,"15,711",335,"4,068",193,445,61,108,99,187,198,"1,524","1,248","2,459","2,565","2,221"
2020년10월_계_10~19세,"15,691",582,"2,534",284,500,98,194,192,315,347,"1,830","1,024","2,437","2,553","2,801"
2020년10월_계_20~29세,"16,084",718,"2,395",383,935,143,304,278,369,398,"1,438","1,042","3,335","2,218","2,128"
2020년10월_계_30~39세,"22,881",718,"5,632",330,"1,156",127,222,223,300,316,"1,744","2,032","4,296","3,150","2,635"
2020년10월_계_40~49세,"26,634","1,122","5,332",561,"1,350",214,329,380,547,580,"2,601","2,040","4,095","3,777","3,706"
2020년10월_계_50~59세,"25,946","1,570","4,423",969,"1,937",366,629,688,961,887,"2,543","1,829","3,281","3,105","2,758"
2020년10월_계_60~69세,"20,717","1,840","3,157","1,189","1,655",605,844,778,"1,036","1,040","2,027","1,358","2,020","1,940","1,228"
2020년10월_계_70~79세,"13,261","1,324","1,673",863,"1,030",495,621,553,780,803,"1,315",885,"1,144","1,072",703
2020년10월_계_80~89세,"7,947",816,989,627,608,290,404,360,532,514,755,537,507,616,392
2020년10월_계_90~99세,"1,131",115,132,102,81,40,65,62,88,73,102,71,74,67,59
2020년10월_계_100세 이상,70,16,7,3,5,3,2,2,5,2,8,4,1,11,1
2020년10월_남_총인구수,"88,081","4,808","16,827","2,807","5,675","1,215","1,898","1,854","2,576","2,606","8,095","6,871","12,523","10,703","9,623"
2020년10월_남_연령구간인구수,"88,081","4,808","16,827","2,807","5,675","1,215","1,898","1,854","2,576","2,606","8,095","6,871","12,523","10,703","9,623"
2020년10월_남_0~9세,"8,021",184,"2,108",96,232,35,46,48,87,98,745,625,"1,243","1,332","1,142"
2020년10월_남_10~19세,"8,238",323,"1,338",147,268,54,106,99,166,192,955,514,"1,263","1,316","1,497"
2020년10월_남_20~29세,"9,417",442,"1,383",222,634,86,186,172,208,234,837,678,"1,908","1,223","1,204"
2020년10월_남_30~39세,"13,010",431,"3,187",187,801,77,125,129,172,186,900,"1,309","2,518","1,614","1,374"
2020년10월_남_40~49세,"15,004",677,"3,271",332,917,134,185,236,326,333,"1,389","1,284","2,175","1,922","1,823"
2020년10월_남_50~59세,"14,521",903,"2,662",553,"1,209",182,342,373,524,483,"1,382","1,098","1,704","1,624","1,482"
2020년10월_남_60~69세,"10,565",892,"1,682",606,880,301,439,379,508,518,"1,008",746,"1,019",963,624
2020년10월_남_70~79세,"6,186",610,816,410,493,237,302,280,377,352,595,404,494,490,326
2020년10월_남_80~89세,"2,824",315,337,230,218,99,157,121,183,184,260,195,183,207,135
2020년10월_남_90~99세,281,29,43,24,21,9,10,15,24,25,22,18,16,10,15
2020년10월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년10월_여_총인구수,"77,992","4,348","13,515","2,697","4,027","1,227","1,824","1,761","2,544","2,552","7,792","5,199","11,126","10,371","9,009"
2020년10월_여_연령구간인구수,"77,992","4,348","13,515","2,697","4,027","1,227","1,824","1,761","2,544","2,552","7,792","5,199","11,126","10,371","9,009"
2020년10월_여_0~9세,"7,690",151,"1,960",97,213,26,62,51,100,100,779,623,"1,216","1,233","1,079"
2020년10월_여_10~19세,"7,453",259,"1,196",137,232,44,88,93,149,155,875,510,"1,174","1,237","1,304"
2020년10월_여_20~29세,"6,667",276,"1,012",161,301,57,118,106,161,164,601,364,"1,427",995,924
2020년10월_여_30~39세,"9,871",287,"2,445",143,355,50,97,94,128,130,844,723,"1,778","1,536","1,261"
2020년10월_여_40~49세,"11,630",445,"2,061",229,433,80,144,144,221,247,"1,212",756,"1,920","1,855","1,883"
2020년10월_여_50~59세,"11,425",667,"1,761",416,728,184,287,315,437,404,"1,161",731,"1,577","1,481","1,276"
2020년10월_여_60~69세,"10,152",948,"1,475",583,775,304,405,399,528,522,"1,019",612,"1,001",977,604
2020년10월_여_70~79세,"7,075",714,857,453,537,258,319,273,403,451,720,481,650,582,377
2020년10월_여_80~89세,"5,123",501,652,397,390,191,247,239,349,330,495,342,324,409,257
2020년10월_여_90~99세,850,86,89,78,60,31,55,47,64,48,80,53,58,57,44
2020년10월_여_100세 이상,56,14,7,3,3,2,2,0,4,1,6,4,1,9,0
