카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2020년04월_계_총인구수,"1,041,553","262,241","20,477","42,606","7,372","50,440","36,323","43,511","30,864","30,648","217,948","42,589","23,174","28,674","46,518","41,907","26,971","8,115","175,504","4,392","12,530","3,670","4,028","14,546",672,"32,563","11,618","15,415","9,606","11,265","14,697","20,327","7,122","13,053","193,101","66,171","11,025","7,681","17,102","6,564","11,627","32,379","9,660","8,046","9,424","9,920","3,502","192,759","17,656","9,009","5,264","11,538","7,689","17,469","8,575","21,703","10,294","26,322","12,434","6,592","38,214"
2020년04월_계_연령구간인구수,"1,041,553","262,241","20,477","42,606","7,372","50,440","36,323","43,511","30,864","30,648","217,948","42,589","23,174","28,674","46,518","41,907","26,971","8,115","175,504","4,392","12,530","3,670","4,028","14,546",672,"32,563","11,618","15,415","9,606","11,265","14,697","20,327","7,122","13,053","193,101","66,171","11,025","7,681","17,102","6,564","11,627","32,379","9,660","8,046","9,424","9,920","3,502","192,759","17,656","9,009","5,264","11,538","7,689","17,469","8,575","21,703","10,294","26,322","12,434","6,592","38,214"
2020년04월_계_0~9세,"86,425","22,018","1,307","6,607",278,"4,401","2,956","2,588","1,646","2,235","17,464","3,388","1,324","2,238","3,777","3,921","2,286",530,"12,791",123,"1,225",81,72,"2,334",31,"2,831",571,"1,039",459,561,"1,046","1,235",367,816,"13,980","5,592",467,337,"1,176",175,663,"3,311",692,324,488,583,172,"20,172","1,623",398,211,"1,129",601,"1,565",412,"2,577","1,124","3,746","1,807",589,"4,390"
2020년04월_계_10~19세,"101,793","24,139","2,002","3,470",440,"4,743","3,895","4,328","2,357","2,904","23,916","5,477","1,509","3,565","5,019","4,268","3,275",803,"13,964",169,"1,020",177,146,"1,197",32,"3,274",845,"1,419",840,981,"1,218","1,194",441,"1,011","18,759","8,476",673,619,"1,255",384,879,"3,537",653,514,694,842,233,"21,015","1,907",720,311,"1,056",751,"2,438",557,"2,266","1,221","3,178",904,724,"4,982"
2020년04월_계_20~29세,"132,311","36,408","2,379","4,031",703,"7,172","5,447","6,939","4,876","4,861","33,280","5,955","4,470","4,354","6,773","6,397","4,274","1,057","19,277",321,"1,119",314,276,"1,293",73,"4,267","1,657","1,712","1,183","1,301","1,458","2,100",659,"1,544","22,880","8,489","1,066",792,"1,891",663,"1,376","3,604","1,185","1,057","1,053","1,347",357,"20,466","2,186",899,531,"1,173",827,"2,210",996,"2,422","1,150","2,344","1,271",597,"3,860"
2020년04월_계_30~39세,"137,962","35,759","1,921","8,317",672,"7,220","5,030","4,482","3,929","4,188","30,305","4,752","4,355","3,627","6,733","6,304","3,485","1,049","20,981",343,"1,656",224,181,"2,794",67,"4,095","1,270","1,673",924,"1,085","1,709","2,551",819,"1,590","22,678","7,228","1,095",711,"2,344",612,"1,437","4,332","1,421",868,982,"1,211",437,"28,239","2,363",770,423,"1,699",875,"2,264","1,058","3,446","1,425","4,353","2,505",768,"6,290"
2020년04월_계_40~49세,"169,453","41,347","3,359","6,790",861,"7,843","6,157","6,963","4,507","4,867","36,882","7,699","3,684","4,900","7,989","6,820","4,505","1,285","25,640",406,"1,979",354,332,"2,402",75,"5,088","1,491","2,358","1,316","1,542","2,171","3,118","1,030","1,978","30,794","11,944","1,505","1,035","2,350",789,"1,695","5,677","1,334","1,152","1,272","1,462",579,"34,790","3,006","1,289",637,"1,776","1,299","3,456","1,299","3,760","1,740","4,909","1,948","1,135","8,536"
2020년04월_계_50~59세,"188,058","50,770","3,977","6,116","1,406","9,741","7,309","9,518","6,408","6,295","44,029","8,500","4,269","6,162","9,253","8,486","5,884","1,475","29,855",826,"2,063",773,746,"1,928",119,"5,677","1,971","2,595","1,821","2,080","2,385","3,391","1,245","2,235","35,120","12,424","1,908","1,387","3,007","1,281","2,043","5,507","1,727","1,478","1,919","1,769",670,"28,284","2,271","1,442",957,"1,850","1,227","2,654","1,555","3,439","1,410","3,532","1,705","1,103","5,139"
2020년04월_계_60~69세,"134,979","32,478","2,998","4,450","1,530","6,006","3,811","5,629","4,609","3,445","22,067","4,616","2,445","2,693","4,774","3,977","2,411","1,151","29,047","1,125","1,940",858,964,"1,576",158,"4,420","2,025","2,380","1,693","2,080","2,599","3,667","1,365","2,197","28,889","7,216","2,283","1,560","2,916","1,421","2,154","4,074","1,518","1,602","1,844","1,664",637,"22,498","2,116","1,560","1,022","1,611","1,111","1,853","1,574","2,385","1,243","2,677","1,312",954,"3,080"
2020년04월_계_70~79세,"61,660","12,952","1,642","1,782",913,"2,313","1,175","2,132","1,740","1,255","6,664","1,520",767,721,"1,440","1,141",559,516,"16,179",694,"1,003",522,737,714,71,"2,099","1,192","1,497",892,"1,165","1,478","2,115",785,"1,215","14,330","3,338","1,403",877,"1,617",827,"1,025","1,693",834,803,838,781,294,"11,535","1,405","1,245",760,848,654,719,786,929,655,"1,075",620,445,"1,394"
