카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년07월_계_총인구수,"25,113","9,993",826,"1,088","1,360",865,"1,968","1,778","1,841","2,838","1,057","1,499"
2021년07월_계_연령구간인구수,"25,113","9,993",826,"1,088","1,360",865,"1,968","1,778","1,841","2,838","1,057","1,499"
2021년07월_계_0~9세,"1,202",642,15,43,47,35,83,65,58,130,51,33
2021년07월_계_10~19세,"1,634",836,22,81,81,42,90,79,79,206,58,60
2021년07월_계_20~29세,"1,871",913,35,63,67,38,144,126,141,191,65,88
2021년07월_계_30~39세,"1,546",786,22,47,53,60,100,94,85,187,71,41
2021년07월_계_40~49세,"2,600","1,289",61,86,105,67,187,166,139,279,98,123
2021년07월_계_50~59세,"4,406","1,650",170,192,247,161,354,296,333,552,183,268
2021년07월_계_60~69세,"5,113","1,689",239,242,314,214,429,402,370,626,245,343
2021년07월_계_70~79세,"3,785","1,244",154,179,240,136,311,314,359,397,143,308
2021년07월_계_80~89세,"2,554",826,92,130,176,106,226,205,240,226,125,202
2021년07월_계_90~99세,385,109,14,25,30,6,42,30,36,43,17,33
2021년07월_계_100세 이상,17,9,2,0,0,0,2,1,1,1,1,0
2021년07월_남_총인구수,"12,698","5,038",408,525,646,446,"1,027",895,924,"1,470",559,760
2021년07월_남_연령구간인구수,"12,698","5,038",408,525,646,446,"1,027",895,924,"1,470",559,760
2021년07월_남_0~9세,587,314,5,19,20,16,44,30,32,66,24,17
2021년07월_남_10~19세,866,430,11,41,44,18,52,45,41,112,38,34
2021년07월_남_20~29세,"1,071",513,19,38,36,24,85,68,73,118,46,51
2021년07월_남_30~39세,750,370,14,21,18,32,62,40,42,91,39,21
2021년07월_남_40~49세,"1,517",739,38,43,57,42,113,104,87,158,57,79
2021년07월_남_50~59세,"2,488",917,96,101,137,90,202,177,201,315,97,155
2021년07월_남_60~69세,"2,737",886,120,131,169,119,231,223,192,344,133,189
2021년07월_남_70~79세,"1,748",564,73,80,114,66,148,149,161,188,71,134
2021년07월_남_80~89세,843,277,28,45,43,37,84,54,85,69,50,71
2021년07월_남_90~99세,86,24,3,6,8,2,6,5,10,9,4,9
2021년07월_남_100세 이상,5,4,1,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"12,415","4,955",418,563,714,419,941,883,917,"1,368",498,739
2021년07월_여_연령구간인구수,"12,415","4,955",418,563,714,419,941,883,917,"1,368",498,739
2021년07월_여_0~9세,615,328,10,24,27,19,39,35,26,64,27,16
2021년07월_여_10~19세,768,406,11,40,37,24,38,34,38,94,20,26
2021년07월_여_20~29세,800,400,16,25,31,14,59,58,68,73,19,37
2021년07월_여_30~39세,796,416,8,26,35,28,38,54,43,96,32,20
2021년07월_여_40~49세,"1,083",550,23,43,48,25,74,62,52,121,41,44
2021년07월_여_50~59세,"1,918",733,74,91,110,71,152,119,132,237,86,113
2021년07월_여_60~69세,"2,376",803,119,111,145,95,198,179,178,282,112,154
2021년07월_여_70~79세,"2,037",680,81,99,126,70,163,165,198,209,72,174
2021년07월_여_80~89세,"1,711",549,64,85,133,69,142,151,155,157,75,131
2021년07월_여_90~99세,299,85,11,19,22,4,36,25,26,34,13,24
2021년07월_여_100세 이상,12,5,1,0,0,0,2,1,1,1,1,0
