,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년06월_계_총인구수,"35,140","6,895","1,442","1,072","2,054","2,943","1,857","4,181","5,638","5,776","1,202","2,080"
2020년06월_계_연령구간인구수,"35,140","6,895","1,442","1,072","2,054","2,943","1,857","4,181","5,638","5,776","1,202","2,080"
2020년06월_계_0~9세,"1,442",424,48,40,53,95,42,142,174,340,41,43
2020년06월_계_10~19세,"2,157",527,46,51,97,165,89,293,217,518,43,111
2020년06월_계_20~29세,"2,514",644,79,40,100,180,107,319,368,526,58,93
2020년06월_계_30~39세,"2,260",653,59,46,97,197,77,229,323,444,59,76
2020년06월_계_40~49세,"3,580",836,110,93,139,280,160,476,528,678,98,182
2020년06월_계_50~59세,"6,666","1,194",239,172,331,562,415,895,"1,190","1,111",184,373
2020년06월_계_60~69세,"7,024","1,121",339,202,427,557,409,864,"1,291","1,055",300,459
2020년06월_계_70~79세,"5,336",858,262,208,448,514,342,581,908,582,236,397
2020년06월_계_80~89세,"3,613",537,230,194,313,334,188,332,566,462,147,310
2020년06월_계_90~99세,530,97,30,26,46,57,28,48,69,58,36,35
2020년06월_계_100세 이상,18,4,0,0,3,2,0,2,4,2,0,1
2020년06월_남_총인구수,"17,236","3,330",706,517,985,"1,448",920,"2,070","2,816","2,851",575,"1,018"
2020년06월_남_연령구간인구수,"17,236","3,330",706,517,985,"1,448",920,"2,070","2,816","2,851",575,"1,018"
2020년06월_남_0~9세,761,219,26,20,37,49,26,70,107,170,20,17
2020년06월_남_10~19세,"1,153",269,28,32,54,92,53,160,118,266,20,61
2020년06월_남_20~29세,"1,441",375,46,17,63,94,65,168,212,307,38,56
2020년06월_남_30~39세,"1,222",329,37,25,58,117,50,115,180,237,32,42
2020년06월_남_40~49세,"1,994",433,64,60,96,159,85,250,316,351,63,117
2020년06월_남_50~59세,"3,576",626,144,105,183,304,218,486,619,563,112,216
2020년06월_남_60~69세,"3,622",548,175,108,219,293,213,426,673,568,156,243
2020년06월_남_70~79세,"2,298",366,115,81,174,217,145,264,428,243,90,175
2020년06월_남_80~89세,"1,061",146,60,66,93,108,60,119,154,136,37,82
2020년06월_남_90~99세,106,19,11,3,7,15,5,11,9,10,7,9
2020년06월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년06월_여_총인구수,"17,904","3,565",736,555,"1,069","1,495",937,"2,111","2,822","2,925",627,"1,062"
2020년06월_여_연령구간인구수,"17,904","3,565",736,555,"1,069","1,495",937,"2,111","2,822","2,925",627,"1,062"
2020년06월_여_0~9세,681,205,22,20,16,46,16,72,67,170,21,26
2020년06월_여_10~19세,"1,004",258,18,19,43,73,36,133,99,252,23,50
2020년06월_여_20~29세,"1,073",269,33,23,37,86,42,151,156,219,20,37
2020년06월_여_30~39세,"1,038",324,22,21,39,80,27,114,143,207,27,34
2020년06월_여_40~49세,"1,586",403,46,33,43,121,75,226,212,327,35,65
2020년06월_여_50~59세,"3,090",568,95,67,148,258,197,409,571,548,72,157
2020년06월_여_60~69세,"3,402",573,164,94,208,264,196,438,618,487,144,216
2020년06월_여_70~79세,"3,038",492,147,127,274,297,197,317,480,339,146,222
2020년06월_여_80~89세,"2,552",391,170,128,220,226,128,213,412,326,110,228
2020년06월_여_90~99세,424,78,19,23,39,42,23,37,60,48,29,26
2020년06월_여_100세 이상,16,4,0,0,2,2,0,1,4,2,0,1
