카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 개항동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년10월_계_총인구수,"142,618","6,170","5,099","13,227","3,912","3,195","5,833","7,044","18,924","43,486","31,796","3,932"
2021년10월_계_연령구간인구수,"142,618","6,170","5,099","13,227","3,912","3,195","5,833","7,044","18,924","43,486","31,796","3,932"
2021년10월_계_0~9세,"11,700",221,233,805,117,80,190,246,"1,205","6,798","1,733",72
2021년10월_계_10~19세,"13,031",329,343,"1,115",263,180,284,444,"1,503","5,144","3,319",107
2021년10월_계_20~29세,"18,895",618,524,"1,597",417,329,590,743,"2,518","3,696","7,616",247
2021년10월_계_30~39세,"21,787",607,510,"1,570",349,280,662,681,"2,954","8,538","5,374",262
2021년10월_계_40~49세,"25,069",793,779,"2,014",534,462,737,938,"3,113","9,644","5,612",443
2021년10월_계_50~59세,"21,011","1,251",871,"2,266",695,606,"1,086","1,244","3,219","4,688","4,225",860
2021년10월_계_60~69세,"17,102","1,349",840,"2,073",765,615,"1,121","1,391","2,736","3,050","2,083","1,079"
2021년10월_계_70~79세,"9,366",645,618,"1,185",535,445,695,906,"1,089","1,413","1,245",590
2021년10월_계_80~89세,"3,979",303,321,523,202,165,385,402,484,437,538,219
2021년10월_계_90~99세,654,51,58,79,34,33,78,48,99,76,48,50
2021년10월_계_100세 이상,24,3,2,0,1,0,5,1,4,2,3,3
2021년10월_남_총인구수,"74,127","3,343","2,605","6,745","1,993","1,641","3,092","3,532","10,360","21,818","16,806","2,192"
2021년10월_남_연령구간인구수,"74,127","3,343","2,605","6,745","1,993","1,641","3,092","3,532","10,360","21,818","16,806","2,192"
2021년10월_남_0~9세,"6,026",119,132,406,53,47,98,134,603,"3,489",911,34
2021년10월_남_10~19세,"6,695",157,180,580,145,88,139,214,792,"2,594","1,753",53
2021년10월_남_20~29세,"9,713",362,284,856,247,184,326,404,"1,383","1,855","3,648",164
2021년10월_남_30~39세,"11,859",364,290,842,190,162,381,384,"1,758","4,125","3,198",165
2021년10월_남_40~49세,"13,664",479,429,"1,083",299,259,445,523,"1,783","5,067","3,010",287
2021년10월_남_50~59세,"11,663",737,470,"1,214",374,344,639,681,"1,816","2,429","2,443",516
2021년10월_남_60~69세,"8,582",704,426,"1,024",359,307,592,662,"1,482","1,387","1,070",569
2021년10월_남_70~79세,"4,323",302,267,527,243,194,321,383,539,695,539,313
2021년10월_남_80~89세,"1,446",107,115,198,75,51,132,130,178,159,219,82
2021년10월_남_90~99세,147,12,12,15,8,5,18,17,22,17,13,8
2021년10월_남_100세 이상,9,0,0,0,0,0,1,0,4,1,2,1
2021년10월_여_총인구수,"68,491","2,827","2,494","6,482","1,919","1,554","2,741","3,512","8,564","21,668","14,990","1,740"
2021년10월_여_연령구간인구수,"68,491","2,827","2,494","6,482","1,919","1,554","2,741","3,512","8,564","21,668","14,990","1,740"
2021년10월_여_0~9세,"5,674",102,101,399,64,33,92,112,602,"3,309",822,38
2021년10월_여_10~19세,"6,336",172,163,535,118,92,145,230,711,"2,550","1,566",54
2021년10월_여_20~29세,"9,182",256,240,741,170,145,264,339,"1,135","1,841","3,968",83
2021년10월_여_30~39세,"9,928",243,220,728,159,118,281,297,"1,196","4,413","2,176",97
2021년10월_여_40~49세,"11,405",314,350,931,235,203,292,415,"1,330","4,577","2,602",156
2021년10월_여_50~59세,"9,348",514,401,"1,052",321,262,447,563,"1,403","2,259","1,782",344
2021년10월_여_60~69세,"8,520",645,414,"1,049",406,308,529,729,"1,254","1,663","1,013",510
2021년10월_여_70~79세,"5,043",343,351,658,292,251,374,523,550,718,706,277
2021년10월_여_80~89세,"2,533",196,206,325,127,114,253,272,306,278,319,137
2021년10월_여_90~99세,507,39,46,64,26,28,60,31,77,59,35,42
2021년10월_여_100세 이상,15,3,2,0,1,0,4,1,0,1,1,2
