,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2021년12월_계_총인구수,"91,107","10,946","16,432","5,442","34,777","3,088","6,291","4,512","1,920","4,826","2,873"
2021년12월_계_연령구간인구수,"91,107","10,946","16,432","5,442","34,777","3,088","6,291","4,512","1,920","4,826","2,873"
2021년12월_계_0~9세,"8,171",729,"2,507",156,"4,241",45,182,91,47,111,62
2021년12월_계_10~19세,"9,699","1,120","1,706",291,"5,424",129,397,174,85,208,165
2021년12월_계_20~29세,"9,488","1,304","1,161",495,"4,624",232,709,301,121,332,209
2021년12월_계_30~39세,"11,153",969,"2,775",331,"5,799",147,412,243,115,220,142
2021년12월_계_40~49세,"14,514","1,549","2,778",570,"7,453",253,674,358,179,445,255
2021년12월_계_50~59세,"13,513","1,936","1,903","1,082","4,323",582,"1,114",850,338,813,572
2021년12월_계_60~69세,"11,561","1,650","1,665","1,231","1,847",633,"1,273","1,034",470,"1,092",666
2021년12월_계_70~79세,"7,899","1,094","1,170",779,748,560,896,861,348,947,496
2021년12월_계_80~89세,"4,481",539,665,437,279,445,543,532,177,588,276
2021년12월_계_90~99세,610,55,99,67,39,62,87,68,37,67,29
2021년12월_계_100세 이상,18,1,3,3,0,0,4,0,3,3,1
2021년12월_남_총인구수,"45,753","5,488","8,185","2,877","17,201","1,542","3,256","2,292",992,"2,448","1,472"
2021년12월_남_연령구간인구수,"45,753","5,488","8,185","2,877","17,201","1,542","3,256","2,292",992,"2,448","1,472"
2021년12월_남_0~9세,"4,221",387,"1,303",77,"2,180",19,97,47,26,59,26
2021년12월_남_10~19세,"4,914",582,830,142,"2,760",70,206,76,46,118,84
2021년12월_남_20~29세,"5,091",743,617,279,"2,333",142,413,174,65,213,112
2021년12월_남_30~39세,"5,626",512,"1,326",190,"2,810",91,246,153,67,133,98
2021년12월_남_40~49세,"7,590",790,"1,519",342,"3,585",163,396,246,114,282,153
2021년12월_남_50~59세,"7,408","1,030","1,031",630,"2,238",337,638,515,199,457,333
2021년12월_남_60~69세,"5,824",792,811,686,872,330,654,527,244,554,354
2021년12월_남_70~79세,"3,609",478,533,384,333,253,422,389,163,431,223
2021년12월_남_80~89세,"1,369",167,197,141,84,126,168,153,62,191,80
2021년12월_남_90~99세,100,7,18,6,6,11,16,12,6,10,8
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1
2021년12월_여_총인구수,"45,354","5,458","8,247","2,565","17,576","1,546","3,035","2,220",928,"2,378","1,401"
2021년12월_여_연령구간인구수,"45,354","5,458","8,247","2,565","17,576","1,546","3,035","2,220",928,"2,378","1,401"
2021년12월_여_0~9세,"3,950",342,"1,204",79,"2,061",26,85,44,21,52,36
2021년12월_여_10~19세,"4,785",538,876,149,"2,664",59,191,98,39,90,81
2021년12월_여_20~29세,"4,397",561,544,216,"2,291",90,296,127,56,119,97
2021년12월_여_30~39세,"5,527",457,"1,449",141,"2,989",56,166,90,48,87,44
2021년12월_여_40~49세,"6,924",759,"1,259",228,"3,868",90,278,112,65,163,102
2021년12월_여_50~59세,"6,105",906,872,452,"2,085",245,476,335,139,356,239
2021년12월_여_60~69세,"5,737",858,854,545,975,303,619,507,226,538,312
2021년12월_여_70~79세,"4,290",616,637,395,415,307,474,472,185,516,273
2021년12월_여_80~89세,"3,112",372,468,296,195,319,375,379,115,397,196
2021년12월_여_90~99세,510,48,81,61,33,51,71,56,31,57,21
2021년12월_여_100세 이상,17,1,3,3,0,0,4,0,3,3,0
