카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년04월_계_총인구수,"64,355","9,761","3,298","1,724","5,117","1,296",709,"1,845",682,671,"7,630","14,524","9,055","8,043"
2021년04월_계_연령구간인구수,"64,355","9,761","3,298","1,724","5,117","1,296",709,"1,845",682,671,"7,630","14,524","9,055","8,043"
2021년04월_계_0~9세,"3,727",312,89,45,102,21,8,43,11,15,282,"1,635",639,525
2021년04월_계_10~19세,"5,119",829,142,62,207,35,8,70,26,13,482,"1,687",817,741
2021년04월_계_20~29세,"6,974","1,720",230,129,337,65,32,84,28,24,720,"1,834","1,020",751
2021년04월_계_30~39세,"5,534",513,201,87,268,69,21,84,21,33,595,"2,004",914,724
2021년04월_계_40~49세,"8,755","1,048",381,192,468,131,61,194,76,71,938,"2,518","1,487","1,190"
2021년04월_계_50~59세,"11,108","1,619",624,346,979,281,136,341,127,128,"1,393","2,279","1,542","1,313"
2021년04월_계_60~69세,"11,393","1,857",713,381,"1,211",378,196,444,175,172,"1,620","1,489","1,322","1,435"
2021년04월_계_70~79세,"7,100","1,205",509,294,815,177,134,322,129,123,"1,028",689,842,833
2021년04월_계_80~89세,"4,020",594,347,164,607,123,89,229,77,83,510,324,402,471
2021년04월_계_90~99세,595,61,54,24,118,16,24,34,12,9,60,59,65,59
2021년04월_계_100세 이상,30,3,8,0,5,0,0,0,0,0,2,6,5,1
2021년04월_남_총인구수,"32,532","4,820","1,726",859,"2,632",708,389,959,349,365,"3,759","7,385","4,600","3,981"
2021년04월_남_연령구간인구수,"32,532","4,820","1,726",859,"2,632",708,389,959,349,365,"3,759","7,385","4,600","3,981"
2021년04월_남_0~9세,"1,892",148,50,21,55,13,4,25,9,8,148,828,319,264
2021년04월_남_10~19세,"2,617",370,71,34,124,19,3,45,12,5,252,863,437,382
2021년04월_남_20~29세,"3,895",898,157,74,213,34,23,55,18,13,404,"1,025",565,416
2021년04월_남_30~39세,"2,985",269,126,54,170,49,13,44,9,18,333,"1,040",471,389
2021년04월_남_40~49세,"4,817",598,246,114,296,98,43,140,49,54,508,"1,248",799,624
2021년04월_남_50~59세,"6,018",876,377,189,588,145,90,196,80,79,686,"1,188",863,661
2021년04월_남_60~69세,"5,714",952,371,197,619,213,117,238,81,98,757,746,637,688
2021년04월_남_70~79세,"3,130",518,212,114,353,80,59,147,59,58,474,308,368,380
2021년04월_남_80~89세,"1,351",178,104,56,200,54,32,66,30,31,182,124,128,166
2021년04월_남_90~99세,108,13,9,6,14,3,5,3,2,1,15,14,12,11
2021년04월_남_100세 이상,5,0,3,0,0,0,0,0,0,0,0,1,1,0
2021년04월_여_총인구수,"31,823","4,941","1,572",865,"2,485",588,320,886,333,306,"3,871","7,139","4,455","4,062"
2021년04월_여_연령구간인구수,"31,823","4,941","1,572",865,"2,485",588,320,886,333,306,"3,871","7,139","4,455","4,062"
2021년04월_여_0~9세,"1,835",164,39,24,47,8,4,18,2,7,134,807,320,261
2021년04월_여_10~19세,"2,502",459,71,28,83,16,5,25,14,8,230,824,380,359
2021년04월_여_20~29세,"3,079",822,73,55,124,31,9,29,10,11,316,809,455,335
2021년04월_여_30~39세,"2,549",244,75,33,98,20,8,40,12,15,262,964,443,335
2021년04월_여_40~49세,"3,938",450,135,78,172,33,18,54,27,17,430,"1,270",688,566
2021년04월_여_50~59세,"5,090",743,247,157,391,136,46,145,47,49,707,"1,091",679,652
2021년04월_여_60~69세,"5,679",905,342,184,592,165,79,206,94,74,863,743,685,747
2021년04월_여_70~79세,"3,970",687,297,180,462,97,75,175,70,65,554,381,474,453
2021년04월_여_80~89세,"2,669",416,243,108,407,69,57,163,47,52,328,200,274,305
2021년04월_여_90~99세,487,48,45,18,104,13,19,31,10,8,45,45,53,48
2021년04월_여_100세 이상,25,3,5,0,5,0,0,0,0,0,2,5,4,1
