,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년03월_계_총인구수,"98,967","6,702","1,460","3,899","3,099","1,022","2,723","4,082","1,695","2,031","2,625","1,758",753,"2,056","2,845","1,256",344,"2,839","1,198",387,"2,201","2,106",853,"12,573","9,405","7,763","8,217","3,795","9,280"
2020년03월_계_연령구간인구수,"98,967","6,702","1,460","3,899","3,099","1,022","2,723","4,082","1,695","2,031","2,625","1,758",753,"2,056","2,845","1,256",344,"2,839","1,198",387,"2,201","2,106",853,"12,573","9,405","7,763","8,217","3,795","9,280"
2020년03월_계_0~9세,"5,417",295,44,108,101,31,95,91,54,61,104,57,19,76,133,35,8,106,21,12,34,56,33,987,783,547,530,212,784
2020년03월_계_10~19세,"7,934",501,67,166,161,51,127,227,75,96,160,77,38,108,163,66,13,158,51,18,102,108,40,"1,380",886,791,814,367,"1,123"
2020년03월_계_20~29세,"8,605",456,89,215,175,54,155,237,88,119,183,104,40,121,189,83,17,126,57,14,119,102,52,"1,377","1,038",786,872,337,"1,400"
2020년03월_계_30~39세,"7,844",477,78,230,139,42,160,216,87,118,121,81,40,117,187,72,13,168,38,9,113,72,37,"1,378","1,180",708,749,315,899
2020년03월_계_40~49세,"11,929",773,107,337,276,76,225,320,126,170,262,176,65,184,277,123,29,328,102,30,180,195,73,"1,825","1,405","1,144","1,201",525,"1,395"
2020년03월_계_50~59세,"17,302","1,135",244,678,547,210,445,684,325,413,532,345,169,391,547,271,68,521,186,71,332,336,161,"2,125","1,609","1,360","1,511",641,"1,445"
2020년03월_계_60~69세,"17,730","1,300",319,841,634,217,606,987,364,458,615,412,173,446,579,273,94,578,285,68,499,428,185,"1,801","1,370","1,156","1,233",634,"1,175"
2020년03월_계_70~79세,"12,728","1,004",299,698,564,164,488,753,302,333,384,275,115,349,426,190,61,468,273,82,448,428,144,"1,100",703,755,810,473,639
2020년03월_계_80~89세,"8,204",663,185,547,423,158,355,492,235,231,231,208,83,218,301,121,37,330,160,73,321,321,106,512,379,456,444,250,364
2020년03월_계_90~99세,"1,219",91,27,77,74,17,65,73,39,32,30,22,11,46,42,20,4,52,23,10,51,58,21,82,52,58,49,38,55
2020년03월_계_100세 이상,55,7,1,2,5,2,2,2,0,0,3,1,0,0,1,2,0,4,2,0,2,2,1,6,0,2,4,3,1
2020년03월_남_총인구수,"48,585","3,260",709,"1,886","1,500",496,"1,336","2,017",851,"1,042","1,315",894,359,"1,024","1,371",639,178,"1,341",562,202,"1,037","1,000",414,"6,144","4,735","3,696","4,009","1,884","4,684"
