카테고리,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년12월_계_총인구수,"26,322","9,458","1,676","1,158","1,025","1,509","1,515","1,424","1,804",740,"2,767",985,"1,119","1,142"
2021년12월_계_연령구간인구수,"26,322","9,458","1,676","1,158","1,025","1,509","1,515","1,424","1,804",740,"2,767",985,"1,119","1,142"
2021년12월_계_0~9세,986,656,25,11,32,25,31,34,32,19,70,28,9,14
2021년12월_계_10~19세,"1,444",876,48,28,32,54,56,37,53,26,141,39,26,28
2021년12월_계_20~29세,"1,826",943,87,70,61,92,82,81,93,26,194,37,33,27
2021년12월_계_30~39세,"1,620",892,84,56,46,64,82,49,64,31,129,54,31,38
2021년12월_계_40~49세,"2,685","1,458",117,78,62,118,124,107,130,47,247,59,54,84
2021년12월_계_50~59세,"4,488","1,630",307,209,173,275,277,238,306,102,496,137,168,170
2021년12월_계_60~69세,"5,813","1,525",449,314,254,377,379,362,496,217,601,231,297,311
2021년12월_계_70~79세,"3,805",858,275,200,175,251,231,247,330,138,481,203,212,204
2021년12월_계_80~89세,"3,144",549,238,160,161,222,214,228,269,116,351,168,246,222
2021년12월_계_90~99세,504,70,44,31,29,31,39,41,31,17,57,29,43,42
2021년12월_계_100세 이상,7,1,2,1,0,0,0,0,0,1,0,0,0,2
2021년12월_남_총인구수,"12,966","4,681",833,573,496,747,758,691,919,347,"1,334",518,521,548
2021년12월_남_연령구간인구수,"12,966","4,681",833,573,496,747,758,691,919,347,"1,334",518,521,548
2021년12월_남_0~9세,515,347,13,6,13,13,17,17,17,9,33,19,5,6
2021년12월_남_10~19세,758,453,26,16,18,26,24,14,32,17,77,26,16,13
2021년12월_남_20~29세,"1,060",519,47,46,39,65,44,48,54,16,116,26,25,15
2021년12월_남_30~39세,874,431,50,41,26,34,54,28,34,21,78,36,14,27
2021년12월_남_40~49세,"1,522",750,76,47,41,67,78,66,80,31,155,47,30,54
2021년12월_남_50~59세,"2,505",892,181,109,102,156,151,145,164,55,277,76,97,100
2021년12월_남_60~69세,"3,102",745,256,164,134,211,219,196,289,109,294,145,165,175
2021년12월_남_70~79세,"1,611",371,113,86,75,97,101,99,157,56,206,85,80,85
2021년12월_남_80~89세,915,155,61,51,43,72,63,63,87,30,93,53,83,61
2021년12월_남_90~99세,103,18,10,7,5,6,7,15,5,3,5,5,6,11
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년12월_여_총인구수,"13,356","4,777",843,585,529,762,757,733,885,393,"1,433",467,598,594
2021년12월_여_연령구간인구수,"13,356","4,777",843,585,529,762,757,733,885,393,"1,433",467,598,594
2021년12월_여_0~9세,471,309,12,5,19,12,14,17,15,10,37,9,4,8
2021년12월_여_10~19세,686,423,22,12,14,28,32,23,21,9,64,13,10,15
2021년12월_여_20~29세,766,424,40,24,22,27,38,33,39,10,78,11,8,12
2021년12월_여_30~39세,746,461,34,15,20,30,28,21,30,10,51,18,17,11
2021년12월_여_40~49세,"1,163",708,41,31,21,51,46,41,50,16,92,12,24,30
2021년12월_여_50~59세,"1,983",738,126,100,71,119,126,93,142,47,219,61,71,70
2021년12월_여_60~69세,"2,711",780,193,150,120,166,160,166,207,108,307,86,132,136
2021년12월_여_70~79세,"2,194",487,162,114,100,154,130,148,173,82,275,118,132,119
2021년12월_여_80~89세,"2,229",394,177,109,118,150,151,165,182,86,258,115,163,161
2021년12월_여_90~99세,401,52,34,24,24,25,32,26,26,14,52,24,37,31
2021년12월_여_100세 이상,6,1,2,1,0,0,0,0,0,1,0,0,0,1
