카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년09월_계_총인구수,"77,016","32,715","10,122","2,420","3,033","3,117","1,757","2,511","6,686","2,505","4,436","3,438","4,276"
2021년09월_계_연령구간인구수,"77,016","32,715","10,122","2,420","3,033","3,117","1,757","2,511","6,686","2,505","4,436","3,438","4,276"
2021년09월_계_0~9세,"3,406","1,942",571,48,62,69,39,54,235,75,116,94,101
2021년09월_계_10~19세,"5,504","3,241",653,73,153,127,58,127,392,145,235,114,186
2021년09월_계_20~29세,"6,505","3,409","1,086",118,136,162,71,189,470,130,258,205,271
2021년09월_계_30~39세,"5,816","2,725","1,224",122,157,122,74,134,445,138,217,205,253
2021년09월_계_40~49세,"9,161","4,807","1,168",217,260,262,133,226,765,231,402,294,396
2021년09월_계_50~59세,"13,020","5,669","1,526",409,454,526,271,448,"1,268",411,720,561,757
2021년09월_계_60~69세,"15,574","5,692","1,751",616,777,719,497,606,"1,488",573,987,843,"1,025"
2021년09월_계_70~79세,"10,342","3,285","1,187",448,565,576,336,392,925,422,865,616,725
2021년09월_계_80~89세,"6,760","1,712",848,323,412,493,237,291,602,317,571,454,500
2021년09월_계_90~99세,897,224,105,43,54,58,41,41,92,63,63,52,61
2021년09월_계_100세 이상,31,9,3,3,3,3,0,3,4,0,2,0,1
2021년09월_남_총인구수,"38,709","16,240","5,095","1,246","1,530","1,535",891,"1,315","3,339","1,269","2,257","1,755","2,237"
2021년09월_남_연령구간인구수,"38,709","16,240","5,095","1,246","1,530","1,535",891,"1,315","3,339","1,269","2,257","1,755","2,237"
2021년09월_남_0~9세,"1,770","1,012",281,23,34,37,22,30,124,40,59,51,57
2021년09월_남_10~19세,"2,848","1,658",338,35,85,65,34,75,203,70,119,62,104
2021년09월_남_20~29세,"3,721","1,879",597,70,87,88,47,116,291,82,157,128,179
2021년09월_남_30~39세,"3,214","1,433",677,68,93,72,42,85,247,86,126,125,160
2021년09월_남_40~49세,"4,986","2,418",653,155,142,156,81,151,422,131,253,173,251
2021년09월_남_50~59세,"7,026","2,936",804,238,263,299,149,232,670,236,422,337,440
2021년09월_남_60~69세,"7,790","2,765",862,322,398,381,263,321,713,293,500,443,529
2021년09월_남_70~79세,"4,675","1,467",544,207,255,257,161,177,426,193,403,267,318
2021년09월_남_80~89세,"2,465",615,312,121,162,164,89,116,219,120,207,156,184
2021년09월_남_90~99세,208,54,27,6,11,15,3,11,24,18,11,13,15
2021년09월_남_100세 이상,6,3,0,1,0,1,0,1,0,0,0,0,0
2021년09월_여_총인구수,"38,307","16,475","5,027","1,174","1,503","1,582",866,"1,196","3,347","1,236","2,179","1,683","2,039"
2021년09월_여_연령구간인구수,"38,307","16,475","5,027","1,174","1,503","1,582",866,"1,196","3,347","1,236","2,179","1,683","2,039"
2021년09월_여_0~9세,"1,636",930,290,25,28,32,17,24,111,35,57,43,44
2021년09월_여_10~19세,"2,656","1,583",315,38,68,62,24,52,189,75,116,52,82
2021년09월_여_20~29세,"2,784","1,530",489,48,49,74,24,73,179,48,101,77,92
2021년09월_여_30~39세,"2,602","1,292",547,54,64,50,32,49,198,52,91,80,93
2021년09월_여_40~49세,"4,175","2,389",515,62,118,106,52,75,343,100,149,121,145
2021년09월_여_50~59세,"5,994","2,733",722,171,191,227,122,216,598,175,298,224,317
2021년09월_여_60~69세,"7,784","2,927",889,294,379,338,234,285,775,280,487,400,496
2021년09월_여_70~79세,"5,667","1,818",643,241,310,319,175,215,499,229,462,349,407
2021년09월_여_80~89세,"4,295","1,097",536,202,250,329,148,175,383,197,364,298,316
2021년09월_여_90~99세,689,170,78,37,43,43,38,30,68,45,52,39,46
2021년09월_여_100세 이상,25,6,3,2,3,2,0,2,4,0,2,0,1
