카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020년10월_계_총인구수,"28,106","7,833","1,895","1,657","2,373","1,340","1,940","1,182","4,258","2,494","1,709","1,425"
2020년10월_계_연령구간인구수,"28,106","7,833","1,895","1,657","2,373","1,340","1,940","1,182","4,258","2,494","1,709","1,425"
2020년10월_계_0~9세,"1,101",475,66,27,66,21,41,31,207,74,52,41
2020년10월_계_10~19세,"1,963",681,131,87,131,44,95,52,389,217,82,54
2020년10월_계_20~29세,"2,372",748,104,100,154,82,147,76,539,206,109,107
2020년10월_계_30~39세,"1,742",630,101,67,121,62,86,48,349,113,95,70
2020년10월_계_40~49세,"3,072","1,062",174,153,208,95,174,90,513,327,160,116
2020년10월_계_50~59세,"4,883","1,296",318,269,424,254,350,209,746,451,298,268
2020년10월_계_60~69세,"4,970","1,223",385,344,433,260,400,222,650,395,319,339
2020년10월_계_70~79세,"4,297","1,003",331,312,411,268,355,244,493,356,311,213
2020년10월_계_80~89세,"3,182",608,255,251,367,221,241,186,320,303,241,189
2020년10월_계_90~99세,508,102,28,47,56,30,51,24,51,52,40,27
2020년10월_계_100세 이상,16,5,2,0,2,3,0,0,1,0,2,1
2020년10월_남_총인구수,"13,724","3,777",931,815,"1,125",647,945,576,"2,105","1,244",842,717
2020년10월_남_연령구간인구수,"13,724","3,777",931,815,"1,125",647,945,576,"2,105","1,244",842,717
2020년10월_남_0~9세,563,250,30,11,39,10,27,17,96,39,22,22
2020년10월_남_10~19세,"1,027",350,72,51,68,20,52,20,202,120,45,27
2020년10월_남_20~29세,"1,288",394,61,63,83,51,80,48,282,112,58,56
2020년10월_남_30~39세,934,307,63,46,66,40,45,29,181,62,56,39
2020년10월_남_40~49세,"1,715",551,100,97,115,56,98,55,273,189,113,68
2020년10월_남_50~59세,"2,699",690,178,143,241,142,186,126,402,274,167,150
2020년10월_남_60~69세,"2,591",603,205,187,214,137,211,117,334,215,173,195
2020년10월_남_70~79세,"1,816",420,132,127,180,116,161,102,219,137,125,97
2020년10월_남_80~89세,988,195,83,79,109,67,79,59,101,86,73,57
2020년10월_남_90~99세,100,17,7,11,9,8,6,3,14,10,9,6
2020년10월_남_100세 이상,3,0,0,0,1,0,0,0,1,0,1,0
2020년10월_여_총인구수,"14,382","4,056",964,842,"1,248",693,995,606,"2,153","1,250",867,708
2020년10월_여_연령구간인구수,"14,382","4,056",964,842,"1,248",693,995,606,"2,153","1,250",867,708
2020년10월_여_0~9세,538,225,36,16,27,11,14,14,111,35,30,19
2020년10월_여_10~19세,936,331,59,36,63,24,43,32,187,97,37,27
2020년10월_여_20~29세,"1,084",354,43,37,71,31,67,28,257,94,51,51
2020년10월_여_30~39세,808,323,38,21,55,22,41,19,168,51,39,31
2020년10월_여_40~49세,"1,357",511,74,56,93,39,76,35,240,138,47,48
2020년10월_여_50~59세,"2,184",606,140,126,183,112,164,83,344,177,131,118
2020년10월_여_60~69세,"2,379",620,180,157,219,123,189,105,316,180,146,144
2020년10월_여_70~79세,"2,481",583,199,185,231,152,194,142,274,219,186,116
2020년10월_여_80~89세,"2,194",413,172,172,258,154,162,127,219,217,168,132
2020년10월_여_90~99세,408,85,21,36,47,22,45,21,37,42,31,21
2020년10월_여_100세 이상,13,5,2,0,1,3,0,0,0,0,1,1
