,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년11월_계_총인구수,"197,608","31,516","38,237","23,519","16,349","22,375","18,104","25,571","21,937"
2020년11월_계_연령구간인구수,"197,608","31,516","38,237","23,519","16,349","22,375","18,104","25,571","21,937"
2020년11월_계_0~9세,"15,268","4,640","2,768","1,767",739,"1,637",745,"1,331","1,641"
2020년11월_계_10~19세,"18,235","2,254","4,049","2,398","1,101","2,783","1,257","2,105","2,288"
2020년11월_계_20~29세,"27,280","3,365","5,632","3,365","2,218","3,069","2,802","3,818","3,011"
2020년11월_계_30~39세,"26,422","6,115","4,631","3,037","2,035","2,536","2,137","3,175","2,756"
2020년11월_계_40~49세,"32,926","5,716","6,429","3,989","2,479","3,917","2,596","3,745","4,055"
2020년11월_계_50~59세,"35,820","4,238","7,257","4,305","3,248","3,942","3,789","5,064","3,977"
2020년11월_계_60~69세,"24,277","3,259","4,255","2,621","2,546","2,669","2,823","3,736","2,368"
2020년11월_계_70~79세,"11,731","1,431","2,094","1,365","1,316","1,216","1,341","1,735","1,233"
2020년11월_계_80~89세,"4,880",424,974,588,559,528,528,750,529
2020년11월_계_90~99세,688,70,142,77,82,73,76,97,71
2020년11월_계_100세 이상,81,4,6,7,26,5,10,15,8
2020년11월_남_총인구수,"98,033","15,633","18,896","11,505","8,306","10,881","8,991","12,749","11,072"
2020년11월_남_연령구간인구수,"98,033","15,633","18,896","11,505","8,306","10,881","8,991","12,749","11,072"
2020년11월_남_0~9세,"7,902","2,414","1,469",893,383,822,405,667,849
2020년11월_남_10~19세,"9,396","1,111","2,144","1,250",520,"1,416",656,"1,115","1,184"
2020년11월_남_20~29세,"13,991","1,669","2,916","1,688","1,155","1,584","1,382","2,004","1,593"
2020년11월_남_30~39세,"13,283","2,953","2,315","1,482","1,113","1,238","1,138","1,642","1,402"
2020년11월_남_40~49세,"16,400","3,052","3,059","1,932","1,332","1,796","1,310","1,940","1,979"
2020년11월_남_50~59세,"17,640","2,006","3,517","2,124","1,664","1,923","1,892","2,459","2,055"
2020년11월_남_60~69세,"12,170","1,575","2,167","1,282","1,295","1,316","1,426","1,878","1,231"
2020년11월_남_70~79세,"5,243",705,890,607,603,556,578,752,552
2020년11월_남_80~89세,"1,804",131,376,217,206,212,182,272,208
2020년11월_남_90~99세,178,15,41,27,24,18,19,16,18
2020년11월_남_100세 이상,26,2,2,3,11,0,3,4,1
2020년11월_여_총인구수,"99,575","15,883","19,341","12,014","8,043","11,494","9,113","12,822","10,865"
2020년11월_여_연령구간인구수,"99,575","15,883","19,341","12,014","8,043","11,494","9,113","12,822","10,865"
2020년11월_여_0~9세,"7,366","2,226","1,299",874,356,815,340,664,792
2020년11월_여_10~19세,"8,839","1,143","1,905","1,148",581,"1,367",601,990,"1,104"
2020년11월_여_20~29세,"13,289","1,696","2,716","1,677","1,063","1,485","1,420","1,814","1,418"
2020년11월_여_30~39세,"13,139","3,162","2,316","1,555",922,"1,298",999,"1,533","1,354"
2020년11월_여_40~49세,"16,526","2,664","3,370","2,057","1,147","2,121","1,286","1,805","2,076"
2020년11월_여_50~59세,"18,180","2,232","3,740","2,181","1,584","2,019","1,897","2,605","1,922"
2020년11월_여_60~69세,"12,107","1,684","2,088","1,339","1,251","1,353","1,397","1,858","1,137"
2020년11월_여_70~79세,"6,488",726,"1,204",758,713,660,763,983,681
2020년11월_여_80~89세,"3,076",293,598,371,353,316,346,478,321
2020년11월_여_90~99세,510,55,101,50,58,55,57,81,53
2020년11월_여_100세 이상,55,2,4,4,15,5,7,11,7
