카테고리,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020년02월_계_총인구수,"176,879","14,180","12,514","15,200","28,476","11,913","26,236","18,964","10,373","11,156","27,867"
2020년02월_계_연령구간인구수,"176,879","14,180","12,514","15,200","28,476","11,913","26,236","18,964","10,373","11,156","27,867"
2020년02월_계_0~9세,"10,616",725,904,679,"1,812",749,"1,441","1,217",364,547,"2,178"
2020년02월_계_10~19세,"12,348","1,241","1,250",717,"2,030",946,"1,736","1,335",511,758,"1,824"
2020년02월_계_20~29세,"24,217","1,901","1,476","1,839","3,300","1,321","4,885","2,815","1,902","1,519","3,259"
2020년02월_계_30~39세,"24,185","1,659","1,329","1,914","3,627","1,528","4,122","2,766","1,540","1,576","4,124"
2020년02월_계_40~49세,"25,781","2,139","2,025","1,960","3,819","1,840","3,764","2,952","1,375","1,680","4,227"
2020년02월_계_50~59세,"27,967","2,435","2,181","2,441","4,617","1,919","3,663","2,804","1,526","1,772","4,609"
2020년02월_계_60~69세,"27,763","2,082","1,874","2,923","4,980","1,979","3,568","2,619","1,684","1,656","4,398"
2020년02월_계_70~79세,"16,703","1,294","1,024","1,893","2,913","1,184","2,165","1,733","1,040","1,113","2,344"
2020년02월_계_80~89세,"6,394",601,364,752,"1,196",395,780,646,382,479,799
2020년02월_계_90~99세,840,97,77,78,171,48,105,69,44,51,100
2020년02월_계_100세 이상,65,6,10,4,11,4,7,8,5,5,5
2020년02월_남_총인구수,"83,801","6,546","5,846","7,291","13,711","5,856","12,362","8,881","4,948","4,971","13,389"
2020년02월_남_연령구간인구수,"83,801","6,546","5,846","7,291","13,711","5,856","12,362","8,881","4,948","4,971","13,389"
2020년02월_남_0~9세,"5,448",356,446,354,949,392,783,612,195,281,"1,080"
2020년02월_남_10~19세,"6,366",623,648,365,"1,040",513,916,668,269,393,931
2020년02월_남_20~29세,"11,929",960,767,927,"1,729",720,"2,232","1,329",861,710,"1,694"
2020년02월_남_30~39세,"12,119",809,632,"1,012","1,881",770,"2,045","1,375",795,732,"2,068"
2020년02월_남_40~49세,"12,630",963,909,"1,013","1,900",969,"1,852","1,448",727,728,"2,121"
2020년02월_남_50~59세,"12,703","1,119",953,"1,140","2,117",903,"1,620","1,271",714,776,"2,090"
2020년02월_남_60~69세,"12,414",907,852,"1,309","2,238",887,"1,586","1,158",775,682,"2,020"
2020년02월_남_70~79세,"7,576",555,476,858,"1,360",547,"1,008",740,459,488,"1,085"
2020년02월_남_80~89세,"2,396",221,148,293,446,146,290,257,144,172,279
2020년02월_남_90~99세,207,33,12,20,48,9,27,21,9,9,19
2020년02월_남_100세 이상,13,0,3,0,3,0,3,2,0,0,2
2020년02월_여_총인구수,"93,078","7,634","6,668","7,909","14,765","6,057","13,874","10,083","5,425","6,185","14,478"
2020년02월_여_연령구간인구수,"93,078","7,634","6,668","7,909","14,765","6,057","13,874","10,083","5,425","6,185","14,478"
2020년02월_여_0~9세,"5,168",369,458,325,863,357,658,605,169,266,"1,098"
2020년02월_여_10~19세,"5,982",618,602,352,990,433,820,667,242,365,893
2020년02월_여_20~29세,"12,288",941,709,912,"1,571",601,"2,653","1,486","1,041",809,"1,565"
2020년02월_여_30~39세,"12,066",850,697,902,"1,746",758,"2,077","1,391",745,844,"2,056"
2020년02월_여_40~49세,"13,151","1,176","1,116",947,"1,919",871,"1,912","1,504",648,952,"2,106"
2020년02월_여_50~59세,"15,264","1,316","1,228","1,301","2,500","1,016","2,043","1,533",812,996,"2,519"
2020년02월_여_60~69세,"15,349","1,175","1,022","1,614","2,742","1,092","1,982","1,461",909,974,"2,378"
2020년02월_여_70~79세,"9,127",739,548,"1,035","1,553",637,"1,157",993,581,625,"1,259"
2020년02월_여_80~89세,"3,998",380,216,459,750,249,490,389,238,307,520
2020년02월_여_90~99세,633,64,65,58,123,39,78,48,35,42,81
2020년02월_여_100세 이상,52,6,7,4,8,4,4,6,5,5,3
