,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년06월_계_총인구수,"48,843","14,072","2,912","6,657",708,"2,747","2,591","1,755","6,555","7,515","1,279","2,052"
2020년06월_계_연령구간인구수,"48,843","14,072","2,912","6,657",708,"2,747","2,591","1,755","6,555","7,515","1,279","2,052"
2020년06월_계_0~9세,"2,962","1,122",70,775,6,120,59,46,321,368,23,52
2020년06월_계_10~19세,"3,860","1,686",272,462,27,127,99,64,418,569,42,94
2020년06월_계_20~29세,"4,510","1,538",188,747,47,204,184,114,709,643,45,91
2020년06월_계_30~39세,"4,401","1,442",161,"1,144",26,171,123,66,601,537,44,86
2020년06월_계_40~49세,"6,332","2,376",252,936,63,293,161,151,860,948,120,172
2020년06월_계_50~59세,"8,694","2,389",472,"1,044",149,508,463,276,"1,302","1,441",297,353
2020년06월_계_60~69세,"7,952","1,667",542,754,142,530,565,371,"1,133","1,529",298,421
2020년06월_계_70~79세,"5,734","1,088",524,459,130,402,458,349,734,982,228,380
2020년06월_계_80~89세,"3,771",644,367,292,104,334,399,280,423,426,161,341
2020년06월_계_90~99세,609,118,62,40,14,57,78,38,51,71,19,61
2020년06월_계_100세 이상,18,2,2,4,0,1,2,0,3,1,2,1
2020년06월_남_총인구수,"24,430","7,088","1,422","3,488",368,"1,366","1,218",852,"3,357","3,693",620,958
2020년06월_남_연령구간인구수,"24,430","7,088","1,422","3,488",368,"1,366","1,218",852,"3,357","3,693",620,958
2020년06월_남_0~9세,"1,498",591,40,380,4,68,27,19,150,186,10,23
2020년06월_남_10~19세,"2,111",888,203,251,13,62,47,38,235,303,23,48
2020년06월_남_20~29세,"2,658",869,106,442,28,134,125,66,430,381,24,53
2020년06월_남_30~39세,"2,395",739,98,622,18,94,75,45,344,276,28,56
2020년06월_남_40~49세,"3,487","1,202",141,540,45,175,91,82,498,537,60,116
2020년06월_남_50~59세,"4,679","1,274",262,585,97,284,258,157,681,726,160,195
2020년06월_남_60~69세,"3,895",822,240,371,78,273,273,189,581,701,161,206
2020년06월_남_70~79세,"2,467",460,207,217,51,157,195,155,318,445,99,163
2020년06월_남_80~89세,"1,146",227,117,78,33,110,117,93,109,126,45,91
2020년06월_남_90~99세,92,16,8,2,1,9,10,8,10,12,9,7
2020년06월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년06월_여_총인구수,"24,413","6,984","1,490","3,169",340,"1,381","1,373",903,"3,198","3,822",659,"1,094"
2020년06월_여_연령구간인구수,"24,413","6,984","1,490","3,169",340,"1,381","1,373",903,"3,198","3,822",659,"1,094"
2020년06월_여_0~9세,"1,464",531,30,395,2,52,32,27,171,182,13,29
2020년06월_여_10~19세,"1,749",798,69,211,14,65,52,26,183,266,19,46
2020년06월_여_20~29세,"1,852",669,82,305,19,70,59,48,279,262,21,38
2020년06월_여_30~39세,"2,006",703,63,522,8,77,48,21,257,261,16,30
2020년06월_여_40~49세,"2,845","1,174",111,396,18,118,70,69,362,411,60,56
2020년06월_여_50~59세,"4,015","1,115",210,459,52,224,205,119,621,715,137,158
2020년06월_여_60~69세,"4,057",845,302,383,64,257,292,182,552,828,137,215
2020년06월_여_70~79세,"3,267",628,317,242,79,245,263,194,416,537,129,217
2020년06월_여_80~89세,"2,625",417,250,214,71,224,282,187,314,300,116,250
2020년06월_여_90~99세,517,102,54,38,13,48,68,30,41,59,10,54
2020년06월_여_100세 이상,16,2,2,4,0,1,2,0,2,1,1,1
