,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년08월_계_총인구수,"62,410","6,949","5,975","7,646","10,529","3,577","1,600","2,790","7,736","6,123","6,506","2,979"
2021년08월_계_연령구간인구수,"62,410","6,949","5,975","7,646","10,529","3,577","1,600","2,790","7,736","6,123","6,506","2,979"
2021년08월_계_0~9세,"3,606",420,229,322,811,114,81,73,415,502,530,109
2021년08월_계_10~19세,"4,971",592,460,601,880,196,106,147,652,574,575,188
2021년08월_계_20~29세,"6,558",740,667,762,"1,176",378,168,250,802,735,598,282
2021년08월_계_30~39세,"6,931",770,505,708,"1,370",320,153,211,823,"1,057",776,238
2021년08월_계_40~49세,"9,854","1,166",828,"1,171","1,755",467,240,346,"1,250","1,071","1,135",425
2021년08월_계_50~59세,"10,040","1,173","1,065","1,259","1,576",650,239,455,"1,258",962,977,426
2021년08월_계_60~69세,"10,416","1,111","1,080","1,379","1,586",737,300,619,"1,289",735,998,582
2021년08월_계_70~79세,"6,603",625,768,934,985,438,191,420,835,344,583,480
2021년08월_계_80~89세,"2,969",303,321,452,340,252,108,234,351,121,272,215
2021년08월_계_90~99세,425,48,49,56,45,24,13,31,53,19,55,32
2021년08월_계_100세 이상,37,1,3,2,5,1,1,4,8,3,7,2
2021년08월_남_총인구수,"31,517","3,572","3,048","3,769","5,167","1,857",783,"1,437","3,959","3,177","3,259","1,489"
2021년08월_남_연령구간인구수,"31,517","3,572","3,048","3,769","5,167","1,857",783,"1,437","3,959","3,177","3,259","1,489"
2021년08월_남_0~9세,"1,881",233,124,174,401,61,38,39,233,253,279,46
2021년08월_남_10~19세,"2,575",304,238,284,466,99,53,73,334,292,323,109
2021년08월_남_20~29세,"3,576",417,369,411,609,213,91,159,470,382,308,147
2021년08월_남_30~39세,"3,714",407,265,389,691,187,90,127,451,591,385,131
2021년08월_남_40~49세,"5,307",620,440,645,914,271,126,205,659,562,621,244
2021년08월_남_50~59세,"5,359",653,590,667,768,365,120,263,675,517,505,236
2021년08월_남_60~69세,"5,060",559,540,655,729,383,150,294,621,368,468,293
2021년08월_남_70~79세,"2,900",271,342,385,454,186,82,181,366,161,271,201
2021년08월_남_80~89세,"1,038",95,128,146,125,84,29,86,132,45,93,75
2021년08월_남_90~99세,98,12,12,13,8,8,4,8,16,5,5,7
2021년08월_남_100세 이상,9,1,0,0,2,0,0,2,2,1,1,0
2021년08월_여_총인구수,"30,893","3,377","2,927","3,877","5,362","1,720",817,"1,353","3,777","2,946","3,247","1,490"
2021년08월_여_연령구간인구수,"30,893","3,377","2,927","3,877","5,362","1,720",817,"1,353","3,777","2,946","3,247","1,490"
2021년08월_여_0~9세,"1,725",187,105,148,410,53,43,34,182,249,251,63
2021년08월_여_10~19세,"2,396",288,222,317,414,97,53,74,318,282,252,79
2021년08월_여_20~29세,"2,982",323,298,351,567,165,77,91,332,353,290,135
2021년08월_여_30~39세,"3,217",363,240,319,679,133,63,84,372,466,391,107
2021년08월_여_40~49세,"4,547",546,388,526,841,196,114,141,591,509,514,181
2021년08월_여_50~59세,"4,681",520,475,592,808,285,119,192,583,445,472,190
2021년08월_여_60~69세,"5,356",552,540,724,857,354,150,325,668,367,530,289
2021년08월_여_70~79세,"3,703",354,426,549,531,252,109,239,469,183,312,279
2021년08월_여_80~89세,"1,931",208,193,306,215,168,79,148,219,76,179,140
2021년08월_여_90~99세,327,36,37,43,37,16,9,23,37,14,50,25
2021년08월_여_100세 이상,28,0,3,2,3,1,1,2,6,2,6,2
