,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년09월_계_총인구수,"37,368","9,956","2,060","1,866","2,307","3,095","2,157","5,066","3,379","2,714","2,042","2,726"
2020년09월_계_연령구간인구수,"37,368","9,956","2,060","1,866","2,307","3,095","2,157","5,066","3,379","2,714","2,042","2,726"
2020년09월_계_0~9세,"1,267",633,55,31,34,80,52,124,80,65,46,67
2020년09월_계_10~19세,"2,038",934,124,52,91,143,96,205,118,109,60,106
2020년09월_계_20~29세,"2,900","1,263",122,107,130,213,142,264,189,208,117,145
2020년09월_계_30~39세,"2,415",994,98,81,96,195,123,239,187,153,117,132
2020년09월_계_40~49세,"3,868","1,503",179,155,194,309,189,391,294,268,166,220
2020년09월_계_50~59세,"7,296","1,645",417,425,447,679,443,"1,087",688,525,398,542
2020년09월_계_60~69세,"8,414","1,465",514,489,627,689,515,"1,344",884,625,564,698
2020년09월_계_70~79세,"5,420",958,301,293,395,479,336,875,520,449,341,473
2020년09월_계_80~89세,"3,274",503,215,204,254,277,226,461,359,279,192,304
2020년09월_계_90~99세,447,54,35,28,36,29,34,70,56,31,38,36
2020년09월_계_100세 이상,29,4,0,1,3,2,1,6,4,2,3,3
2020년09월_남_총인구수,"19,145","5,100","1,080",953,"1,197","1,547","1,084","2,602","1,723","1,402","1,053","1,404"
2020년09월_남_연령구간인구수,"19,145","5,100","1,080",953,"1,197","1,547","1,084","2,602","1,723","1,402","1,053","1,404"
2020년09월_남_0~9세,642,329,28,16,15,29,25,61,38,36,25,40
2020년09월_남_10~19세,"1,061",486,67,26,54,72,43,109,62,50,32,60
2020년09월_남_20~29세,"1,724",727,75,63,79,116,88,162,125,131,67,91
2020년09월_남_30~39세,"1,353",518,59,48,61,114,69,134,104,91,79,76
2020년09월_남_40~49세,"2,224",804,112,89,115,181,110,227,178,160,107,141
2020년09월_남_50~59세,"3,950",894,232,240,238,370,236,599,373,289,201,278
2020년09월_남_60~69세,"4,411",722,274,267,343,367,261,708,467,337,301,364
2020년09월_남_70~79세,"2,517",419,139,128,186,215,174,420,246,202,169,219
2020년09월_남_80~89세,"1,151",186,85,71,97,75,72,167,112,96,63,127
2020년09월_남_90~99세,105,14,9,5,8,8,6,14,17,9,9,6
2020년09월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년09월_여_총인구수,"18,223","4,856",980,913,"1,110","1,548","1,073","2,464","1,656","1,312",989,"1,322"
2020년09월_여_연령구간인구수,"18,223","4,856",980,913,"1,110","1,548","1,073","2,464","1,656","1,312",989,"1,322"
2020년09월_여_0~9세,625,304,27,15,19,51,27,63,42,29,21,27
2020년09월_여_10~19세,977,448,57,26,37,71,53,96,56,59,28,46
2020년09월_여_20~29세,"1,176",536,47,44,51,97,54,102,64,77,50,54
2020년09월_여_30~39세,"1,062",476,39,33,35,81,54,105,83,62,38,56
2020년09월_여_40~49세,"1,644",699,67,66,79,128,79,164,116,108,59,79
2020년09월_여_50~59세,"3,346",751,185,185,209,309,207,488,315,236,197,264
2020년09월_여_60~69세,"4,003",743,240,222,284,322,254,636,417,288,263,334
2020년09월_여_70~79세,"2,903",539,162,165,209,264,162,455,274,247,172,254
2020년09월_여_80~89세,"2,123",317,130,133,157,202,154,294,247,183,129,177
2020년09월_여_90~99세,342,40,26,23,28,21,28,56,39,22,29,30
2020년09월_여_100세 이상,22,3,0,1,2,2,1,5,3,1,3,1
