,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년02월_계_총인구수,"283,141","7,676","19,730","1,468","2,574","1,072","3,821","2,537",963,"17,336","3,504","3,618","2,812","2,237","8,736","9,616","11,843","14,950","21,244","4,556","11,957","4,512","35,302","49,672","19,126","22,279"
2021년02월_계_연령구간인구수,"283,141","7,676","19,730","1,468","2,574","1,072","3,821","2,537",963,"17,336","3,504","3,618","2,812","2,237","8,736","9,616","11,843","14,950","21,244","4,556","11,957","4,512","35,302","49,672","19,126","22,279"
2021년02월_계_0~9세,"21,496",337,"2,188",27,104,25,110,60,12,"1,449",80,101,82,77,917,747,513,"1,288","1,773",337,398,157,"2,493","4,461","1,535","2,225"
2021년02월_계_10~19세,"26,974",456,"2,463",58,130,28,189,142,23,"1,723",161,182,126,116,673,758,874,"1,462","1,966",380,685,225,"4,360","5,940","1,586","2,268"
2021년02월_계_20~29세,"37,291",770,"1,918",129,254,36,229,186,38,"2,145",239,880,373,264,997,"1,214","1,867","2,175","2,637",536,"2,679",998,"5,113","6,365","2,453","2,796"
2021년02월_계_30~39세,"34,144",658,"2,410",92,191,58,235,111,40,"2,344",243,406,306,214,"1,436","1,232","1,334","2,128","2,870",480,"1,303",610,"3,688","6,161","2,622","2,972"
2021년02월_계_40~49세,"42,396",889,"3,607",116,257,83,342,220,61,"2,879",375,391,353,245,"1,167","1,341","1,548","2,146","3,142",687,"1,400",497,"5,870","8,405","2,859","3,516"
2021년02월_계_50~59세,"46,942","1,438","3,078",258,517,209,693,478,193,"2,809",670,515,482,401,"1,246","1,677","1,974","2,394","3,403",760,"1,829",673,"6,267","8,357","3,220","3,401"
2021년02월_계_60~69세,"38,869","1,471","2,419",399,591,285,956,660,296,"2,251",917,524,511,397,"1,121","1,340","1,921","1,735","2,947",689,"1,734",661,"4,017","5,649","2,712","2,666"
2021년02월_계_70~79세,"20,989",932,997,206,280,195,577,401,186,"1,045",503,383,328,305,706,797,"1,112",968,"1,510",417,"1,162",408,"2,128","2,609","1,368","1,466"
2021년02월_계_80~89세,"11,975",623,531,168,220,130,396,238,99,592,270,208,206,173,400,425,601,564,865,230,666,245,"1,194","1,479",636,816
2021년02월_계_90~99세,"1,945",98,115,14,29,22,84,41,14,95,43,25,43,42,66,73,96,84,128,38,95,36,167,239,126,132
2021년02월_계_100세 이상,120,4,4,1,1,1,10,0,1,4,3,3,2,3,7,12,3,6,3,2,6,2,5,7,9,21
2021년02월_남_총인구수,"139,756","3,857","9,783",799,"1,328",580,"1,958","1,254",532,"8,645","1,848","1,870","1,364","1,087","4,412","4,679","5,883","7,147","10,085","2,273","6,354","2,273","17,288","23,899","9,353","11,205"
2021년02월_남_연령구간인구수,"139,756","3,857","9,783",799,"1,328",580,"1,958","1,254",532,"8,645","1,848","1,870","1,364","1,087","4,412","4,679","5,883","7,147","10,085","2,273","6,354","2,273","17,288","23,899","9,353","11,205"
2021년02월_남_0~9세,"11,035",163,"1,130",10,56,18,50,32,6,770,47,65,47,38,492,369,271,648,893,163,194,83,"1,255","2,282",796,"1,157"
2021년02월_남_10~19세,"14,004",237,"1,274",39,56,15,114,83,11,884,86,99,65,62,378,407,450,767,979,209,351,115,"2,217","3,070",815,"1,221"
2021년02월_남_20~29세,"19,903",439,"1,045",75,155,22,121,109,22,"1,091",131,484,187,159,516,637,984,"1,101","1,342",298,"1,606",488,"2,672","3,345","1,288","1,586"
2021년02월_남_30~39세,"17,438",352,"1,131",57,103,33,125,63,26,"1,209",144,229,167,113,752,631,748,"1,075","1,450",250,780,343,"1,911","2,950","1,339","1,457"
2021년02월_남_40~49세,"20,932",472,"1,782",75,142,53,201,110,33,"1,477",224,211,199,126,602,682,796,"1,005","1,507",361,800,284,"2,748","3,882","1,394","1,766"
2021년02월_남_50~59세,"23,585",764,"1,571",152,298,126,384,230,111,"1,421",373,275,249,210,697,822,"1,000","1,131","1,605",374,"1,020",348,"3,145","4,015","1,513","1,751"
2021년02월_남_60~69세,"18,797",757,"1,195",226,290,158,524,337,182,"1,109",470,238,242,192,539,627,899,800,"1,366",332,841,313,"1,964","2,674","1,270","1,252"
2021년02월_남_70~79세,"9,217",428,453,98,146,94,291,193,91,451,259,188,134,117,262,321,498,404,633,170,492,176,882,"1,094",674,668
2021년02월_남_80~89세,"4,317",214,183,64,76,55,125,90,45,204,100,72,63,60,145,155,217,189,277,102,252,111,453,529,232,304
2021년02월_남_90~99세,478,29,19,3,5,6,19,7,4,28,12,7,10,8,27,23,20,26,31,14,13,11,39,58,29,30
