카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년03월_계_총인구수,"64,393","9,668","3,304","1,720","5,128","1,306",714,"1,843",678,668,"7,648","14,563","9,059","8,094"
2021년03월_계_연령구간인구수,"64,393","9,668","3,304","1,720","5,128","1,306",714,"1,843",678,668,"7,648","14,563","9,059","8,094"
2021년03월_계_0~9세,"3,772",316,90,42,103,22,8,44,13,15,287,"1,649",646,537
2021년03월_계_10~19세,"5,044",747,143,63,213,37,8,68,25,14,482,"1,687",810,747
2021년03월_계_20~29세,"6,975","1,694",233,128,341,66,33,85,27,24,731,"1,845","1,020",748
2021년03월_계_30~39세,"5,590",516,207,88,265,68,20,90,20,34,595,"2,023",929,735
2021년03월_계_40~49세,"8,792","1,059",391,187,469,140,62,192,76,72,942,"2,515","1,487","1,200"
2021년03월_계_50~59세,"11,145","1,619",627,351,987,281,142,341,128,126,"1,408","2,279","1,533","1,323"
2021년03월_계_60~69세,"11,330","1,852",696,378,"1,198",378,193,441,174,168,"1,606","1,488","1,320","1,438"
2021년03월_계_70~79세,"7,115","1,211",515,294,818,175,135,324,128,124,"1,032",685,842,832
2021년03월_계_80~89세,"4,022",591,342,163,615,126,89,224,76,82,506,329,402,477
2021년03월_계_90~99세,579,60,52,26,114,13,24,34,11,9,57,57,65,57
2021년03월_계_100세 이상,29,3,8,0,5,0,0,0,0,0,2,6,5,0
2021년03월_남_총인구수,"32,566","4,789","1,727",860,"2,641",712,391,961,346,364,"3,759","7,400","4,606","4,010"
2021년03월_남_연령구간인구수,"32,566","4,789","1,727",860,"2,641",712,391,961,346,364,"3,759","7,400","4,606","4,010"
2021년03월_남_0~9세,"1,914",149,49,20,55,13,4,26,11,8,152,833,321,273
2021년03월_남_10~19세,"2,608",354,72,35,131,21,3,43,11,6,246,864,436,386
2021년03월_남_20~29세,"3,883",878,159,70,219,34,24,57,16,12,410,"1,033",563,408
2021년03월_남_30~39세,"3,018",269,130,56,164,48,12,49,9,19,336,"1,048",482,396
2021년03월_남_40~49세,"4,842",604,251,114,300,101,44,137,50,56,507,"1,243",799,636
2021년03월_남_50~59세,"6,022",879,377,191,592,145,92,196,79,76,691,"1,185",858,661
2021년03월_남_60~69세,"5,684",945,362,197,614,214,115,236,81,97,745,748,637,693
2021년03월_남_70~79세,"3,147",523,215,115,354,79,61,149,58,58,480,305,370,380
2021년03월_남_80~89세,"1,338",175,101,56,198,54,31,65,30,31,178,127,126,166
2021년03월_남_90~99세,105,13,8,6,14,3,5,3,1,1,14,13,13,11
2021년03월_남_100세 이상,5,0,3,0,0,0,0,0,0,0,0,1,1,0
2021년03월_여_총인구수,"31,827","4,879","1,577",860,"2,487",594,323,882,332,304,"3,889","7,163","4,453","4,084"
2021년03월_여_연령구간인구수,"31,827","4,879","1,577",860,"2,487",594,323,882,332,304,"3,889","7,163","4,453","4,084"
2021년03월_여_0~9세,"1,858",167,41,22,48,9,4,18,2,7,135,816,325,264
2021년03월_여_10~19세,"2,436",393,71,28,82,16,5,25,14,8,236,823,374,361
2021년03월_여_20~29세,"3,092",816,74,58,122,32,9,28,11,12,321,812,457,340
2021년03월_여_30~39세,"2,572",247,77,32,101,20,8,41,11,15,259,975,447,339
2021년03월_여_40~49세,"3,950",455,140,73,169,39,18,55,26,16,435,"1,272",688,564
2021년03월_여_50~59세,"5,123",740,250,160,395,136,50,145,49,50,717,"1,094",675,662
2021년03월_여_60~69세,"5,646",907,334,181,584,164,78,205,93,71,861,740,683,745
2021년03월_여_70~79세,"3,968",688,300,179,464,96,74,175,70,66,552,380,472,452
2021년03월_여_80~89세,"2,684",416,241,107,417,72,58,159,46,51,328,202,276,311
2021년03월_여_90~99세,474,47,44,20,100,10,19,31,10,8,43,44,52,46
2021년03월_여_100세 이상,24,3,5,0,5,0,0,0,0,0,2,5,4,0
