,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년07월_계_총인구수,"525,378","27,613","43,906","24,084","26,078","11,365","3,630","20,414","6,745","5,391","44,013","25,812","19,601","12,254","22,043","7,376","5,780","22,808","10,727","4,162","77,055","53,295","24,765","26,461"
2020년07월_계_연령구간인구수,"525,378","27,613","43,906","24,084","26,078","11,365","3,630","20,414","6,745","5,391","44,013","25,812","19,601","12,254","22,043","7,376","5,780","22,808","10,727","4,162","77,055","53,295","24,765","26,461"
2020년07월_계_0~9세,"48,577","1,574","4,195","2,028","4,126",524,115,"2,400",327,159,"3,064","1,417","2,353",711,"1,681",593,171,"1,141",581,127,"9,842","5,718","3,487","2,243"
2020년07월_계_10~19세,"52,809","1,751","5,944","2,016","3,012",838,216,"1,712",492,305,"5,067","2,418","1,850",939,"2,218",500,299,"1,794",694,215,"8,597","6,198","3,008","2,726"
2020년07월_계_20~29세,"71,509","2,937","5,740","3,022","2,217","1,504",353,"2,896",724,460,"7,059","3,690","2,573","2,278","2,960","1,033",723,"3,890","1,583",619,"10,427","7,452","3,261","4,108"
2020년07월_계_30~39세,"78,517","2,997","5,808","3,963","4,918","1,335",346,"3,790",621,371,"5,429","3,122","3,365","2,180","2,658","1,250",640,"2,926","1,537",411,"14,558","8,088","4,628","3,576"
2020년07월_계_40~49세,"91,885","3,959","8,721","4,652","5,115","1,725",471,"3,284",892,635,"7,755","4,265","3,553","2,023","3,742","1,208",797,"3,470","1,592",545,"14,752","9,384","5,051","4,294"
2020년07월_계_50~59세,"85,361","5,198","6,823","3,856","2,900","2,132",689,"3,012","1,336","1,044","8,030","4,906","3,160","1,898","4,106","1,111","1,026","4,301","1,909",843,"10,457","8,530","3,152","4,942"
2020년07월_계_60~69세,"52,634","4,549","3,612","2,521","2,056","1,753",707,"1,799","1,114","1,109","4,265","3,178","1,620","1,204","2,591",870,976,"2,896","1,474",731,"5,066","4,589","1,377","2,577"
2020년07월_계_70~79세,"28,285","2,875","1,949","1,302","1,095","1,016",449,944,737,781,"2,198","1,845",727,690,"1,342",520,718,"1,574",874,454,"2,225","2,142",536,"1,292"
2020년07월_계_80~89세,"13,647","1,523",963,627,527,476,257,494,433,450,"1,006",839,344,281,634,232,351,719,411,188,989,"1,048",235,620
2020년07월_계_90~99세,"1,917",200,141,93,105,57,25,77,67,74,123,115,50,45,98,48,56,86,57,25,134,133,30,78
2020년07월_계_100세 이상,237,50,10,4,7,5,2,6,2,3,17,17,6,5,13,11,23,11,15,4,8,13,0,5
2020년07월_남_총인구수,"271,051","14,122","22,501","14,357","13,784","6,233","1,991","10,737","3,571","2,838","22,524","13,038","10,198","6,512","10,983","3,660","2,930","11,689","5,545","2,180","39,061","26,462","12,850","13,285"
2020년07월_남_연령구간인구수,"271,051","14,122","22,501","14,357","13,784","6,233","1,991","10,737","3,571","2,838","22,524","13,038","10,198","6,512","10,983","3,660","2,930","11,689","5,545","2,180","39,061","26,462","12,850","13,285"
2020년07월_남_0~9세,"24,806",825,"2,073","1,018","2,155",264,55,"1,191",178,84,"1,578",709,"1,199",348,837,298,96,599,286,63,"5,074","2,915","1,810","1,151"
2020년07월_남_10~19세,"27,252",919,"3,006","1,074","1,543",459,124,862,249,162,"2,603","1,253",916,454,"1,126",263,159,937,363,122,"4,435","3,281","1,540","1,402"
2020년07월_남_20~29세,"39,121","1,697","3,106","1,948","1,238",899,214,"1,688",412,266,"3,940","2,023","1,371","1,285","1,602",570,401,"2,110",883,353,"5,378","3,838","1,731","2,168"
2020년07월_남_30~39세,"42,519","1,684","3,114","2,612","2,538",854,211,"2,050",374,217,"2,992","1,752","1,769","1,272","1,360",682,392,"1,636",895,247,"7,482","4,094","2,400","1,892"
2020년07월_남_40~49세,"48,693","2,208","4,444","3,019","2,908",997,297,"1,821",530,395,"3,902","2,243","1,942","1,138","1,934",642,480,"1,825",817,299,"7,545","4,490","2,671","2,146"
