,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년12월_계_총인구수,"52,140","21,003","1,969","2,891","2,244","3,440","2,462","4,526","2,315","2,585","2,223","2,691","2,635","1,156"
2020년12월_계_연령구간인구수,"52,140","21,003","1,969","2,891","2,244","3,440","2,462","4,526","2,315","2,585","2,223","2,691","2,635","1,156"
2020년12월_계_0~9세,"2,561","1,666",44,55,73,98,49,215,68,49,67,69,80,28
2020년12월_계_10~19세,"3,723","2,352",69,116,124,148,78,278,109,102,87,113,116,31
2020년12월_계_20~29세,"4,305","2,200",120,207,174,207,130,385,151,146,160,182,180,63
2020년12월_계_30~39세,"3,903","2,068",112,160,173,225,114,356,136,112,126,132,125,64
2020년12월_계_40~49세,"6,145","3,112",153,259,225,385,193,535,220,237,178,260,272,116
2020년12월_계_50~59세,"8,845","3,433",310,500,398,514,450,867,412,421,410,449,469,212
2020년12월_계_60~69세,"9,629","2,976",450,560,451,753,563,894,575,533,451,570,575,278
2020년12월_계_70~79세,"7,708","1,983",378,574,343,722,495,621,415,523,416,532,493,213
2020년12월_계_80~89세,"4,667","1,085",285,399,241,348,347,333,197,406,291,337,273,125
2020년12월_계_90~99세,619,122,44,60,41,38,41,40,29,54,34,45,47,24
2020년12월_계_100세 이상,35,6,4,1,1,2,2,2,3,2,3,2,5,2
2020년12월_남_총인구수,"25,914","10,288",952,"1,465","1,156","1,741","1,222","2,320","1,178","1,276","1,090","1,323","1,289",614
2020년12월_남_연령구간인구수,"25,914","10,288",952,"1,465","1,156","1,741","1,222","2,320","1,178","1,276","1,090","1,323","1,289",614
2020년12월_남_0~9세,"1,341",863,22,36,26,42,25,120,40,27,38,38,49,15
2020년12월_남_10~19세,"1,961","1,225",42,64,67,74,47,144,63,53,44,60,63,15
2020년12월_남_20~29세,"2,420","1,214",68,119,90,114,73,214,99,84,83,106,119,37
2020년12월_남_30~39세,"2,109","1,015",68,92,108,144,67,205,74,76,79,74,65,42
2020년12월_남_40~49세,"3,443","1,547",97,182,142,251,129,333,128,149,104,147,159,75
2020년12월_남_50~59세,"4,827","1,705",178,293,234,304,250,469,227,252,242,273,259,141
2020년12월_남_60~69세,"4,820","1,475",221,296,255,357,290,447,274,265,243,284,267,146
2020년12월_남_70~79세,"3,344",858,153,240,149,317,218,284,203,215,175,214,222,96
2020년12월_남_80~89세,"1,513",362,96,128,76,125,113,97,65,139,78,115,78,41
2020년12월_남_90~99세,132,23,7,15,9,13,10,7,5,16,3,12,7,5
2020년12월_남_100세 이상,4,1,0,0,0,0,0,0,0,0,1,0,1,1
2020년12월_여_총인구수,"26,226","10,715","1,017","1,426","1,088","1,699","1,240","2,206","1,137","1,309","1,133","1,368","1,346",542
2020년12월_여_연령구간인구수,"26,226","10,715","1,017","1,426","1,088","1,699","1,240","2,206","1,137","1,309","1,133","1,368","1,346",542
2020년12월_여_0~9세,"1,220",803,22,19,47,56,24,95,28,22,29,31,31,13
2020년12월_여_10~19세,"1,762","1,127",27,52,57,74,31,134,46,49,43,53,53,16
2020년12월_여_20~29세,"1,885",986,52,88,84,93,57,171,52,62,77,76,61,26
2020년12월_여_30~39세,"1,794","1,053",44,68,65,81,47,151,62,36,47,58,60,22
2020년12월_여_40~49세,"2,702","1,565",56,77,83,134,64,202,92,88,74,113,113,41
2020년12월_여_50~59세,"4,018","1,728",132,207,164,210,200,398,185,169,168,176,210,71
2020년12월_여_60~69세,"4,809","1,501",229,264,196,396,273,447,301,268,208,286,308,132
2020년12월_여_70~79세,"4,364","1,125",225,334,194,405,277,337,212,308,241,318,271,117
2020년12월_여_80~89세,"3,154",723,189,271,165,223,234,236,132,267,213,222,195,84
2020년12월_여_90~99세,487,99,37,45,32,25,31,33,24,38,31,33,40,19
2020년12월_여_100세 이상,31,5,4,1,1,2,2,2,3,2,2,2,4,1
