카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년07월_계_총인구수,"527,981","22,868","27,840","30,985","38,011","39,960","27,886","22,946","25,315","27,594","20,959","36,036","39,547","20,814","27,297","24,864","33,887","23,355","21,492","16,325"
2020년07월_계_연령구간인구수,"527,981","22,868","27,840","30,985","38,011","39,960","27,886","22,946","25,315","27,594","20,959","36,036","39,547","20,814","27,297","24,864","33,887","23,355","21,492","16,325"
2020년07월_계_0~9세,"34,557","1,274","1,857","2,354","2,216","2,988","1,247","1,590","1,631","2,012","1,230","2,233","2,473","1,050","1,476","1,162","2,649","2,594","1,498","1,023"
2020년07월_계_10~19세,"54,561","1,790","2,251","2,224","2,807","4,547","3,323","2,894","4,504","5,824","2,413","3,320","3,440","1,942","2,171","2,128","3,144","2,167","2,257","1,415"
2020년07월_계_20~29세,"73,807","3,877","3,293","3,667","6,813","6,656","4,806","3,162","3,362","2,985","2,623","4,430","5,463","3,338","3,278","3,487","4,696","2,712","2,739","2,420"
2020년07월_계_30~39세,"66,120","2,857","3,396","4,769","5,532","5,285","2,797","2,608","1,962","2,056","2,041","4,426","5,017","2,390","3,038","2,697","4,996","4,868","2,878","2,507"
2020년07월_계_40~49세,"87,864","3,505","4,418","4,733","5,512","6,732","4,356","4,150","5,208","6,715","3,625","6,059","5,841","3,232","4,073","3,807","5,696","3,980","3,650","2,572"
2020년07월_계_50~59세,"88,319","3,635","4,616","4,858","5,867","6,109","5,020","3,983","4,625","4,465","3,640","5,737","7,117","3,970","4,886","4,560","5,654","3,043","3,631","2,903"
2020년07월_계_60~69세,"66,661","3,104","4,368","4,540","5,355","4,333","3,465","2,438","2,264","1,996","2,623","4,785","5,830","2,801","4,260","3,619","3,898","2,209","2,724","2,049"
2020년07월_계_70~79세,"37,353","1,984","2,505","2,605","2,726","2,235","1,810","1,346","1,119",979,"1,901","3,318","2,890","1,436","2,778","2,308","1,982","1,169","1,362",900
