카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년12월_계_총인구수,"30,762","9,701","3,059","2,077","2,001","4,350","2,179","1,496","2,213","1,691","1,995"
2021년12월_계_연령구간인구수,"30,762","9,701","3,059","2,077","2,001","4,350","2,179","1,496","2,213","1,691","1,995"
2021년12월_계_0~9세,"1,227",557,89,49,63,161,48,23,53,20,164
2021년12월_계_10~19세,"1,803",892,112,83,81,212,86,61,109,32,135
2021년12월_계_20~29세,"1,820",795,121,123,98,243,89,64,87,79,121
2021년12월_계_30~39세,"1,752",695,140,101,96,222,96,53,80,54,215
2021년12월_계_40~49세,"3,024","1,228",213,173,134,378,169,110,199,110,310
2021년12월_계_50~59세,"5,526","1,711",564,347,339,824,425,321,409,273,313
2021년12월_계_60~69세,"7,111","1,731",844,535,495,"1,039",619,424,580,459,385
2021년12월_계_70~79세,"4,663","1,174",545,355,341,684,357,237,397,372,201
2021년12월_계_80~89세,"3,305",779,368,271,311,501,252,177,255,257,134
2021년12월_계_90~99세,510,133,61,38,42,84,36,25,41,33,17
2021년12월_계_100세 이상,21,6,2,2,1,2,2,1,3,2,0
2021년12월_남_총인구수,"15,551","4,798","1,547","1,005","1,013","2,175","1,098",758,"1,163",867,"1,127"
2021년12월_남_연령구간인구수,"15,551","4,798","1,547","1,005","1,013","2,175","1,098",758,"1,163",867,"1,127"
2021년12월_남_0~9세,634,288,45,27,33,92,23,10,30,6,80
2021년12월_남_10~19세,963,449,67,40,42,116,48,42,65,23,71
2021년12월_남_20~29세,"1,096",449,82,75,61,147,55,35,62,49,81
2021년12월_남_30~39세,975,356,83,59,52,121,51,30,47,37,139
2021년12월_남_40~49세,"1,753",641,125,108,84,218,105,61,127,74,210
2021년12월_남_50~59세,"3,002",915,288,179,196,434,231,169,233,158,199
2021년12월_남_60~69세,"3,716",867,457,267,276,532,336,232,310,229,210
2021년12월_남_70~79세,"2,134",534,247,160,141,310,163,112,190,186,91
2021년12월_남_80~89세,"1,157",276,134,81,117,182,76,61,93,97,40
2021년12월_남_90~99세,120,23,19,8,11,23,10,6,6,8,6
2021년12월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0
2021년12월_여_총인구수,"15,211","4,903","1,512","1,072",988,"2,175","1,081",738,"1,050",824,868
2021년12월_여_연령구간인구수,"15,211","4,903","1,512","1,072",988,"2,175","1,081",738,"1,050",824,868
2021년12월_여_0~9세,593,269,44,22,30,69,25,13,23,14,84
2021년12월_여_10~19세,840,443,45,43,39,96,38,19,44,9,64
2021년12월_여_20~29세,724,346,39,48,37,96,34,29,25,30,40
2021년12월_여_30~39세,777,339,57,42,44,101,45,23,33,17,76
2021년12월_여_40~49세,"1,271",587,88,65,50,160,64,49,72,36,100
2021년12월_여_50~59세,"2,524",796,276,168,143,390,194,152,176,115,114
2021년12월_여_60~69세,"3,395",864,387,268,219,507,283,192,270,230,175
2021년12월_여_70~79세,"2,529",640,298,195,200,374,194,125,207,186,110
2021년12월_여_80~89세,"2,148",503,234,190,194,319,176,116,162,160,94
2021년12월_여_90~99세,390,110,42,30,31,61,26,19,35,25,11
2021년12월_여_100세 이상,20,6,2,1,1,2,2,1,3,2,0
