,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년07월_계_총인구수,"31,947","10,171",519,"3,743","8,115","4,870","2,592","1,937"
2021년07월_계_연령구간인구수,"31,947","10,171",519,"3,743","8,115","4,870","2,592","1,937"
2021년07월_계_0~9세,"2,474",979,17,274,558,350,187,109
2021년07월_계_10~19세,"2,270",875,34,228,606,304,132,91
2021년07월_계_20~29세,"4,213","1,262",27,479,"1,037",536,571,301
2021년07월_계_30~39세,"3,916","1,401",32,483,841,606,376,177
2021년07월_계_40~49세,"3,936","1,452",52,372,"1,028",605,233,194
2021년07월_계_50~59세,"5,098","1,538",122,571,"1,432",797,322,316
2021년07월_계_60~69세,"5,590","1,498",123,745,"1,459",948,404,413
2021년07월_계_70~79세,"2,624",707,72,324,670,419,223,209
2021년07월_계_80~89세,"1,565",389,36,223,421,257,130,109
2021년07월_계_90~99세,254,67,4,43,61,48,14,17
2021년07월_계_100세 이상,7,3,0,1,2,0,0,1
2021년07월_남_총인구수,"17,341","5,366",275,"2,009","4,365","2,649","1,564","1,113"
2021년07월_남_연령구간인구수,"17,341","5,366",275,"2,009","4,365","2,649","1,564","1,113"
2021년07월_남_0~9세,"1,252",491,8,128,283,183,101,58
2021년07월_남_10~19세,"1,199",478,17,111,316,157,68,52
2021년07월_남_20~29세,"2,831",771,15,325,674,356,461,229
2021년07월_남_30~39세,"2,261",769,21,286,463,364,246,112
2021년07월_남_40~49세,"2,193",777,31,212,575,341,144,113
2021년07월_남_50~59세,"2,721",802,69,307,779,413,184,167
2021년07월_남_60~69세,"3,004",780,61,397,799,533,202,232
2021년07월_남_70~79세,"1,255",340,38,153,310,200,111,103
2021년07월_남_80~89세,553,140,13,78,149,91,43,39
2021년07월_남_90~99세,68,16,2,12,15,11,4,8
2021년07월_남_100세 이상,4,2,0,0,2,0,0,0
2021년07월_여_총인구수,"14,606","4,805",244,"1,734","3,750","2,221","1,028",824
2021년07월_여_연령구간인구수,"14,606","4,805",244,"1,734","3,750","2,221","1,028",824
2021년07월_여_0~9세,"1,222",488,9,146,275,167,86,51
2021년07월_여_10~19세,"1,071",397,17,117,290,147,64,39
2021년07월_여_20~29세,"1,382",491,12,154,363,180,110,72
2021년07월_여_30~39세,"1,655",632,11,197,378,242,130,65
2021년07월_여_40~49세,"1,743",675,21,160,453,264,89,81
2021년07월_여_50~59세,"2,377",736,53,264,653,384,138,149
2021년07월_여_60~69세,"2,586",718,62,348,660,415,202,181
2021년07월_여_70~79세,"1,369",367,34,171,360,219,112,106
2021년07월_여_80~89세,"1,012",249,23,145,272,166,87,70
2021년07월_여_90~99세,186,51,2,31,46,37,10,9
2021년07월_여_100세 이상,3,1,0,1,0,0,0,1
