카테고리,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년10월_계_총인구수,"358,317","15,550","9,989","20,802","22,413","20,579","13,011","19,235","21,231","22,952","18,070","24,012","10,370","11,781","20,018","17,213","17,238","11,423","29,602","12,099","20,729"
2020년10월_계_연령구간인구수,"358,317","15,550","9,989","20,802","22,413","20,579","13,011","19,235","21,231","22,952","18,070","24,012","10,370","11,781","20,018","17,213","17,238","11,423","29,602","12,099","20,729"
2020년10월_계_0~9세,"21,373",635,638,"1,488","1,308","1,226",573,"1,033","1,027","1,953","1,153","1,231",778,724,935,"1,065","1,277",656,"1,884",514,"1,275"
2020년10월_계_10~19세,"25,047",560,473,"1,868","1,573","1,555",623,"1,086","1,208","1,865","1,961","2,038",701,957,"1,248","1,388","1,000",852,"2,542",491,"1,058"
2020년10월_계_20~29세,"52,413","3,261","1,961","2,143","2,319","2,958","2,922","4,242","3,394","2,550","2,054","2,947","1,290","1,286","3,249","2,152","3,319","1,613","3,698","2,479","2,576"
2020년10월_계_30~39세,"47,670","2,439","1,769","2,340","2,484","2,505","2,301","3,458","3,066","3,054","1,788","2,396","1,664","1,348","2,311","1,920","2,796","1,197","3,424","2,235","3,175"
2020년10월_계_40~49세,"51,500","1,765","1,478","3,345","3,142","3,056","1,797","2,587","2,988","3,784","2,921","3,514","1,501","1,802","2,711","2,423","2,445","1,577","4,318","1,563","2,783"
2020년10월_계_50~59세,"58,615","2,560","1,532","3,267","3,692","3,628","1,666","2,425","3,107","3,777","3,428","4,490","1,511","2,256","3,443","2,918","2,563","1,964","5,425","1,731","3,232"
2020년10월_계_60~69세,"55,463","2,384","1,294","3,374","4,074","3,048","1,620","2,215","3,317","3,202","2,686","4,113","1,598","1,897","3,374","2,945","2,121","1,919","4,991","1,678","3,613"
2020년10월_계_70~79세,"31,706","1,329",569,"2,040","2,659","1,723","1,021","1,448","2,139","1,979","1,463","2,164",918,"1,048","1,978","1,700","1,208","1,149","2,184",924,"2,063"
2020년10월_계_80~89세,"12,782",531,222,823,"1,040",784,424,631,884,671,542,967,368,408,684,611,454,456,"1,016",423,843
2020년10월_계_90~99세,"1,516",71,46,107,109,84,56,94,88,84,61,140,34,48,77,79,53,37,111,52,85
2020년10월_계_100세 이상,232,15,7,7,13,12,8,16,13,33,13,12,7,7,8,12,2,3,9,9,26
2020년10월_남_총인구수,"173,254","7,825","4,999","9,826","10,896","9,777","5,982","9,211","10,009","11,201","8,909","11,464","4,993","5,776","9,969","8,397","8,238","5,587","14,336","5,764","10,095"
2020년10월_남_연령구간인구수,"173,254","7,825","4,999","9,826","10,896","9,777","5,982","9,211","10,009","11,201","8,909","11,464","4,993","5,776","9,969","8,397","8,238","5,587","14,336","5,764","10,095"
2020년10월_남_0~9세,"10,825",313,341,736,688,609,295,505,538,"1,008",583,598,398,380,453,544,647,307,980,247,655
2020년10월_남_10~19세,"12,773",302,235,935,869,794,292,546,619,940,"1,016","1,035",353,465,655,723,482,432,"1,267",251,562
2020년10월_남_20~29세,"25,778","1,507",946,"1,121","1,238","1,474","1,189","1,907","1,583","1,309","1,128","1,593",628,690,"1,748","1,139","1,469",866,"1,944","1,078","1,221"
2020년10월_남_30~39세,"24,362","1,327",953,"1,197","1,288","1,248","1,103","1,784","1,518","1,501",905,"1,245",850,685,"1,250",965,"1,404",651,"1,713","1,121","1,654"
2020년10월_남_40~49세,"25,978",959,784,"1,596","1,592","1,494",895,"1,309","1,464","1,922","1,419","1,707",761,912,"1,454","1,201","1,269",786,"2,140",800,"1,514"
2020년10월_남_50~59세,"28,437","1,391",740,"1,506","1,759","1,715",845,"1,227","1,480","1,826","1,694","2,127",708,"1,109","1,697","1,399","1,260",967,"2,539",888,"1,560"
