,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년02월_계_총인구수,"2,636,747","503,051","230,712","272,339","253,579","140,560","158,493","415,409","102,917","102,024","96,942","71,030","264,279","23,130","51,501","24,991","16,623","36,188","42,226","31,245","43,234","114,691","55,807","31,317","48,460","9,050"
2021년02월_계_연령구간인구수,"2,636,747","503,051","230,712","272,339","253,579","140,560","158,493","415,409","102,917","102,024","96,942","71,030","264,279","23,130","51,501","24,991","16,623","36,188","42,226","31,245","43,234","114,691","55,807","31,317","48,460","9,050"
2021년02월_계_0~9세,"187,099","39,159","17,256","21,903","16,056","10,316","10,509","40,774","6,029","5,637","5,163","3,974","20,199",668,"1,876",965,739,"1,621","1,489","1,403","1,904","9,412","4,606","1,347","2,859",394
2021년02월_계_10~19세,"225,182","46,648","21,191","25,457","20,826","12,288","13,643","44,689","8,795","6,713","7,449","5,487","22,743",947,"2,265","1,197",916,"2,098","2,283","2,015","2,249","11,537","4,411","1,844","3,693",446
2021년02월_계_20~29세,"281,975","56,372","26,397","29,975","26,574","14,557","16,555","56,213","9,575","10,141","7,960","6,121","36,188","1,475","3,094","1,660","1,137","2,392","2,803","2,503","3,417","11,904","4,126","1,955","4,427",826
2021년02월_계_30~39세,"288,266","59,091","26,677","32,414","25,217","15,029","15,418","65,024","8,404","9,351","7,354","5,630","32,984","1,288","3,170","1,680","1,019","2,364","2,720","2,210","3,255","14,617","5,448","1,892","4,244",857
2021년02월_계_40~49세,"382,383","77,074","35,684","41,390","36,661","19,340","22,145","73,049","13,830","12,575","11,427","8,689","41,531","2,115","4,677","2,358","1,699","3,840","4,435","3,780","4,721","20,668","7,134","3,184","6,173","1,278"
2021년02월_계_50~59세,"458,501","89,844","41,254","48,590","46,885","23,830","26,347","69,861","17,840","18,207","16,650","11,934","45,024","4,258","8,607","4,687","2,955","6,133","7,234","5,876","8,385","19,744","8,075","5,733","8,566","1,826"
2021년02월_계_60~69세,"414,634","79,605","37,008","42,597","41,659","22,336","25,968","40,336","18,559","18,889","18,533","13,521","35,451","5,410","11,898","5,584","3,478","7,459","9,702","6,335","9,408","13,995","9,530","6,875","8,325","1,778"
2021년02월_계_70~79세,"241,712","37,374","17,435","19,939","24,632","13,367","16,551","16,073","11,849","12,625","12,564","9,206","19,582","3,985","8,862","4,020","2,667","5,895","6,645","4,107","5,838","7,696","6,773","4,697","5,655","1,049"
2021년02월_계_80~89세,"136,736","15,569","6,841","8,728","13,198","8,204","9,812","8,172","6,924","7,015","8,477","5,584","9,373","2,637","6,188","2,507","1,726","3,822","4,281","2,679","3,524","4,446","4,994","3,251","3,852",501
2021년02월_계_90~99세,"19,246","2,202",909,"1,293","1,776","1,239","1,477","1,166","1,051",826,"1,301",824,"1,137",331,815,311,260,534,613,326,506,633,677,508,650,83
2021년02월_계_100세 이상,"1,013",113,60,53,95,54,68,52,61,45,64,60,67,16,49,22,27,30,21,11,27,39,33,31,16,12
2021년02월_남_총인구수,"1,328,167","254,420","119,052","135,368","126,929","70,609","78,398","213,328","51,011","51,890","47,506","34,809","133,031","11,820","25,172","12,478","8,231","17,155","20,769","16,013","22,375","59,741","27,441","15,773","24,303","4,965"
2021년02월_남_연령구간인구수,"1,328,167","254,420","119,052","135,368","126,929","70,609","78,398","213,328","51,011","51,890","47,506","34,809","133,031","11,820","25,172","12,478","8,231","17,155","20,769","16,013","22,375","59,741","27,441","15,773","24,303","4,965"
2021년02월_남_0~9세,"96,462","20,321","8,936","11,385","8,203","5,343","5,497","21,013","3,110","2,867","2,677","2,058","10,312",360,989,500,390,812,764,727,966,"4,870","2,332",688,"1,461",202
2021년02월_남_10~19세,"118,357","24,476","11,151","13,325","10,906","6,706","7,131","23,242","4,605","3,620","3,903","2,969","11,784",515,"1,179",639,468,"1,071","1,163","1,071","1,250","6,078","2,359",992,"2,001",229
2021년02월_남_20~29세,"159,730","32,362","15,651","16,711","14,984","8,172","9,042","31,247","5,623","6,053","4,626","3,470","19,824",905,"1,780","1,013",667,"1,392","1,657","1,451","2,044","6,773","2,337","1,160","2,643",505
2021년02월_남_30~39세,"153,836","31,250","14,416","16,834","13,478","7,932","7,990","34,702","4,492","5,096","3,958","2,966","17,721",735,"1,770",983,551,"1,219","1,454","1,210","1,774","7,947","2,747","1,034","2,307",520
2021년02월_남_40~49세,"199,533","38,808","18,421","20,387","19,093","10,196","11,505","36,925","7,157","6,918","6,063","4,668","21,279","1,252","2,729","1,362","1,000","2,130","2,479","2,123","2,822","11,129","3,864","1,851","3,395",785
2021년02월_남_50~59세,"237,223","45,057","21,432","23,625","24,214","12,437","13,544","35,647","9,106","9,720","8,804","6,171","22,591","2,394","4,665","2,486","1,618","3,273","3,858","3,315","4,598","10,700","4,221","3,106","4,624","1,074"
2021년02월_남_60~69세,"205,870","39,047","18,273","20,774","20,532","11,009","12,549","20,697","8,898","9,471","9,101","6,549","17,325","2,847","5,985","2,787","1,752","3,574","4,850","3,332","4,943","7,263","4,736","3,560","4,122",941
2021년02월_남_70~79세,"108,068","17,532","8,360","9,172","10,986","5,828","7,403","7,094","5,349","5,645","5,449","3,981","8,735","1,849","3,862","1,764","1,148","2,391","3,054","1,819","2,723","3,369","3,035","2,113","2,456",483
2021년02월_남_80~89세,"44,927","5,135","2,248","2,887","4,162","2,709","3,402","2,537","2,430","2,290","2,667","1,794","3,200",891,"2,025",880,568,"1,189","1,366",882,"1,132","1,455","1,687","1,140","1,187",199
2021년02월_남_90~99세,"3,944",402,147,255,348,266,319,218,230,196,245,168,248,71,179,58,61,97,123,78,117,149,120,124,105,22
2021년02월_남_100세 이상,217,30,17,13,23,11,16,6,11,14,13,15,12,1,9,6,8,7,1,5,6,8,3,5,2,5
2021년02월_여_총인구수,"1,308,580","248,631","111,660","136,971","126,650","69,951","80,095","202,081","51,906","50,134","49,436","36,221","131,248","11,310","26,329","12,513","8,392","19,033","21,457","15,232","20,859","54,950","28,366","15,544","24,157","4,085"
2021년02월_여_연령구간인구수,"1,308,580","248,631","111,660","136,971","126,650","69,951","80,095","202,081","51,906","50,134","49,436","36,221","131,248","11,310","26,329","12,513","8,392","19,033","21,457","15,232","20,859","54,950","28,366","15,544","24,157","4,085"
2021년02월_여_0~9세,"90,637","18,838","8,320","10,518","7,853","4,973","5,012","19,761","2,919","2,770","2,486","1,916","9,887",308,887,465,349,809,725,676,938,"4,542","2,274",659,"1,398",192
2021년02월_여_10~19세,"106,825","22,172","10,040","12,132","9,920","5,582","6,512","21,447","4,190","3,093","3,546","2,518","10,959",432,"1,086",558,448,"1,027","1,120",944,999,"5,459","2,052",852,"1,692",217
2021년02월_여_20~29세,"122,245","24,010","10,746","13,264","11,590","6,385","7,513","24,966","3,952","4,088","3,334","2,651","16,364",570,"1,314",647,470,"1,000","1,146","1,052","1,373","5,131","1,789",795,"1,784",321
2021년02월_여_30~39세,"134,430","27,841","12,261","15,580","11,739","7,097","7,428","30,322","3,912","4,255","3,396","2,664","15,263",553,"1,400",697,468,"1,145","1,266","1,000","1,481","6,670","2,701",858,"1,937",337
2021년02월_여_40~49세,"182,850","38,266","17,263","21,003","17,568","9,144","10,640","36,124","6,673","5,657","5,364","4,021","20,252",863,"1,948",996,699,"1,710","1,956","1,657","1,899","9,539","3,270","1,333","2,778",493
2021년02월_여_50~59세,"221,278","44,787","19,822","24,965","22,671","11,393","12,803","34,214","8,734","8,487","7,846","5,763","22,433","1,864","3,942","2,201","1,337","2,860","3,376","2,561","3,787","9,044","3,854","2,627","3,942",752
2021년02월_여_60~69세,"208,764","40,558","18,735","21,823","21,127","11,327","13,419","19,639","9,661","9,418","9,432","6,972","18,126","2,563","5,913","2,797","1,726","3,885","4,852","3,003","4,465","6,732","4,794","3,315","4,203",837
2021년02월_여_70~79세,"133,644","19,842","9,075","10,767","13,646","7,539","9,148","8,979","6,500","6,980","7,115","5,225","10,847","2,136","5,000","2,256","1,519","3,504","3,591","2,288","3,115","4,327","3,738","2,584","3,199",566
2021년02월_여_80~89세,"91,809","10,434","4,593","5,841","9,036","5,495","6,410","5,635","4,494","4,725","5,810","3,790","6,173","1,746","4,163","1,627","1,158","2,633","2,915","1,797","2,392","2,991","3,307","2,111","2,665",302
2021년02월_여_90~99세,"15,302","1,800",762,"1,038","1,428",973,"1,158",948,821,630,"1,056",656,889,260,636,253,199,437,490,248,389,484,557,384,545,61
2021년02월_여_100세 이상,796,83,43,40,72,43,52,46,50,31,51,45,55,15,40,16,19,23,20,6,21,31,30,26,14,7
