카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년09월_계_총인구수,"47,969","13,864","2,756","6,652",688,"2,747","2,492","1,707","6,336","7,435","1,267","2,025"
2021년09월_계_연령구간인구수,"47,969","13,864","2,756","6,652",688,"2,747","2,492","1,707","6,336","7,435","1,267","2,025"
2021년09월_계_0~9세,"2,777","1,040",56,756,6,106,50,46,293,353,22,49
2021년09월_계_10~19세,"3,578","1,585",204,463,22,114,93,62,374,544,34,83
2021년09월_계_20~29세,"4,269","1,549",156,729,42,180,156,90,638,596,37,96
2021년09월_계_30~39세,"4,095","1,336",154,"1,055",24,171,125,52,534,528,35,81
2021년09월_계_40~49세,"6,040","2,264",209,969,59,278,145,140,805,911,105,155
2021년09월_계_50~59세,"8,340","2,393",439,"1,042",137,492,404,262,"1,211","1,326",293,341
2021년09월_계_60~69세,"8,752","1,846",579,834,156,611,603,397,"1,291","1,643",328,464
2021년09월_계_70~79세,"5,553","1,079",500,459,123,377,435,332,689,987,219,353
2021년09월_계_80~89세,"3,871",661,386,301,104,354,393,277,438,456,172,329
2021년09월_계_90~99세,680,109,71,41,15,63,87,49,61,90,21,73
2021년09월_계_100세 이상,14,2,2,3,0,1,1,0,2,1,1,1
2021년09월_남_총인구수,"24,058","7,015","1,322","3,522",356,"1,376","1,186",821,"3,254","3,625",624,957
2021년09월_남_연령구간인구수,"24,058","7,015","1,322","3,522",356,"1,376","1,186",821,"3,254","3,625",624,957
2021년09월_남_0~9세,"1,445",551,33,385,4,60,26,21,149,181,12,23
2021년09월_남_10~19세,"1,916",829,142,242,12,60,42,36,204,290,17,42
2021년09월_남_20~29세,"2,533",898,93,448,23,100,105,54,390,341,24,57
2021년09월_남_30~39세,"2,239",706,85,566,17,101,79,31,303,276,23,52
2021년09월_남_40~49세,"3,302","1,134",128,551,41,172,82,77,464,498,54,101
2021년09월_남_50~59세,"4,574","1,265",245,602,91,287,228,156,662,679,160,199
2021년09월_남_60~69세,"4,343",928,264,423,83,311,305,203,646,769,176,235
2021년09월_남_70~79세,"2,430",470,200,217,50,161,187,144,313,434,100,154
2021년09월_남_80~89세,"1,164",220,117,87,34,113,118,89,112,139,49,86
2021년09월_남_90~99세,112,14,15,1,1,11,14,10,11,18,9,8
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"23,911","6,849","1,434","3,130",332,"1,371","1,306",886,"3,082","3,810",643,"1,068"
2021년09월_여_연령구간인구수,"23,911","6,849","1,434","3,130",332,"1,371","1,306",886,"3,082","3,810",643,"1,068"
2021년09월_여_0~9세,"1,332",489,23,371,2,46,24,25,144,172,10,26
2021년09월_여_10~19세,"1,662",756,62,221,10,54,51,26,170,254,17,41
2021년09월_여_20~29세,"1,736",651,63,281,19,80,51,36,248,255,13,39
2021년09월_여_30~39세,"1,856",630,69,489,7,70,46,21,231,252,12,29
2021년09월_여_40~49세,"2,738","1,130",81,418,18,106,63,63,341,413,51,54
2021년09월_여_50~59세,"3,766","1,128",194,440,46,205,176,106,549,647,133,142
2021년09월_여_60~69세,"4,409",918,315,411,73,300,298,194,645,874,152,229
2021년09월_여_70~79세,"3,123",609,300,242,73,216,248,188,376,553,119,199
2021년09월_여_80~89세,"2,707",441,269,214,70,241,275,188,326,317,123,243
2021년09월_여_90~99세,568,95,56,40,14,52,73,39,50,72,12,65
2021년09월_여_100세 이상,14,2,2,3,0,1,1,0,2,1,1,1
