,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년08월_계_총인구수,"1,469,431","223,728","237,792","481,124","352,550","174,237"
2020년08월_계_연령구간인구수,"1,469,431","223,728","237,792","481,124","352,550","174,237"
2020년08월_계_0~9세,"117,415","15,370","15,783","39,250","35,828","11,184"
2020년08월_계_10~19세,"148,434","20,240","22,382","50,423","38,465","16,924"
2020년08월_계_20~29세,"212,919","30,298","31,235","74,259","52,865","24,262"
2020년08월_계_30~39세,"196,687","26,215","26,818","67,263","56,911","19,480"
2020년08월_계_40~49세,"239,441","34,216","37,456","79,459","60,866","27,444"
2020년08월_계_50~59세,"242,755","37,043","40,068","78,089","54,176","33,379"
2020년08월_계_60~69세,"175,168","31,924","33,100","53,723","32,688","23,733"
2020년08월_계_70~79세,"90,599","19,028","20,533","25,741","13,347","11,950"
2020년08월_계_80~89세,"39,872","8,179","9,078","11,161","6,280","5,174"
2020년08월_계_90~99세,"5,776","1,116","1,256","1,665","1,067",672
2020년08월_계_100세 이상,365,99,83,91,57,35
2020년08월_남_총인구수,"733,547","112,774","117,413","236,763","178,001","88,596"
2020년08월_남_연령구간인구수,"733,547","112,774","117,413","236,763","178,001","88,596"
2020년08월_남_0~9세,"60,287","7,921","8,082","20,202","18,451","5,631"
2020년08월_남_10~19세,"76,800","10,456","11,504","26,063","19,954","8,823"
2020년08월_남_20~29세,"111,753","16,082","16,050","37,809","28,337","13,475"
2020년08월_남_30~39세,"102,423","14,135","13,818","34,299","29,564","10,607"
2020년08월_남_40~49세,"119,299","17,980","18,999","38,421","29,950","13,949"
2020년08월_남_50~59세,"121,080","18,974","20,216","37,885","26,995","17,010"
2020년08월_남_60~69세,"85,171","15,446","15,762","25,914","16,291","11,758"
2020년08월_남_70~79세,"41,097","8,535","9,223","11,814","6,157","5,368"
2020년08월_남_80~89세,"14,219","2,944","3,434","3,963","2,045","1,833"
2020년08월_남_90~99세,"1,329",272,305,374,244,134
2020년08월_남_100세 이상,89,29,20,19,13,8
2020년08월_여_총인구수,"735,884","110,954","120,379","244,361","174,549","85,641"
2020년08월_여_연령구간인구수,"735,884","110,954","120,379","244,361","174,549","85,641"
2020년08월_여_0~9세,"57,128","7,449","7,701","19,048","17,377","5,553"
2020년08월_여_10~19세,"71,634","9,784","10,878","24,360","18,511","8,101"
2020년08월_여_20~29세,"101,166","14,216","15,185","36,450","24,528","10,787"
2020년08월_여_30~39세,"94,264","12,080","13,000","32,964","27,347","8,873"
2020년08월_여_40~49세,"120,142","16,236","18,457","41,038","30,916","13,495"
2020년08월_여_50~59세,"121,675","18,069","19,852","40,204","27,181","16,369"
2020년08월_여_60~69세,"89,997","16,478","17,338","27,809","16,397","11,975"
2020년08월_여_70~79세,"49,502","10,493","11,310","13,927","7,190","6,582"
2020년08월_여_80~89세,"25,653","5,235","5,644","7,198","4,235","3,341"
2020년08월_여_90~99세,"4,447",844,951,"1,291",823,538
2020년08월_여_100세 이상,276,70,63,72,44,27
