카테고리,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년01월_계_총인구수,"187,232","59,468","5,369","7,460","3,370","5,862","15,296","5,279","6,274","7,583","6,864","3,485","1,966","12,465","23,882","22,609"
2021년01월_계_연령구간인구수,"187,232","59,468","5,369","7,460","3,370","5,862","15,296","5,279","6,274","7,583","6,864","3,485","1,966","12,465","23,882","22,609"
2021년01월_계_0~9세,"13,973","5,914",170,410,86,232,"1,394",144,386,295,215,84,44,704,"2,091","1,804"
2021년01월_계_10~19세,"17,908","7,534",305,636,146,272,"1,107",285,356,439,367,205,88,"1,043","2,562","2,563"
2021년01월_계_20~29세,"22,585","6,950",497,734,289,534,"2,009",466,770,662,696,392,191,"1,596","3,525","3,274"
2021년01월_계_30~39세,"23,084","8,419",410,670,252,552,"2,591",407,882,613,541,271,146,"1,331","3,213","2,786"
2021년01월_계_40~49세,"30,208","12,042",543,"1,046",334,718,"2,519",565,896,843,770,343,179,"1,764","4,048","3,598"
2021년01월_계_50~59세,"31,458","8,784","1,037","1,338",689,"1,113","2,368","1,034","1,192","1,392","1,437",649,387,"2,250","3,845","3,943"
2021년01월_계_60~69세,"25,574","5,415","1,167","1,385",753,"1,240","1,869","1,183","1,001","1,687","1,451",756,472,"1,961","2,667","2,567"
2021년01월_계_70~79세,"13,719","2,907",711,694,466,678,913,648,486,981,819,468,255,"1,128","1,242","1,323"
2021년01월_계_80~89세,"7,624","1,332",454,468,317,463,463,453,262,581,510,290,175,589,610,657
2021년01월_계_90~99세,"1,044",164,71,76,37,56,60,90,40,85,53,26,28,90,77,91
2021년01월_계_100세 이상,55,7,4,3,1,4,3,4,3,5,5,1,1,9,2,3
2021년01월_남_총인구수,"96,474","29,986","2,848","3,748","1,775","3,188","8,568","2,772","3,505","3,944","3,633","1,825","1,019","6,247","12,081","11,335"
2021년01월_남_연령구간인구수,"96,474","29,986","2,848","3,748","1,775","3,188","8,568","2,772","3,505","3,944","3,633","1,825","1,019","6,247","12,081","11,335"
2021년01월_남_0~9세,"7,182","2,981",96,221,48,121,753,76,226,143,103,45,21,342,"1,079",927
2021년01월_남_10~19세,"9,306","3,894",179,320,79,147,582,131,187,241,188,96,52,532,"1,340","1,338"
2021년01월_남_20~29세,"12,431","3,705",288,400,184,331,"1,148",280,473,370,391,213,102,863,"1,879","1,804"
2021년01월_남_30~39세,"12,626","4,392",258,358,146,348,"1,538",240,544,372,331,183,89,718,"1,667","1,442"
2021년01월_남_40~49세,"16,118","6,148",322,570,199,446,"1,537",339,540,492,450,198,105,931,"2,090","1,751"
2021년01월_남_50~59세,"16,695","4,577",571,694,388,616,"1,377",582,648,760,826,356,206,"1,133","1,963","1,998"
2021년01월_남_60~69세,"12,898","2,537",638,703,387,676,992,636,552,850,762,396,245,958,"1,311","1,255"
2021년01월_남_70~79세,"6,280","1,285",321,297,217,329,455,308,232,484,381,225,124,516,537,569
2021년01월_남_80~89세,"2,716",432,162,172,117,163,176,166,88,216,190,109,70,233,192,230
2021년01월_남_90~99세,211,34,13,12,9,10,10,14,14,14,10,4,5,19,22,21
2021년01월_남_100세 이상,11,1,0,1,1,1,0,0,1,2,1,0,0,2,1,0
2021년01월_여_총인구수,"90,758","29,482","2,521","3,712","1,595","2,674","6,728","2,507","2,769","3,639","3,231","1,660",947,"6,218","11,801","11,274"
2021년01월_여_연령구간인구수,"90,758","29,482","2,521","3,712","1,595","2,674","6,728","2,507","2,769","3,639","3,231","1,660",947,"6,218","11,801","11,274"
2021년01월_여_0~9세,"6,791","2,933",74,189,38,111,641,68,160,152,112,39,23,362,"1,012",877
2021년01월_여_10~19세,"8,602","3,640",126,316,67,125,525,154,169,198,179,109,36,511,"1,222","1,225"
2021년01월_여_20~29세,"10,154","3,245",209,334,105,203,861,186,297,292,305,179,89,733,"1,646","1,470"
2021년01월_여_30~39세,"10,458","4,027",152,312,106,204,"1,053",167,338,241,210,88,57,613,"1,546","1,344"
2021년01월_여_40~49세,"14,090","5,894",221,476,135,272,982,226,356,351,320,145,74,833,"1,958","1,847"
2021년01월_여_50~59세,"14,763","4,207",466,644,301,497,991,452,544,632,611,293,181,"1,117","1,882","1,945"
2021년01월_여_60~69세,"12,676","2,878",529,682,366,564,877,547,449,837,689,360,227,"1,003","1,356","1,312"
2021년01월_여_70~79세,"7,439","1,622",390,397,249,349,458,340,254,497,438,243,131,612,705,754
2021년01월_여_80~89세,"4,908",900,292,296,200,300,287,287,174,365,320,181,105,356,418,427
2021년01월_여_90~99세,833,130,58,64,28,46,50,76,26,71,43,22,23,71,55,70
2021년01월_여_100세 이상,44,6,4,2,0,3,3,4,2,3,4,1,1,7,1,3
