카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년02월_계_총인구수,"550,939","238,131","12,630","21,765","16,765","7,247","10,602","21,109","15,706","10,999","17,558","19,751","32,427","13,601","15,266","22,705","312,808","21,507","11,021","18,238","17,468","10,989","36,738","19,291","27,227","14,917","23,900","16,717","13,142","20,134","21,904","15,264","13,181","11,170"
2021년02월_계_연령구간인구수,"550,939","238,131","12,630","21,765","16,765","7,247","10,602","21,109","15,706","10,999","17,558","19,751","32,427","13,601","15,266","22,705","312,808","21,507","11,021","18,238","17,468","10,989","36,738","19,291","27,227","14,917","23,900","16,717","13,142","20,134","21,904","15,264","13,181","11,170"
2021년02월_계_0~9세,"39,128","15,168",910,"1,146",830,265,477,"1,150","1,719",470,982,"1,418","2,186",922,676,"2,017","23,960","1,765",779,912,"1,414",682,"2,044","1,225","2,270","1,344","2,430","1,393","1,825","1,434","1,615","1,136",945,747
2021년02월_계_10~19세,"52,215","18,634","1,081","1,513","1,310",494,721,"1,320","1,294",711,"1,262","1,506","2,617","1,333","1,147","2,325","33,581","2,192","1,075","1,353","2,228",718,"2,933","1,444","2,405","1,666","3,749","3,419","1,251","1,662","2,058","2,278","1,616","1,534"
2021년02월_계_20~29세,"77,167","34,108","1,939","3,473","2,455","1,077","1,420","3,213","1,987","1,601","2,458","2,554","4,615","1,952","2,141","3,223","43,059","2,914","1,602","2,776","2,107","1,484","5,865","2,959","3,606","2,145","2,552","1,849","1,444","3,194","3,226","1,956","1,872","1,508"
2021년02월_계_30~39세,"76,765","32,632","1,879","2,935","2,193",935,"1,348","3,513","2,709","1,519","2,140","2,678","4,166","1,530","1,678","3,409","44,133","2,767","1,377","2,357","2,199","2,281","4,813","3,006","5,781","1,869","3,214","1,238","2,766","3,009","2,947","1,845","1,596","1,068"
2021년02월_계_40~49세,"87,725","34,868","1,979","3,045","2,332",980,"1,471","3,173","2,587","1,478","2,302","2,953","4,817","2,092","2,191","3,468","52,857","3,480","1,666","2,316","3,271","1,809","5,014","2,989","5,060","2,476","5,303","3,983","2,367","2,812","3,254","2,952","2,157","1,948"
2021년02월_계_50~59세,"97,391","43,134","2,186","3,999","3,079","1,344","1,932","3,575","2,583","2,018","3,307","3,500","6,141","2,551","3,092","3,827","54,257","3,878","2,119","3,698","2,762","1,684","7,048","3,512","4,000","2,941","3,443","2,629","1,750","3,710","4,183","2,500","2,444","1,956"
2021년02월_계_60~69세,"72,021","34,932","1,583","3,293","2,733","1,077","1,801","3,033","1,757","1,927","2,949","3,018","4,547","1,937","2,429","2,848","37,089","2,866","1,480","2,922","2,052","1,316","5,335","2,406","2,477","1,514","1,915","1,282","1,115","2,834","3,096","1,447","1,637","1,395"
2021년02월_계_70~79세,"31,858","16,520",738,"1,617","1,280",676,918,"1,410",741,880,"1,441","1,387","2,226",844,"1,307","1,055","15,338","1,086",638,"1,200",919,601,"2,451","1,149","1,025",570,777,574,419,994,"1,000",681,615,639
