카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년06월_계_총인구수,"384,714","113,115","46,707","23,251","9,509","15,522","1,504","2,583","24,889","22,156","18,483","39,283","33,571","34,141"
2021년06월_계_연령구간인구수,"384,714","113,115","46,707","23,251","9,509","15,522","1,504","2,583","24,889","22,156","18,483","39,283","33,571","34,141"
2021년06월_계_0~9세,"34,034","10,951","3,648","1,376",458,"1,081",34,145,"1,917","1,613","1,937","2,999","2,593","5,282"
2021년06월_계_10~19세,"34,154","8,936","5,027","1,823",638,"1,240",66,194,"2,215","2,015","1,629","3,634","2,687","4,050"
2021년06월_계_20~29세,"45,154","13,422","5,551","2,859","1,019","1,197",111,179,"3,349","2,809","2,393","5,012","4,279","2,974"
2021년06월_계_30~39세,"56,436","19,495","6,149","2,783",999,"1,495",98,220,"3,495","2,897","2,847","5,206","4,741","6,011"
2021년06월_계_40~49세,"67,425","20,462","8,177","3,568","1,343","2,487",148,348,"4,058","3,749","3,224","6,839","5,729","7,293"
2021년06월_계_50~59세,"64,106","17,501","8,039","4,569","1,846","2,598",258,481,"4,365","3,977","3,058","7,350","5,935","4,129"
2021년06월_계_60~69세,"50,824","13,642","6,110","3,693","1,858","3,066",402,524,"3,270","3,146","2,201","5,305","4,882","2,725"
2021년06월_계_70~79세,"22,448","6,086","2,685","1,649",829,"1,622",224,296,"1,525","1,378",872,"2,090","1,980","1,212"
2021년06월_계_80~89세,"8,798","2,261","1,150",826,450,626,141,164,616,500,273,751,642,398
2021년06월_계_90~99세,"1,282",345,167,102,64,106,22,31,76,68,45,92,99,65
2021년06월_계_100세 이상,53,14,4,3,5,4,0,1,3,4,4,5,4,2
2021년06월_남_총인구수,"196,588","57,256","24,307","12,395","5,234","7,928",784,"1,370","12,842","11,150","9,215","19,952","17,250","16,905"
2021년06월_남_연령구간인구수,"196,588","57,256","24,307","12,395","5,234","7,928",784,"1,370","12,842","11,150","9,215","19,952","17,250","16,905"
2021년06월_남_0~9세,"17,479","5,683","1,911",706,237,537,21,72,"1,014",788,"1,002","1,519","1,353","2,636"
2021년06월_남_10~19세,"17,460","4,591","2,552",972,333,671,32,102,"1,135",978,785,"1,828","1,394","2,087"
2021년06월_남_20~29세,"24,008","7,036","2,977","1,585",602,670,58,94,"1,798","1,491","1,245","2,648","2,287","1,517"
2021년06월_남_30~39세,"29,322","10,104","3,234","1,544",581,771,56,114,"1,850","1,544","1,432","2,807","2,464","2,821"
2021년06월_남_40~49세,"35,606","10,882","4,338","1,929",811,"1,364",80,197,"2,131","1,951","1,645","3,498","3,074","3,706"
2021년06월_남_50~59세,"32,777","8,554","4,330","2,539","1,038","1,345",146,271,"2,334","1,984","1,481","3,663","2,999","2,093"
2021년06월_남_60~69세,"25,448","6,593","3,204","1,971","1,021","1,489",215,293,"1,650","1,573","1,085","2,647","2,434","1,273"
2021년06월_남_70~79세,"10,842","2,877","1,296",812,430,804,109,147,700,648,413,"1,024",985,597
2021년06월_남_80~89세,"3,363",854,431,312,166,248,60,74,219,176,121,295,242,165
2021년06월_남_90~99세,271,77,33,24,14,27,7,6,10,17,6,23,17,10
2021년06월_남_100세 이상,12,5,1,1,1,2,0,0,1,0,0,0,1,0
2021년06월_여_총인구수,"188,126","55,859","22,400","10,856","4,275","7,594",720,"1,213","12,047","11,006","9,268","19,331","16,321","17,236"
2021년06월_여_연령구간인구수,"188,126","55,859","22,400","10,856","4,275","7,594",720,"1,213","12,047","11,006","9,268","19,331","16,321","17,236"
2021년06월_여_0~9세,"16,555","5,268","1,737",670,221,544,13,73,903,825,935,"1,480","1,240","2,646"
2021년06월_여_10~19세,"16,694","4,345","2,475",851,305,569,34,92,"1,080","1,037",844,"1,806","1,293","1,963"
2021년06월_여_20~29세,"21,146","6,386","2,574","1,274",417,527,53,85,"1,551","1,318","1,148","2,364","1,992","1,457"
2021년06월_여_30~39세,"27,114","9,391","2,915","1,239",418,724,42,106,"1,645","1,353","1,415","2,399","2,277","3,190"
2021년06월_여_40~49세,"31,819","9,580","3,839","1,639",532,"1,123",68,151,"1,927","1,798","1,579","3,341","2,655","3,587"
2021년06월_여_50~59세,"31,329","8,947","3,709","2,030",808,"1,253",112,210,"2,031","1,993","1,577","3,687","2,936","2,036"
2021년06월_여_60~69세,"25,376","7,049","2,906","1,722",837,"1,577",187,231,"1,620","1,573","1,116","2,658","2,448","1,452"
2021년06월_여_70~79세,"11,606","3,209","1,389",837,399,818,115,149,825,730,459,"1,066",995,615
2021년06월_여_80~89세,"5,435","1,407",719,514,284,378,81,90,397,324,152,456,400,233
2021년06월_여_90~99세,"1,011",268,134,78,50,79,15,25,66,51,39,69,82,55
2021년06월_여_100세 이상,41,9,3,2,4,2,0,1,2,4,4,5,3,2
