카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년08월_계_총인구수,"313,871","6,559","74,356","4,227","21,044","19,689","21,480","5,596","6,505","3,145","4,468","19,979","9,516","10,829","36,823","18,760","21,764","29,131"
2020년08월_계_연령구간인구수,"313,871","6,559","74,356","4,227","21,044","19,689","21,480","5,596","6,505","3,145","4,468","19,979","9,516","10,829","36,823","18,760","21,764","29,131"
2020년08월_계_0~9세,"33,571",394,"9,588",218,"3,040","2,647","2,472",150,297,62,118,"1,678",925,452,"4,162","1,593","2,364","3,411"
2020년08월_계_10~19세,"34,294",488,"9,206",350,"2,893","1,670","1,433",280,398,116,185,"2,058",731,830,"4,831","2,485","2,775","3,565"
2020년08월_계_20~29세,"35,976",565,"9,252",306,"2,504","1,990","2,430",429,574,191,362,"2,360","1,074","1,698","4,439","2,154","2,754","2,894"
2020년08월_계_30~39세,"48,738",641,"13,725",258,"4,033","3,646","4,625",393,638,175,314,"2,445","1,793","1,224","5,294","2,172","3,097","4,265"
2020년08월_계_40~49세,"55,679",904,"14,254",573,"4,411","3,352","3,412",604,953,267,399,"3,432","1,517","1,481","6,935","3,489","4,073","5,623"
2020년08월_계_50~59세,"45,733","1,164","9,403",761,"2,266","2,705","3,064","1,039","1,276",523,867,"3,227","1,336","2,040","5,269","3,157","3,316","4,320"
2020년08월_계_60~69세,"30,961","1,135","5,080",790,996,"2,048","2,193","1,211","1,092",764,945,"2,382","1,092","1,610","3,186","1,949","1,801","2,687"
2020년08월_계_70~79세,"17,928",728,"2,504",571,560,998,"1,136",827,704,579,730,"1,495",682,"1,000","1,777","1,120","1,031","1,486"
2020년08월_계_80~89세,"9,604",473,"1,175",343,296,546,615,582,506,407,496,800,298,427,822,553,473,792
2020년08월_계_90~99세,"1,273",63,159,53,44,87,97,77,63,52,49,94,54,57,97,78,70,79
2020년08월_계_100세 이상,114,4,10,4,1,0,3,4,4,9,3,8,14,10,11,10,10,9
2020년08월_남_총인구수,"162,873","3,424","38,275","2,165","11,407","10,623","12,014","2,955","3,606","1,638","2,280","10,408","4,966","5,592","18,378","9,583","11,112","14,447"
2020년08월_남_연령구간인구수,"162,873","3,424","38,275","2,165","11,407","10,623","12,014","2,955","3,606","1,638","2,280","10,408","4,966","5,592","18,378","9,583","11,112","14,447"
2020년08월_남_0~9세,"17,233",191,"4,917",107,"1,559","1,314","1,276",77,151,36,58,861,468,226,"2,149",852,"1,251","1,740"
2020년08월_남_10~19세,"17,674",253,"4,727",189,"1,497",887,717,162,213,58,88,"1,049",388,436,"2,444","1,304","1,472","1,790"
2020년08월_남_20~29세,"19,959",340,"4,928",175,"1,492","1,212","1,441",266,369,107,206,"1,341",564,967,"2,324","1,226","1,528","1,473"
2020년08월_남_30~39세,"26,077",388,"7,132",139,"2,084","2,015","2,808",245,416,115,184,"1,315","1,003",718,"2,640","1,125","1,608","2,142"
2020년08월_남_40~49세,"30,237",525,"7,538",322,"2,539","1,987","2,128",374,612,184,233,"1,858",858,793,"3,547","1,788","2,069","2,882"
2020년08월_남_50~59세,"24,675",625,"4,972",429,"1,376","1,487","1,739",579,749,303,494,"1,795",716,"1,049","2,728","1,656","1,700","2,278"
2020년08월_남_60~69세,"15,409",565,"2,503",395,501,"1,062","1,170",644,580,370,496,"1,227",533,782,"1,489",934,867,"1,291"
2020년08월_남_70~79세,"7,922",343,"1,121",273,250,470,510,377,320,293,322,658,311,447,739,481,423,584
2020년08월_남_80~89세,"3,371",179,395,124,102,175,208,213,179,156,190,277,110,159,289,192,177,246
2020년08월_남_90~99세,283,13,35,12,7,14,17,16,16,11,9,26,10,13,28,22,16,18
