카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년12월_계_총인구수,"533,042","15,993","22,073","21,018","26,305","25,684","12,878","30,436","24,165","36,507","19,815","35,587","36,072","21,405","33,163","6,470","27,874","23,710","43,232","23,260","15,073","17,518","14,804"
2021년12월_계_연령구간인구수,"533,042","15,993","22,073","21,018","26,305","25,684","12,878","30,436","24,165","36,507","19,815","35,587","36,072","21,405","33,163","6,470","27,874","23,710","43,232","23,260","15,073","17,518","14,804"
2021년12월_계_0~9세,"34,726",893,644,"1,020","2,016","1,974",799,"2,272","1,732","2,038",673,956,"2,625","1,652","2,709",345,"2,346","1,667","3,847","2,007",674,"1,215",622
2021년12월_계_10~19세,"59,141","1,584",851,"1,277","2,737","2,211","1,228","3,578","5,379","6,060","2,422","1,406","5,529","2,377","4,779",605,"3,505","2,262","4,712","3,302","1,100","1,692",545
2021년12월_계_20~29세,"70,774","2,086","4,317","3,408","2,952","3,519","1,723","3,887","2,378","4,449","3,321","7,461","4,395","2,756","3,762",704,"3,531","3,211","5,171","2,478","2,087","1,776","1,402"
2021년12월_계_30~39세,"77,662","2,184","5,485","4,253","3,026","4,016","1,846","4,778","1,397","3,202","3,208","10,004","4,782","2,991","3,288",632,"3,234","3,642","6,198","2,716","2,181","2,472","2,127"
2021년12월_계_40~49세,"97,729","2,752","3,774","3,745","4,570","4,602","2,083","6,322","5,655","6,896","3,939","6,137","8,460","3,797","6,299",919,"4,870","3,928","7,815","4,375","2,068","3,055","1,668"
2021년12월_계_50~59세,"81,956","2,540","2,827","2,986","4,178","3,956","2,144","4,576","4,011","6,476","3,254","4,193","5,222","3,412","5,558","1,023","4,831","4,013","6,055","3,718","2,317","2,561","2,105"
2021년12월_계_60~69세,"61,527","1,834","2,244","2,234","3,235","2,997","1,688","2,601","2,045","4,454","1,584","3,105","2,630","2,604","3,650","1,219","3,472","3,125","5,201","2,992","2,597","2,600","3,416"
2021년12월_계_70~79세,"34,567","1,376","1,331","1,486","2,376","1,679",960,"1,742","1,123","2,229","1,035","1,615","1,754","1,240","2,153",719,"1,559","1,363","2,679","1,150","1,395","1,589","2,014"
2021년12월_계_80~89세,"12,600",641,512,525,"1,042",619,345,587,367,601,332,613,590,485,814,248,437,420,"1,275",404,534,477,732
2021년12월_계_90~99세,"2,254",99,84,82,162,106,60,89,72,101,45,89,79,88,149,51,88,75,271,112,112,74,166
