,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년08월_계_총인구수,"584,920","42,061","23,829","21,425","31,834","52,857","18,642","22,060","21,305","34,948","25,141","25,528","34,075","14,751","15,756","37,851","44,021","27,087","44,785","23,219","23,745"
2020년08월_계_연령구간인구수,"584,920","42,061","23,829","21,425","31,834","52,857","18,642","22,060","21,305","34,948","25,141","25,528","34,075","14,751","15,756","37,851","44,021","27,087","44,785","23,219","23,745"
2020년08월_계_0~9세,"41,165","4,243","1,360","1,398","1,782","2,947","1,306","1,352","1,211","2,411","1,364","1,454","1,802",551,771,"3,564","3,907","2,641","4,461","1,209","1,431"
2020년08월_계_10~19세,"45,640","4,598","1,375","1,673","2,174","2,602","1,494","1,651","1,414","2,506","1,702","1,694","1,953",488,635,"5,074","5,528","1,733","4,262","1,517","1,567"
2020년08월_계_20~29세,"87,398","5,538","4,813","3,369","4,272","9,269","2,602","3,214","2,983","5,861","4,261","3,852","8,446","1,766","1,894","4,732","5,291","3,828","5,427","3,339","2,641"
2020년08월_계_30~39세,"100,237","7,353","5,810","3,610","4,681","10,800","2,982","3,272","3,452","6,487","4,221","4,390","8,201","2,504","3,159","4,511","5,748","5,146","6,662","3,496","3,752"
2020년08월_계_40~49세,"91,876","7,718","3,296","3,112","4,013","7,618","3,189","3,274","3,298","5,668","3,678","4,048","4,597","1,488","1,964","7,392","8,711","4,239","7,810","3,212","3,551"
2020년08월_계_50~59세,"87,275","6,016","3,021","3,531","5,489","7,560","2,863","3,430","3,469","4,954","4,045","3,865","4,249","2,321","2,352","5,709","6,508","3,864","6,608","3,725","3,696"
2020년08월_계_60~69세,"75,453","4,094","2,236","2,859","5,139","6,947","2,425","3,413","3,146","4,159","3,596","3,530","3,090","3,194","2,665","3,846","4,931","3,189","5,539","3,595","3,860"
2020년08월_계_70~79세,"38,725","1,725","1,133","1,351","2,546","3,769","1,335","1,786","1,667","2,111","1,625","2,034","1,175","1,537","1,556","2,127","2,509","1,682","2,805","2,124","2,128"
