,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년06월_계_총인구수,"257,154","48,726","4,553","14,066","51,163","38,675","29,946","25,236","23,509","8,041","3,725","9,514"
2020년06월_계_연령구간인구수,"257,154","48,726","4,553","14,066","51,163","38,675","29,946","25,236","23,509","8,041","3,725","9,514"
2020년06월_계_0~9세,"29,872","3,489",253,908,"6,223","6,450","5,508","2,701","2,579",424,115,"1,222"
2020년06월_계_10~19세,"23,585","4,721",173,"1,560","5,845","3,370","3,310","1,722","1,706",514,126,538
2020년06월_계_20~29세,"29,062","6,445",467,"1,939","5,840","3,995","2,513","2,750","3,198",702,300,913
2020년06월_계_30~39세,"42,243","5,418",555,"1,460","7,668","8,855","6,605","4,134","4,640",684,277,"1,947"
2020년06월_계_40~49세,"42,728","7,369",556,"2,691","9,492","6,832","5,804","3,574","3,642",989,347,"1,432"
2020년06월_계_50~59세,"40,621","9,866",922,"3,015","7,934","4,933","2,903","4,364","3,236","1,383",846,"1,219"
2020년06월_계_60~69세,"28,509","6,762",862,"1,470","4,958","2,814","2,079","3,540","2,499","1,619",836,"1,070"
2020년06월_계_70~79세,"13,665","3,216",482,650,"2,258","1,055",799,"1,686","1,329","1,004",507,679
2020년06월_계_80~89세,"6,099","1,271",248,333,840,327,375,695,605,618,340,447
2020년06월_계_90~99세,743,159,34,37,105,42,48,70,72,100,30,46
2020년06월_계_100세 이상,27,10,1,3,0,2,2,0,3,4,1,1
2020년06월_남_총인구수,"130,641","24,332","2,488","7,413","25,356","19,794","15,099","12,774","12,263","4,004","2,014","5,104"
2020년06월_남_연령구간인구수,"130,641","24,332","2,488","7,413","25,356","19,794","15,099","12,774","12,263","4,004","2,014","5,104"
2020년06월_남_0~9세,"15,208","1,804",132,450,"3,119","3,293","2,825","1,400","1,302",212,54,617
2020년06월_남_10~19세,"12,352","2,445",87,820,"3,071","1,791","1,709",912,896,276,65,280
2020년06월_남_20~29세,"15,974","3,555",280,"1,160","3,109","2,103","1,323","1,492","1,825",406,187,534
2020년06월_남_30~39세,"22,023","2,842",336,777,"3,779","4,544","3,273","2,188","2,630",344,165,"1,145"
2020년06월_남_40~49세,"22,282","3,563",351,"1,442","4,723","3,664","3,031","1,880","1,999",529,224,876
2020년06월_남_50~59세,"20,264","4,776",515,"1,641","3,791","2,409","1,431","2,145","1,642",737,489,688
2020년06월_남_60~69세,"14,181","3,390",487,766,"2,360","1,399","1,008","1,744","1,219",791,489,528
2020년06월_남_70~79세,"6,210","1,443",210,255,"1,076",494,375,783,554,485,237,298
2020년06월_남_80~89세,"1,986",466,84,98,306,91,108,216,183,201,100,133
2020년06월_남_90~99세,153,43,6,4,22,6,15,14,12,22,4,5
2020년06월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년06월_여_총인구수,"126,513","24,394","2,065","6,653","25,807","18,881","14,847","12,462","11,246","4,037","1,711","4,410"
2020년06월_여_연령구간인구수,"126,513","24,394","2,065","6,653","25,807","18,881","14,847","12,462","11,246","4,037","1,711","4,410"
2020년06월_여_0~9세,"14,664","1,685",121,458,"3,104","3,157","2,683","1,301","1,277",212,61,605
2020년06월_여_10~19세,"11,233","2,276",86,740,"2,774","1,579","1,601",810,810,238,61,258
2020년06월_여_20~29세,"13,088","2,890",187,779,"2,731","1,892","1,190","1,258","1,373",296,113,379
2020년06월_여_30~39세,"20,220","2,576",219,683,"3,889","4,311","3,332","1,946","2,010",340,112,802
2020년06월_여_40~49세,"20,446","3,806",205,"1,249","4,769","3,168","2,773","1,694","1,643",460,123,556
2020년06월_여_50~59세,"20,357","5,090",407,"1,374","4,143","2,524","1,472","2,219","1,594",646,357,531
2020년06월_여_60~69세,"14,328","3,372",375,704,"2,598","1,415","1,071","1,796","1,280",828,347,542
2020년06월_여_70~79세,"7,455","1,773",272,395,"1,182",561,424,903,775,519,270,381
2020년06월_여_80~89세,"4,113",805,164,235,534,236,267,479,422,417,240,314
2020년06월_여_90~99세,590,116,28,33,83,36,33,56,60,78,26,41
2020년06월_여_100세 이상,19,5,1,3,0,2,1,0,2,3,1,1
