카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년04월_계_총인구수,"114,297","33,202","24,382","30,874","4,200","5,325","3,440","9,673","3,201"
2021년04월_계_연령구간인구수,"114,297","33,202","24,382","30,874","4,200","5,325","3,440","9,673","3,201"
2021년04월_계_0~9세,"9,222","2,273","1,861","4,299",75,122,71,302,219
2021년04월_계_10~19세,"11,439","3,331","3,119","3,752",116,167,131,655,168
2021년04월_계_20~29세,"11,825","3,822","2,903","2,920",293,400,232,"1,036",219
2021년04월_계_30~39세,"14,361","3,363","2,448","6,764",258,337,206,668,317
2021년04월_계_40~49세,"20,641","5,401","5,157","7,107",365,482,353,"1,361",415
2021년04월_계_50~59세,"19,701","6,270","4,878","3,199",796,"1,081",708,"2,213",556
2021년04월_계_60~69세,"14,286","4,574","2,358","1,666","1,054","1,382",890,"1,744",618
2021년04월_계_70~79세,"7,663","2,468","1,051",746,692,778,521,"1,031",376
2021년04월_계_80~89세,"4,504","1,496",542,375,477,482,272,594,266
2021년04월_계_90~99세,635,193,65,45,71,94,56,67,44
2021년04월_계_100세 이상,20,11,0,1,3,0,0,2,3
2021년04월_남_총인구수,"59,540","16,608","12,696","16,683","2,259","2,718","1,876","5,028","1,672"
2021년04월_남_연령구간인구수,"59,540","16,608","12,696","16,683","2,259","2,718","1,876","5,028","1,672"
2021년04월_남_0~9세,"4,773","1,164",967,"2,232",37,61,37,151,124
2021년04월_남_10~19세,"6,020","1,726","1,634","1,995",66,88,66,351,94
2021년04월_남_20~29세,"6,733","2,181","1,691","1,508",175,256,155,631,136
2021년04월_남_30~39세,"7,801","1,793","1,267","3,689",156,200,128,401,167
2021년04월_남_40~49세,"11,124","2,744","2,551","4,076",252,302,216,736,247
2021년04월_남_50~59세,"10,665","3,178","2,664","1,908",479,553,410,"1,176",297
2021년04월_남_60~69세,"7,438","2,278","1,261",826,594,728,494,922,335
2021년04월_남_70~79세,"3,360","1,010",462,323,315,375,256,450,169
2021년04월_남_80~89세,"1,473",482,182,116,168,144,95,196,90
2021년04월_남_90~99세,151,51,17,10,17,11,19,14,12
2021년04월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년04월_여_총인구수,"54,757","16,594","11,686","14,191","1,941","2,607","1,564","4,645","1,529"
2021년04월_여_연령구간인구수,"54,757","16,594","11,686","14,191","1,941","2,607","1,564","4,645","1,529"
2021년04월_여_0~9세,"4,449","1,109",894,"2,067",38,61,34,151,95
2021년04월_여_10~19세,"5,419","1,605","1,485","1,757",50,79,65,304,74
2021년04월_여_20~29세,"5,092","1,641","1,212","1,412",118,144,77,405,83
2021년04월_여_30~39세,"6,560","1,570","1,181","3,075",102,137,78,267,150
2021년04월_여_40~49세,"9,517","2,657","2,606","3,031",113,180,137,625,168
2021년04월_여_50~59세,"9,036","3,092","2,214","1,291",317,528,298,"1,037",259
2021년04월_여_60~69세,"6,848","2,296","1,097",840,460,654,396,822,283
2021년04월_여_70~79세,"4,303","1,458",589,423,377,403,265,581,207
2021년04월_여_80~89세,"3,031","1,014",360,259,309,338,177,398,176
2021년04월_여_90~99세,484,142,48,35,54,83,37,53,32
2021년04월_여_100세 이상,18,10,0,1,3,0,0,2,2
