카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년02월_계_총인구수,"52,058","24,850","1,776","1,871","2,817","1,611","1,657",877,"1,451","1,157","1,012","3,611","1,792","3,162","4,414"
2020년02월_계_연령구간인구수,"52,058","24,850","1,776","1,871","2,817","1,611","1,657",877,"1,451","1,157","1,012","3,611","1,792","3,162","4,414"
2020년02월_계_0~9세,"2,859","2,087",52,29,115,26,29,19,32,34,26,158,21,70,161
2020년02월_계_10~19세,"4,133","2,646",85,93,189,71,64,35,73,73,36,264,53,150,301
2020년02월_계_20~29세,"4,050","2,313",84,98,251,94,91,46,97,76,56,280,94,183,287
2020년02월_계_30~39세,"4,276","2,640",99,101,191,71,82,37,86,52,40,268,89,185,335
2020년02월_계_40~49세,"6,685","3,892",179,154,349,145,136,56,140,80,73,416,183,299,583
2020년02월_계_50~59세,"9,291","4,322",311,300,513,294,297,129,286,191,197,653,361,605,832
2020년02월_계_60~69세,"9,272","3,559",438,445,560,341,368,190,280,258,214,766,376,692,785
2020년02월_계_70~79세,"6,791","2,168",326,374,396,307,318,211,237,185,195,489,362,578,645
2020년02월_계_80~89세,"4,080","1,066",177,242,210,228,233,132,192,173,149,277,220,346,435
2020년02월_계_90~99세,607,148,25,35,43,34,39,22,27,34,25,40,33,53,49
2020년02월_계_100세 이상,14,9,0,0,0,0,0,0,1,1,1,0,0,1,1
2020년02월_남_총인구수,"26,101","12,429",916,920,"1,476",786,842,384,707,564,506,"1,766",904,"1,622","2,279"
2020년02월_남_연령구간인구수,"26,101","12,429",916,920,"1,476",786,842,384,707,564,506,"1,766",904,"1,622","2,279"
2020년02월_남_0~9세,"1,457","1,064",30,18,60,17,15,9,11,18,11,71,9,35,89
2020년02월_남_10~19세,"2,239","1,450",51,45,99,36,33,17,35,41,22,134,28,82,166
2020년02월_남_20~29세,"2,378","1,321",51,61,160,60,55,23,64,45,35,158,55,108,182
2020년02월_남_30~39세,"2,326","1,359",64,64,107,33,51,19,54,32,28,134,57,127,197
2020년02월_남_40~49세,"3,744","2,035",115,102,210,85,85,31,87,49,43,230,112,197,363
2020년02월_남_50~59세,"5,009","2,215",173,170,290,148,174,67,157,102,120,341,215,350,487
2020년02월_남_60~69세,"4,636","1,713",231,207,289,194,198,87,149,137,115,398,197,353,368
2020년02월_남_70~79세,"2,962",911,146,163,182,130,159,90,96,77,82,219,160,267,280
2020년02월_남_80~89세,"1,230",333,50,83,68,75,59,37,51,55,45,75,68,92,139
2020년02월_남_90~99세,116,25,5,7,11,8,13,4,3,8,4,6,3,11,8
2020년02월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년02월_여_총인구수,"25,957","12,421",860,951,"1,341",825,815,493,744,593,506,"1,845",888,"1,540","2,135"
2020년02월_여_연령구간인구수,"25,957","12,421",860,951,"1,341",825,815,493,744,593,506,"1,845",888,"1,540","2,135"
2020년02월_여_0~9세,"1,402","1,023",22,11,55,9,14,10,21,16,15,87,12,35,72
2020년02월_여_10~19세,"1,894","1,196",34,48,90,35,31,18,38,32,14,130,25,68,135
2020년02월_여_20~29세,"1,672",992,33,37,91,34,36,23,33,31,21,122,39,75,105
2020년02월_여_30~39세,"1,950","1,281",35,37,84,38,31,18,32,20,12,134,32,58,138
2020년02월_여_40~49세,"2,941","1,857",64,52,139,60,51,25,53,31,30,186,71,102,220
2020년02월_여_50~59세,"4,282","2,107",138,130,223,146,123,62,129,89,77,312,146,255,345
2020년02월_여_60~69세,"4,636","1,846",207,238,271,147,170,103,131,121,99,368,179,339,417
2020년02월_여_70~79세,"3,829","1,257",180,211,214,177,159,121,141,108,113,270,202,311,365
2020년02월_여_80~89세,"2,850",733,127,159,142,153,174,95,141,118,104,202,152,254,296
2020년02월_여_90~99세,491,123,20,28,32,26,26,18,24,26,21,34,30,42,41
2020년02월_여_100세 이상,10,6,0,0,0,0,0,0,1,1,0,0,0,1,1
