카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년02월_계_총인구수,"114,691","33,373","24,465","30,897","4,204","5,313","3,503","9,727","3,209"
2021년02월_계_연령구간인구수,"114,691","33,373","24,465","30,897","4,204","5,313","3,503","9,727","3,209"
2021년02월_계_0~9세,"9,412","2,298","1,903","4,393",78,119,88,310,223
2021년02월_계_10~19세,"11,537","3,395","3,155","3,728",112,171,139,669,168
2021년02월_계_20~29세,"11,904","3,842","2,914","2,911",303,411,244,"1,054",225
2021년02월_계_30~39세,"14,617","3,428","2,473","6,902",267,328,218,686,315
2021년02월_계_40~49세,"20,668","5,440","5,200","7,018",360,493,355,"1,383",419
2021년02월_계_50~59세,"19,744","6,287","4,873","3,152",809,"1,107",724,"2,228",564
2021년02월_계_60~69세,"13,995","4,515","2,287","1,623","1,033","1,342",880,"1,711",604
2021년02월_계_70~79세,"7,696","2,465","1,051",752,701,780,527,"1,031",389
2021년02월_계_80~89세,"4,446","1,481",547,369,472,467,268,585,257
2021년02월_계_90~99세,633,201,62,44,66,95,56,67,42
2021년02월_계_100세 이상,39,21,0,5,3,0,4,3,3
2021년02월_남_총인구수,"59,741","16,703","12,754","16,670","2,259","2,715","1,912","5,049","1,679"
2021년02월_남_연령구간인구수,"59,741","16,703","12,754","16,670","2,259","2,715","1,912","5,049","1,679"
2021년02월_남_0~9세,"4,870","1,171",994,"2,284",39,61,44,150,127
2021년02월_남_10~19세,"6,078","1,767","1,663","1,967",63,92,71,361,94
2021년02월_남_20~29세,"6,773","2,205","1,694","1,489",183,258,168,634,142
2021년02월_남_30~39세,"7,947","1,830","1,268","3,785",162,196,128,414,164
2021년02월_남_40~49세,"11,129","2,753","2,585","4,019",244,309,220,749,250
2021년02월_남_50~59세,"10,700","3,191","2,681","1,871",492,565,420,"1,178",302
2021년02월_남_60~69세,"7,263","2,244","1,211",802,581,708,483,907,327
2021년02월_남_70~79세,"3,369","1,007",461,327,318,374,261,447,174
2021년02월_남_80~89세,"1,455",479,181,115,163,141,96,194,86
2021년02월_남_90~99세,149,53,16,10,14,11,19,14,12
2021년02월_남_100세 이상,8,3,0,1,0,0,2,1,1
2021년02월_여_총인구수,"54,950","16,670","11,711","14,227","1,945","2,598","1,591","4,678","1,530"
2021년02월_여_연령구간인구수,"54,950","16,670","11,711","14,227","1,945","2,598","1,591","4,678","1,530"
2021년02월_여_0~9세,"4,542","1,127",909,"2,109",39,58,44,160,96
2021년02월_여_10~19세,"5,459","1,628","1,492","1,761",49,79,68,308,74
2021년02월_여_20~29세,"5,131","1,637","1,220","1,422",120,153,76,420,83
2021년02월_여_30~39세,"6,670","1,598","1,205","3,117",105,132,90,272,151
2021년02월_여_40~49세,"9,539","2,687","2,615","2,999",116,184,135,634,169
2021년02월_여_50~59세,"9,044","3,096","2,192","1,281",317,542,304,"1,050",262
2021년02월_여_60~69세,"6,732","2,271","1,076",821,452,634,397,804,277
2021년02월_여_70~79세,"4,327","1,458",590,425,383,406,266,584,215
2021년02월_여_80~89세,"2,991","1,002",366,254,309,326,172,391,171
2021년02월_여_90~99세,484,148,46,34,52,84,37,53,30
2021년02월_여_100세 이상,31,18,0,4,3,0,2,2,2
