카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년09월_계_총인구수,"52,119","21,638","4,570","6,687","1,716","1,743","1,351","2,299","2,368","3,966","5,208",382,191
2021년09월_계_연령구간인구수,"52,119","21,638","4,570","6,687","1,716","1,743","1,351","2,299","2,368","3,966","5,208",382,191
2021년09월_계_0~9세,"3,668","2,017",182,616,83,86,66,82,81,150,280,14,11
2021년09월_계_10~19세,"4,036","2,340",224,509,87,74,58,154,94,154,329,9,4
2021년09월_계_20~29세,"4,707","2,341",320,772,142,116,79,172,106,203,421,27,8
2021년09월_계_30~39세,"4,642","2,253",260,846,146,108,110,119,122,233,419,17,9
2021년09월_계_40~49세,"6,235","3,231",399,839,147,142,101,228,185,348,532,56,27
2021년09월_계_50~59세,"8,431","3,471",798,"1,101",270,276,220,380,328,638,840,80,29
2021년09월_계_60~69세,"8,620","2,925",850,890,330,355,296,417,465,940,985,111,56
2021년09월_계_70~79세,"6,998","1,943",866,698,283,301,249,412,507,830,830,45,34
2021년09월_계_80~89세,"4,215",982,592,370,195,253,150,294,429,413,504,21,12
2021년09월_계_90~99세,542,127,76,44,31,31,22,37,50,57,64,2,1
2021년09월_계_100세 이상,25,8,3,2,2,1,0,4,1,0,4,0,0
2021년09월_남_총인구수,"26,032","10,624","2,287","3,537",902,855,670,"1,162","1,132","1,934","2,577",238,114
2021년09월_남_연령구간인구수,"26,032","10,624","2,287","3,537",902,855,670,"1,162","1,132","1,934","2,577",238,114
2021년09월_남_0~9세,"1,848","1,009",95,323,39,48,29,39,43,71,139,6,7
2021년09월_남_10~19세,"2,114","1,216",121,248,60,39,25,86,58,77,176,5,3
2021년09월_남_20~29세,"2,667","1,256",192,477,80,58,46,103,57,123,252,18,5
2021년09월_남_30~39세,"2,387","1,095",157,469,82,48,55,69,63,124,210,11,4
2021년09월_남_40~49세,"3,480","1,607",256,477,99,96,65,141,114,237,326,43,19
2021년09월_남_50~59세,"4,696","1,800",477,636,159,150,131,250,203,356,457,57,20
2021년09월_남_60~69세,"4,400","1,412",440,475,195,194,148,212,244,461,519,67,33
2021년09월_남_70~79세,"3,027",880,348,307,126,135,117,163,200,370,338,25,18
2021년09월_남_80~89세,"1,303",324,184,120,55,77,49,91,139,102,151,6,5
2021년09월_남_90~99세,110,25,17,5,7,10,5,8,11,13,9,0,0
2021년09월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"26,087","11,014","2,283","3,150",814,888,681,"1,137","1,236","2,032","2,631",144,77
2021년09월_여_연령구간인구수,"26,087","11,014","2,283","3,150",814,888,681,"1,137","1,236","2,032","2,631",144,77
2021년09월_여_0~9세,"1,820","1,008",87,293,44,38,37,43,38,79,141,8,4
2021년09월_여_10~19세,"1,922","1,124",103,261,27,35,33,68,36,77,153,4,1
2021년09월_여_20~29세,"2,040","1,085",128,295,62,58,33,69,49,80,169,9,3
2021년09월_여_30~39세,"2,255","1,158",103,377,64,60,55,50,59,109,209,6,5
2021년09월_여_40~49세,"2,755","1,624",143,362,48,46,36,87,71,111,206,13,8
2021년09월_여_50~59세,"3,735","1,671",321,465,111,126,89,130,125,282,383,23,9
2021년09월_여_60~69세,"4,220","1,513",410,415,135,161,148,205,221,479,466,44,23
2021년09월_여_70~79세,"3,971","1,063",518,391,157,166,132,249,307,460,492,20,16
2021년09월_여_80~89세,"2,912",658,408,250,140,176,101,203,290,311,353,15,7
2021년09월_여_90~99세,432,102,59,39,24,21,17,29,39,44,55,2,1
2021년09월_여_100세 이상,25,8,3,2,2,1,0,4,1,0,4,0,0
