,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년04월_계_총인구수,"62,206","19,426","9,639","13,962","5,617","9,655","3,907"
2021년04월_계_연령구간인구수,"62,206","19,426","9,639","13,962","5,617","9,655","3,907"
2021년04월_계_0~9세,"3,282","1,123",543,625,151,689,151
2021년04월_계_10~19세,"4,561","1,658",769,983,293,658,200
2021년04월_계_20~29세,"6,213","2,196",914,"1,295",537,"1,025",246
2021년04월_계_30~39세,"5,602","1,865",826,"1,151",373,"1,123",264
2021년04월_계_40~49세,"7,848","2,626","1,126","1,917",554,"1,226",399
2021년04월_계_50~59세,"11,213","3,417","1,711","2,647","1,105","1,631",702
2021년04월_계_60~69세,"12,410","3,349","2,058","2,762","1,424","1,820",997
2021년04월_계_70~79세,"6,791","1,916",985,"1,632",740,955,563
2021년04월_계_80~89세,"3,726","1,108",589,833,387,475,334
2021년04월_계_90~99세,524,152,114,113,51,48,46
2021년04월_계_100세 이상,36,16,4,4,2,5,5
2021년04월_남_총인구수,"32,080","9,886","4,950","7,153","2,958","5,133","2,000"
2021년04월_남_연령구간인구수,"32,080","9,886","4,950","7,153","2,958","5,133","2,000"
2021년04월_남_0~9세,"1,648",570,267,322,76,350,63
2021년04월_남_10~19세,"2,403",905,370,512,166,342,108
2021년04월_남_20~29세,"3,576","1,203",508,738,356,632,139
2021년04월_남_30~39세,"3,044",981,455,622,209,628,149
2021년04월_남_40~49세,"4,224","1,409",578,"1,026",318,665,228
2021년04월_남_50~59세,"5,954","1,807",917,"1,428",559,853,390
2021년04월_남_60~69세,"6,414","1,685","1,086","1,388",745,"1,001",509
2021년04월_남_70~79세,"3,222",869,497,755,372,453,276
2021년04월_남_80~89세,"1,440",410,237,330,144,194,125
2021년04월_남_90~99세,141,43,32,30,12,13,11
2021년04월_남_100세 이상,14,4,3,2,1,2,2
2021년04월_여_총인구수,"30,126","9,540","4,689","6,809","2,659","4,522","1,907"
2021년04월_여_연령구간인구수,"30,126","9,540","4,689","6,809","2,659","4,522","1,907"
2021년04월_여_0~9세,"1,634",553,276,303,75,339,88
2021년04월_여_10~19세,"2,158",753,399,471,127,316,92
2021년04월_여_20~29세,"2,637",993,406,557,181,393,107
2021년04월_여_30~39세,"2,558",884,371,529,164,495,115
2021년04월_여_40~49세,"3,624","1,217",548,891,236,561,171
2021년04월_여_50~59세,"5,259","1,610",794,"1,219",546,778,312
2021년04월_여_60~69세,"5,996","1,664",972,"1,374",679,819,488
2021년04월_여_70~79세,"3,569","1,047",488,877,368,502,287
2021년04월_여_80~89세,"2,286",698,352,503,243,281,209
2021년04월_여_90~99세,383,109,82,83,39,35,35
2021년04월_여_100세 이상,22,12,1,2,1,3,3
