카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년06월_계_총인구수,"77,348","32,927","10,067","2,443","3,057","3,133","1,769","2,528","6,684","2,462","4,483","3,469","4,326"
2021년06월_계_연령구간인구수,"77,348","32,927","10,067","2,443","3,057","3,133","1,769","2,528","6,684","2,462","4,483","3,469","4,326"
2021년06월_계_0~9세,"3,471","1,990",560,55,65,77,36,52,256,68,121,95,96
2021년06월_계_10~19세,"5,607","3,301",663,75,160,128,62,133,381,142,245,125,192
2021년06월_계_20~29세,"6,624","3,474","1,111",116,138,168,76,197,469,125,262,204,284
2021년06월_계_30~39세,"5,890","2,789","1,178",136,162,124,79,138,455,133,233,205,258
2021년06월_계_40~49세,"9,256","4,848","1,171",219,272,265,137,232,762,226,410,303,411
2021년06월_계_50~59세,"13,232","5,750","1,529",412,466,535,276,456,"1,291",407,748,580,782
2021년06월_계_60~69세,"15,366","5,606","1,737",606,761,704,493,602,"1,466",569,974,828,"1,020"
2021년06월_계_70~79세,"10,293","3,261","1,168",457,563,582,333,384,908,415,862,626,734
2021년06월_계_80~89세,"6,706","1,683",849,323,412,491,233,290,603,315,564,454,489
2021년06월_계_90~99세,870,215,98,41,55,56,44,41,89,61,62,49,59
2021년06월_계_100세 이상,33,10,3,3,3,3,0,3,4,1,2,0,1
2021년06월_남_총인구수,"38,925","16,380","5,090","1,258","1,553","1,546",893,"1,321","3,335","1,252","2,274","1,766","2,257"
2021년06월_남_연령구간인구수,"38,925","16,380","5,090","1,258","1,553","1,546",893,"1,321","3,335","1,252","2,274","1,766","2,257"
2021년06월_남_0~9세,"1,800","1,036",272,27,39,40,20,28,135,35,61,53,54
2021년06월_남_10~19세,"2,905","1,680",347,37,89,70,38,79,200,73,121,65,106
2021년06월_남_20~29세,"3,783","1,913",620,68,87,90,46,119,288,77,158,133,184
2021년06월_남_30~39세,"3,262","1,473",656,78,99,73,47,85,249,82,137,119,164
2021년06월_남_40~49세,"5,076","2,451",665,156,149,159,83,155,424,134,259,179,262
2021년06월_남_50~59세,"7,136","2,997",803,239,268,306,152,235,673,235,434,344,450
2021년06월_남_60~69세,"7,650","2,707",856,314,396,369,258,319,709,287,487,429,519
2021년06월_남_70~79세,"4,667","1,463",534,213,251,259,160,173,417,193,403,275,326
2021년06월_남_80~89세,"2,433",605,311,121,163,164,85,115,216,118,203,154,178
2021년06월_남_90~99세,207,52,26,4,12,15,4,12,24,18,11,15,14
2021년06월_남_100세 이상,6,3,0,1,0,1,0,1,0,0,0,0,0
2021년06월_여_총인구수,"38,423","16,547","4,977","1,185","1,504","1,587",876,"1,207","3,349","1,210","2,209","1,703","2,069"
2021년06월_여_연령구간인구수,"38,423","16,547","4,977","1,185","1,504","1,587",876,"1,207","3,349","1,210","2,209","1,703","2,069"
2021년06월_여_0~9세,"1,671",954,288,28,26,37,16,24,121,33,60,42,42
2021년06월_여_10~19세,"2,702","1,621",316,38,71,58,24,54,181,69,124,60,86
2021년06월_여_20~29세,"2,841","1,561",491,48,51,78,30,78,181,48,104,71,100
2021년06월_여_30~39세,"2,628","1,316",522,58,63,51,32,53,206,51,96,86,94
2021년06월_여_40~49세,"4,180","2,397",506,63,123,106,54,77,338,92,151,124,149
2021년06월_여_50~59세,"6,096","2,753",726,173,198,229,124,221,618,172,314,236,332
2021년06월_여_60~69세,"7,716","2,899",881,292,365,335,235,283,757,282,487,399,501
2021년06월_여_70~79세,"5,626","1,798",634,244,312,323,173,211,491,222,459,351,408
2021년06월_여_80~89세,"4,273","1,078",538,202,249,327,148,175,387,197,361,300,311
2021년06월_여_90~99세,663,163,72,37,43,41,40,29,65,43,51,34,45
2021년06월_여_100세 이상,27,7,3,2,3,2,0,2,4,1,2,0,1
