,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년07월_계_총인구수,"938,982","234,993","13,514","10,008","11,249","15,669","15,971","13,710","13,739","12,664","16,326","16,044","12,918","10,083","11,371","45,767","4,824","7,908","3,228","218,146","33,747","14,268","7,100","24,932","10,840","24,929","26,174","14,115","12,761","21,289","27,991","485,843","26,726","18,201","10,770","14,181","19,965","31,115","16,167","15,681","32,540","18,842","26,187","13,959","17,892","16,944","29,597","23,957","24,810","28,036","29,055","17,921","31,728","21,569"
2020년07월_계_연령구간인구수,"938,982","234,993","13,514","10,008","11,249","15,669","15,971","13,710","13,739","12,664","16,326","16,044","12,918","10,083","11,371","45,767","4,824","7,908","3,228","218,146","33,747","14,268","7,100","24,932","10,840","24,929","26,174","14,115","12,761","21,289","27,991","485,843","26,726","18,201","10,770","14,181","19,965","31,115","16,167","15,681","32,540","18,842","26,187","13,959","17,892","16,944","29,597","23,957","24,810","28,036","29,055","17,921","31,728","21,569"
2020년07월_계_0~9세,"70,069","15,469",538,743,430,551,797,675,748,411,835,"1,143",626,651,772,"5,168",554,641,186,"13,749","1,619",912,436,"1,320",687,"1,397","1,734",573,612,"1,499","2,960","40,851","2,076","1,295","1,192","1,086","1,516","2,125",938,"1,368","2,495","1,457","2,355","1,068","1,385","1,292","2,360","3,092","2,844","3,056","1,959","1,383","2,294","2,215"
2020년07월_계_10~19세,"88,789","17,482",728,922,665,831,"1,191",949,"1,267",716,"1,114","1,340","1,077",945,499,"4,087",442,525,184,"17,058","2,012",922,480,"2,013","1,079","2,088","1,880","1,000",942,"1,812","2,830","54,249","3,041","2,281","1,992","2,478","1,964","3,310","1,451","1,788","4,399","2,287","3,173","1,870","1,334","1,791","2,131","3,394","3,032","3,187","2,412","1,748","2,818","2,368"
2020년07월_계_20~29세,"132,166","34,133","2,010","1,274","1,737","2,788","2,504","1,962","2,031","1,777","2,377","2,167","1,708","1,416","2,287","5,625",741,"1,308",421,"31,441","5,769","1,584",946,"3,866","1,811","3,613","3,576","1,838","1,840","3,153","3,445","66,592","3,821","2,475",982,"1,891","3,161","4,731","2,103","2,073","4,674","2,857","3,467","1,868","2,816","2,171","4,240","2,351","3,015","3,867","4,188","2,728","4,610","2,503"
2020년07월_계_30~39세,"137,389","34,736","1,822","1,327","1,548","2,226","2,210","1,810","1,672","1,497","2,173","2,282","1,623","1,191","2,723","7,620",921,"1,587",504,"31,350","5,723","1,934","1,130","3,416","1,368","3,053","4,064","1,678","1,626","2,913","4,445","71,303","3,686","2,531",930,"1,579","3,633","5,127","3,033","2,381","4,277","2,415","3,649","1,383","2,935","2,185","5,512","3,227","3,533","4,002","4,733","2,848","4,566","3,138"
2020년07월_계_40~49세,"158,362","36,872","2,035","1,586","1,743","2,156","2,358","2,055","2,227","1,795","2,369","2,515","2,242","1,674","2,024","7,868",760,"1,016",449,"33,746","4,803","2,277","1,069","3,859","1,702","3,905","4,091","2,078","1,862","3,105","4,995","87,744","4,743","3,752","2,669","3,249","3,280","6,018","2,711","2,848","6,469","3,309","4,733","2,475","2,786","2,801","4,451","5,243","4,695","4,763","4,530","3,020","5,160","4,039"
2020년07월_계_50~59세,"155,708","40,452","2,580","1,780","2,164","2,746","2,862","2,607","2,414","2,534","2,962","2,764","2,237","1,760","1,360","7,311",597,"1,256",518,"39,027","5,701","2,679","1,273","4,387","1,858","4,554","4,697","3,004","2,616","4,038","4,220","76,229","4,265","2,787","1,463","2,102","2,902","4,715","2,407","2,435","4,961","3,315","4,148","2,368","2,771","2,614","4,655","3,362","3,924","4,757","4,603","2,927","5,236","3,512"
2020년07월_계_60~69세,"110,213","31,885","2,167","1,425","1,672","2,384","2,263","2,060","1,801","2,174","2,531","2,105","1,813","1,327","1,065","5,123",505,935,535,"30,055","4,587","2,290","1,029","3,522","1,273","3,416","3,660","2,297","1,921","3,001","3,059","48,273","2,817","1,384",755,"1,055","2,047","2,474","1,725","1,363","2,675","1,876","2,550","1,596","2,187","2,209","3,644","1,977","2,274","2,683","3,412","1,759","3,393","2,418"
2020년07월_계_70~79세,"57,368","16,735","1,141",664,936,"1,407","1,222","1,099","1,064","1,219","1,427","1,179","1,147",789,470,"1,994",210,451,316,"15,106","2,448","1,155",482,"1,773",742,"2,048","1,755","1,168",928,"1,218","1,389","25,527","1,451",944,492,470,"1,013","1,661","1,024",823,"1,550",827,"1,360",834,"1,125","1,204","1,697",872,"1,011","1,165","1,990",945,"2,159",910
