카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년12월_계_총인구수,"22,945","8,161","2,253","3,753","2,011","1,933","2,356","1,182","1,296"
2021년12월_계_연령구간인구수,"22,945","8,161","2,253","3,753","2,011","1,933","2,356","1,182","1,296"
2021년12월_계_0~9세,605,381,30,84,40,14,30,16,10
2021년12월_계_10~19세,919,581,41,115,44,30,67,23,18
2021년12월_계_20~29세,"1,379",689,89,234,111,90,92,36,38
2021년12월_계_30~39세,"1,206",586,103,173,92,69,95,47,41
2021년12월_계_40~49세,"2,006","1,049",133,283,125,116,159,62,79
2021년12월_계_50~59세,"4,154","1,517",422,689,383,335,378,197,233
2021년12월_계_60~69세,"5,607","1,567",575,"1,030",548,528,627,326,406
2021년12월_계_70~79세,"3,993","1,047",453,673,362,406,507,255,290
2021년12월_계_80~89세,"2,710",656,357,414,265,314,355,196,153
2021년12월_계_90~99세,351,81,47,58,41,29,43,24,28
2021년12월_계_100세 이상,15,7,3,0,0,2,3,0,0
2021년12월_남_총인구수,"11,761","4,223","1,175","1,937","1,041",968,"1,143",598,676
2021년12월_남_연령구간인구수,"11,761","4,223","1,175","1,937","1,041",968,"1,143",598,676
2021년12월_남_0~9세,330,215,16,44,23,4,12,10,6
2021년12월_남_10~19세,499,324,24,56,31,11,31,12,10
2021년12월_남_20~29세,827,407,51,138,73,57,47,27,27
2021년12월_남_30~39세,709,324,62,96,64,43,58,34,28
2021년12월_남_40~49세,"1,168",561,85,176,79,87,97,37,46
2021년12월_남_50~59세,"2,373",842,251,398,204,190,223,129,136
2021년12월_남_60~69세,"2,986",813,315,568,300,278,308,170,234
2021년12월_남_70~79세,"1,865",488,223,315,161,189,236,113,140
2021년12월_남_80~89세,930,230,133,135,97,104,121,61,49
2021년12월_남_90~99세,73,18,15,11,9,5,10,5,0
2021년12월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년12월_여_총인구수,"11,184","3,938","1,078","1,816",970,965,"1,213",584,620
2021년12월_여_연령구간인구수,"11,184","3,938","1,078","1,816",970,965,"1,213",584,620
2021년12월_여_0~9세,275,166,14,40,17,10,18,6,4
2021년12월_여_10~19세,420,257,17,59,13,19,36,11,8
2021년12월_여_20~29세,552,282,38,96,38,33,45,9,11
2021년12월_여_30~39세,497,262,41,77,28,26,37,13,13
2021년12월_여_40~49세,838,488,48,107,46,29,62,25,33
2021년12월_여_50~59세,"1,781",675,171,291,179,145,155,68,97
2021년12월_여_60~69세,"2,621",754,260,462,248,250,319,156,172
2021년12월_여_70~79세,"2,128",559,230,358,201,217,271,142,150
2021년12월_여_80~89세,"1,780",426,224,279,168,210,234,135,104
2021년12월_여_90~99세,278,63,32,47,32,24,33,19,28
2021년12월_여_100세 이상,14,6,3,0,0,2,3,0,0
