카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년01월_계_총인구수,"114,777","33,437","24,402","30,915","4,207","5,308","3,503","9,785","3,220"
2021년01월_계_연령구간인구수,"114,777","33,437","24,402","30,915","4,207","5,308","3,503","9,785","3,220"
2021년01월_계_0~9세,"9,489","2,323","1,905","4,435",77,119,86,315,229
2021년01월_계_10~19세,"11,545","3,397","3,146","3,728",113,172,141,683,165
2021년01월_계_20~29세,"11,993","3,871","2,937","2,915",308,410,247,"1,079",226
2021년01월_계_30~39세,"14,778","3,458","2,491","7,006",267,334,219,687,316
2021년01월_계_40~49세,"20,646","5,484","5,160","6,977",359,494,356,"1,394",422
2021년01월_계_50~59세,"19,673","6,264","4,852","3,087",812,"1,122",735,"2,236",565
2021년01월_계_60~69세,"13,879","4,485","2,253","1,606","1,032","1,321",865,"1,705",612
2021년01월_계_70~79세,"7,691","2,451","1,061",751,698,782,527,"1,035",386
2021년01월_계_80~89세,"4,421","1,486",536,361,473,459,270,581,255
2021년01월_계_90~99세,622,197,60,44,65,95,53,67,41
2021년01월_계_100세 이상,40,21,1,5,3,0,4,3,3
2021년01월_남_총인구수,"59,819","16,745","12,736","16,681","2,263","2,715","1,912","5,079","1,688"
2021년01월_남_연령구간인구수,"59,819","16,745","12,736","16,681","2,263","2,715","1,912","5,079","1,688"
2021년01월_남_0~9세,"4,905","1,188",995,"2,298",39,60,43,154,128
2021년01월_남_10~19세,"6,096","1,765","1,660","1,978",62,95,73,368,95
2021년01월_남_20~29세,"6,813","2,223","1,706","1,478",186,258,167,652,143
2021년01월_남_30~39세,"8,037","1,846","1,272","3,853",164,199,128,413,162
2021년01월_남_40~49세,"11,134","2,779","2,578","4,004",245,306,222,748,252
2021년01월_남_50~59세,"10,674","3,178","2,675","1,833",494,573,429,"1,188",304
2021년01월_남_60~69세,"7,203","2,230","1,196",788,583,696,472,901,337
2021년01월_남_70~79세,"3,355","1,001",459,326,313,377,261,448,170
2021년01월_남_80~89세,"1,452",481,179,112,163,140,98,193,86
2021년01월_남_90~99세,142,51,16,10,14,11,17,13,10
2021년01월_남_100세 이상,8,3,0,1,0,0,2,1,1
2021년01월_여_총인구수,"54,958","16,692","11,666","14,234","1,944","2,593","1,591","4,706","1,532"
2021년01월_여_연령구간인구수,"54,958","16,692","11,666","14,234","1,944","2,593","1,591","4,706","1,532"
2021년01월_여_0~9세,"4,584","1,135",910,"2,137",38,59,43,161,101
2021년01월_여_10~19세,"5,449","1,632","1,486","1,750",51,77,68,315,70
2021년01월_여_20~29세,"5,180","1,648","1,231","1,437",122,152,80,427,83
2021년01월_여_30~39세,"6,741","1,612","1,219","3,153",103,135,91,274,154
2021년01월_여_40~49세,"9,512","2,705","2,582","2,973",114,188,134,646,170
2021년01월_여_50~59세,"8,999","3,086","2,177","1,254",318,549,306,"1,048",261
2021년01월_여_60~69세,"6,676","2,255","1,057",818,449,625,393,804,275
2021년01월_여_70~79세,"4,336","1,450",602,425,385,405,266,587,216
2021년01월_여_80~89세,"2,969","1,005",357,249,310,319,172,388,169
2021년01월_여_90~99세,480,146,44,34,51,84,36,54,31
2021년01월_여_100세 이상,32,18,1,4,3,0,2,2,2
