카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년07월_계_총인구수,"147,355","12,509","9,288","10,868","17,343","11,630","11,443","11,168","11,285","8,147","9,728","16,012","9,405","8,529"
2020년07월_계_연령구간인구수,"147,355","12,509","9,288","10,868","17,343","11,630","11,443","11,168","11,285","8,147","9,728","16,012","9,405","8,529"
2020년07월_계_0~9세,"7,021",843,406,685,884,553,404,386,485,305,571,820,347,332
2020년07월_계_10~19세,"9,637","1,058",529,893,"1,394",779,701,649,646,455,641,931,512,449
2020년07월_계_20~29세,"20,386","1,249","1,124","1,101","2,084","1,748","2,087","1,535","1,654","1,558","1,415","2,417","1,399","1,015"
2020년07월_계_30~39세,"17,478","1,341","1,178","1,126","1,951","1,442","1,410","1,161","1,236",978,"1,368","2,198","1,155",934
2020년07월_계_40~49세,"20,625","2,046","1,367","1,496","2,622","1,623","1,488","1,531","1,412","1,004","1,433","2,324","1,199","1,080"
2020년07월_계_50~59세,"25,268","1,977","1,661","1,835","2,961","2,059","1,837","2,059","2,058","1,330","1,567","2,729","1,644","1,551"
2020년07월_계_60~69세,"23,655","1,748","1,476","1,847","2,782","1,812","1,706","1,951","2,028","1,216","1,422","2,357","1,627","1,683"
2020년07월_계_70~79세,"15,148","1,386",943,"1,154","1,670","1,098","1,195","1,285","1,217",852,854,"1,508",995,991
2020년07월_계_80~89세,"7,147",733,540,625,885,441,547,538,490,399,403,630,472,444
2020년07월_계_90~99세,907,120,57,100,99,72,62,63,51,45,50,88,53,47
2020년07월_계_100세 이상,83,8,7,6,11,3,6,10,8,5,4,10,2,3
2020년07월_남_총인구수,"70,816","5,922","4,458","5,218","8,221","5,664","5,416","5,568","5,516","3,876","4,655","7,789","4,450","4,063"
2020년07월_남_연령구간인구수,"70,816","5,922","4,458","5,218","8,221","5,664","5,416","5,568","5,516","3,876","4,655","7,789","4,450","4,063"
2020년07월_남_0~9세,"3,634",464,199,358,470,285,200,208,242,175,280,414,178,161
2020년07월_남_10~19세,"5,078",570,292,462,709,425,334,346,360,241,332,499,271,237
2020년07월_남_20~29세,"10,266",642,538,587,"1,061",884,987,807,867,697,710,"1,253",690,543
2020년07월_남_30~39세,"9,146",672,629,577,993,749,740,652,686,511,679,"1,122",606,530
2020년07월_남_40~49세,"10,374",989,701,707,"1,230",836,774,847,739,539,698,"1,172",603,539
2020년07월_남_50~59세,"12,265",973,830,870,"1,461",968,901,"1,068",997,648,773,"1,302",762,712
2020년07월_남_60~69세,"10,801",766,678,859,"1,236",842,792,892,926,554,664,"1,097",737,758
2020년07월_남_70~79세,"6,437",542,381,519,693,499,490,549,531,353,373,658,433,416
2020년07월_남_80~89세,"2,569",273,195,245,341,158,176,187,154,147,137,245,155,156
2020년07월_남_90~99세,228,31,13,32,25,18,19,11,11,10,9,25,14,10
2020년07월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년07월_여_총인구수,"76,539","6,587","4,830","5,650","9,122","5,966","6,027","5,600","5,769","4,271","5,073","8,223","4,955","4,466"
2020년07월_여_연령구간인구수,"76,539","6,587","4,830","5,650","9,122","5,966","6,027","5,600","5,769","4,271","5,073","8,223","4,955","4,466"
2020년07월_여_0~9세,"3,387",379,207,327,414,268,204,178,243,130,291,406,169,171
2020년07월_여_10~19세,"4,559",488,237,431,685,354,367,303,286,214,309,432,241,212
2020년07월_여_20~29세,"10,120",607,586,514,"1,023",864,"1,100",728,787,861,705,"1,164",709,472
2020년07월_여_30~39세,"8,332",669,549,549,958,693,670,509,550,467,689,"1,076",549,404
2020년07월_여_40~49세,"10,251","1,057",666,789,"1,392",787,714,684,673,465,735,"1,152",596,541
2020년07월_여_50~59세,"13,003","1,004",831,965,"1,500","1,091",936,991,"1,061",682,794,"1,427",882,839
2020년07월_여_60~69세,"12,854",982,798,988,"1,546",970,914,"1,059","1,102",662,758,"1,260",890,925
2020년07월_여_70~79세,"8,711",844,562,635,977,599,705,736,686,499,481,850,562,575
2020년07월_여_80~89세,"4,578",460,345,380,544,283,371,351,336,252,266,385,317,288
2020년07월_여_90~99세,679,89,44,68,74,54,43,52,40,35,41,63,39,37
2020년07월_여_100세 이상,65,8,5,4,9,3,3,9,5,4,4,8,1,2
