,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년06월_계_총인구수,"481,436","22,872","15,122","18,511","16,811","16,454","12,761","26,761","19,154","12,497","24,211","22,012","25,344","11,147","15,357","22,196","41,422","15,876","51,172","3,848","17,196","37,052","13,238","20,422"
2020년06월_계_연령구간인구수,"481,436","22,872","15,122","18,511","16,811","16,454","12,761","26,761","19,154","12,497","24,211","22,012","25,344","11,147","15,357","22,196","41,422","15,876","51,172","3,848","17,196","37,052","13,238","20,422"
2020년06월_계_0~9세,"39,613","2,236",736,932,"1,175","1,059",695,"1,658","1,287",915,"2,036","1,240","1,558",427,839,"1,923","5,630","1,327","6,535",106,"1,605","3,415","1,035","1,244"
2020년06월_계_10~19세,"50,868","3,099","1,089","1,528","1,546","1,283",656,"2,440","1,328","1,161","2,699","1,772","2,207",620,"1,371","2,804","4,673","1,684","6,381",161,"3,427","4,543","1,432","2,964"
2020년06월_계_20~29세,"74,125","2,871","2,397","2,605","2,200","2,224","2,552","5,232","4,333","1,689","3,177","4,241","5,618","2,724","1,967","2,942","4,957","2,805","6,862",295,"1,695","5,593","2,389","2,757"
2020년06월_계_30~39세,"67,440","2,822","1,602","1,958","1,819","2,086","2,213","4,415","3,567","1,593","2,893","3,510","4,266","1,832","1,599","2,689","6,876","2,077","8,582",291,"1,464","5,498","2,040","1,748"
2020년06월_계_40~49세,"79,699","4,346","1,849","2,551","2,427","2,365","1,710","4,473","2,876","1,914","4,142","3,261","3,883","1,601","2,072","3,599","7,681","2,420","9,565",413,"4,015","6,685","2,262","3,589"
2020년06월_계_50~59세,"78,041","3,476","2,698","3,268","3,211","2,978","1,909","4,382","2,536","2,011","3,906","3,545","4,101","1,898","2,960","4,071","5,662","2,843","7,264",728,"2,440","6,322","2,219","3,613"
2020년06월_계_60~69세,"53,252","2,351","2,626","3,126","2,559","2,518","1,656","2,491","1,876","1,763","3,055","2,802","2,371","1,236","2,448","2,760","3,678","1,495","3,495",753,"1,331","3,246","1,160","2,456"
2020년06월_계_70~79세,"25,513","1,173","1,474","1,709","1,225","1,342",921,"1,070",932,988,"1,592","1,138",881,551,"1,275",896,"1,528",790,"1,645",614,814,"1,132",461,"1,362"
2020년06월_계_80~89세,"11,147",431,577,732,565,515,391,536,365,400,635,434,409,220,695,449,617,377,730,391,349,534,198,597
2020년06월_계_90~99세,"1,652",65,70,97,82,78,54,62,51,60,69,61,50,35,129,62,116,57,101,90,54,80,42,87
