,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년08월_계_총인구수,"875,987","84,334","17,454","87,731","42,895","7,028","5,824","6,990","10,958","7,172","10,067","10,324","4,040","11,535","22,993","43,690","35,893","24,074","32,070","13,533","23,049","51,168","35,348","41,972","52,747","43,811","35,058","85,550","28,679"
2021년08월_계_연령구간인구수,"875,987","84,334","17,454","87,731","42,895","7,028","5,824","6,990","10,958","7,172","10,067","10,324","4,040","11,535","22,993","43,690","35,893","24,074","32,070","13,533","23,049","51,168","35,348","41,972","52,747","43,811","35,058","85,550","28,679"
2021년08월_계_0~9세,"102,341","8,282",858,"10,390","4,061",248,212,244,442,172,308,362,94,388,"4,167","4,170","3,824","2,245","4,100","1,197","1,671","6,010","3,998","5,522","8,565","6,236","5,017","14,351","5,207"
2021년08월_계_10~19세,"99,539","10,053","1,426","10,313","3,674",453,322,389,773,290,454,583,166,729,"2,359","3,859","3,656","3,909","4,028","1,789","2,175","6,887","6,563","5,331","9,164","4,362","3,502","9,697","2,633"
2021년08월_계_20~29세,"107,983","10,601","1,787","10,644","5,887",797,574,745,"1,003",543,991,"1,037",414,"1,338","2,390","7,207","6,000","3,028","3,972","1,692","3,127","8,106","3,737","6,333","4,254","5,293","5,038","8,731","2,714"
2021년08월_계_30~39세,"150,854","11,908","1,587","15,547","7,260",625,516,784,896,527,"1,045",911,380,"1,190","4,870","8,613","6,430","2,886","5,621","1,490","2,865","9,446","3,910","8,188","8,457","10,651","7,976","18,823","7,452"
2021년08월_계_40~49세,"168,926","16,148","2,720","17,852","7,014",906,674,982,"1,411",798,"1,457","1,296",474,"1,584","4,543","7,806","6,266","5,225","6,052","2,604","3,917","10,151","8,654","8,393","13,332","8,502","6,826","17,820","5,519"
2021년08월_계_50~59세,"119,739","12,963","3,515","11,346","6,658","1,444","1,174","1,437","2,102","1,559","2,281","2,116",896,"2,424","2,862","6,017","4,910","3,407","4,494","2,307","4,117","6,639","4,886","4,354","5,743","4,464","3,868","9,070","2,686"
2021년08월_계_60~69세,"76,287","8,676","2,956","6,980","5,074","1,390","1,237","1,289","2,220","1,791","2,067","2,174",904,"2,160","1,369","3,724","2,908","1,830","2,689","1,432","3,156","2,514","2,137","2,176","2,160","2,731","1,882","4,942","1,719"
2021년08월_계_70~79세,"32,764","3,855","1,605","2,997","2,118",726,634,694,"1,219",852,853,"1,102",410,"1,020",271,"1,539","1,320","1,039",732,716,"1,360",972,"1,019","1,177",741,"1,082",660,"1,531",520
2021년08월_계_80~89세,"15,327","1,611",882,"1,482",972,391,397,366,752,553,522,678,270,603,143,668,509,454,334,270,582,394,406,442,281,418,246,501,200
2021년08월_계_90~99세,"2,145",224,115,173,171,48,82,56,133,85,85,64,31,91,18,84,69,50,48,36,72,47,36,55,50,70,42,81,29
2021년08월_계_100세 이상,82,13,3,7,6,0,2,4,7,2,4,1,1,8,1,3,1,1,0,0,7,2,2,1,0,2,1,3,0
2021년08월_남_총인구수,"455,268","42,819","9,550","47,049","23,444","3,724","3,328","4,209","5,927","3,955","6,088","5,975","2,495","6,688","11,535","23,682","18,481","11,729","16,205","6,922","12,192","26,395","17,417","21,663","26,244","22,050","18,178","42,880","14,444"
2021년08월_남_연령구간인구수,"455,268","42,819","9,550","47,049","23,444","3,724","3,328","4,209","5,927","3,955","6,088","5,975","2,495","6,688","11,535","23,682","18,481","11,729","16,205","6,922","12,192","26,395","17,417","21,663","26,244","22,050","18,178","42,880","14,444"
2021년08월_남_0~9세,"52,311","4,133",465,"5,368","2,103",130,123,142,227,83,160,197,60,201,"2,055","2,127","2,011","1,140","2,084",613,856,"3,034","2,052","2,852","4,333","3,209","2,577","7,316","2,660"
2021년08월_남_10~19세,"50,782","5,021",740,"5,289","1,888",245,173,216,411,156,235,322,87,396,"1,148","1,994","1,872","1,954","2,089",915,"1,144","3,512","3,284","2,759","4,647","2,217","1,812","4,934","1,322"
