,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년08월_계_총인구수,"44,833","5,469","3,616","12,063","15,470","1,994","3,853","2,259",109,0,0,0,0
2020년08월_계_연령구간인구수,"44,833","5,469","3,616","12,063","15,470","1,994","3,853","2,259",109,0,0,0,0
2020년08월_계_0~9세,"3,373",428,369,813,"1,183",161,239,180,0,0,0,0,0
2020년08월_계_10~19세,"3,847",504,258,"1,021","1,462",103,357,139,3,0,0,0,0
2020년08월_계_20~29세,"5,861",693,558,"1,634","1,829",408,454,282,3,0,0,0,0
2020년08월_계_30~39세,"4,732",571,458,"1,224","1,606",234,379,256,4,0,0,0,0
2020년08월_계_40~49세,"5,755",697,385,"1,637","2,078",202,544,203,9,0,0,0,0
2020년08월_계_50~59세,"7,310",907,494,"2,072","2,570",241,656,355,15,0,0,0,0
2020년08월_계_60~69세,"6,570",744,488,"1,794","2,269",274,578,401,22,0,0,0,0
2020년08월_계_70~79세,"4,792",613,372,"1,225","1,614",230,397,300,41,0,0,0,0
2020년08월_계_80~89세,"2,191",273,199,536,720,116,209,126,12,0,0,0,0
2020년08월_계_90~99세,356,37,33,97,117,20,36,16,0,0,0,0,0
2020년08월_계_100세 이상,46,2,2,10,22,5,4,1,0,0,0,0,0
2020년08월_남_총인구수,"23,280","2,792","1,926","6,466","7,791","1,109","1,940","1,206",50,0,0,0,0
2020년08월_남_연령구간인구수,"23,280","2,792","1,926","6,466","7,791","1,109","1,940","1,206",50,0,0,0,0
2020년08월_남_0~9세,"1,711",198,212,407,587,79,127,101,0,0,0,0,0
2020년08월_남_10~19세,"1,993",281,131,558,717,59,178,67,2,0,0,0,0
2020년08월_남_20~29세,"3,804",421,369,"1,117","1,103",302,285,206,1,0,0,0,0
2020년08월_남_30~39세,"2,592",311,250,691,850,145,198,145,2,0,0,0,0
2020년08월_남_40~49세,"3,096",377,220,880,"1,079",120,297,117,6,0,0,0,0
2020년08월_남_50~59세,"3,885",490,272,"1,109","1,355",128,337,185,9,0,0,0,0
2020년08월_남_60~69세,"3,187",347,243,895,"1,086",133,267,209,7,0,0,0,0
2020년08월_남_70~79세,"2,133",264,147,575,728,100,172,131,16,0,0,0,0
2020년08월_남_80~89세,791,95,77,210,251,36,75,40,7,0,0,0,0
2020년08월_남_90~99세,76,8,5,20,30,5,3,5,0,0,0,0,0
2020년08월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년08월_여_총인구수,"21,553","2,677","1,690","5,597","7,679",885,"1,913","1,053",59,0,0,0,0
2020년08월_여_연령구간인구수,"21,553","2,677","1,690","5,597","7,679",885,"1,913","1,053",59,0,0,0,0
2020년08월_여_0~9세,"1,662",230,157,406,596,82,112,79,0,0,0,0,0
2020년08월_여_10~19세,"1,854",223,127,463,745,44,179,72,1,0,0,0,0
2020년08월_여_20~29세,"2,057",272,189,517,726,106,169,76,2,0,0,0,0
2020년08월_여_30~39세,"2,140",260,208,533,756,89,181,111,2,0,0,0,0
2020년08월_여_40~49세,"2,659",320,165,757,999,82,247,86,3,0,0,0,0
2020년08월_여_50~59세,"3,425",417,222,963,"1,215",113,319,170,6,0,0,0,0
2020년08월_여_60~69세,"3,383",397,245,899,"1,183",141,311,192,15,0,0,0,0
2020년08월_여_70~79세,"2,659",349,225,650,886,130,225,169,25,0,0,0,0
2020년08월_여_80~89세,"1,400",178,122,326,469,80,134,86,5,0,0,0,0
2020년08월_여_90~99세,280,29,28,77,87,15,33,11,0,0,0,0,0
2020년08월_여_100세 이상,34,2,2,6,17,3,3,1,0,0,0,0,0
