,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년08월_계_총인구수,"370,053","25,254","37,300","21,242","21,653","14,492","16,475","22,642","24,972","25,072","17,562","20,338","18,673","15,151","18,983","39,621","30,623"
2021년08월_계_연령구간인구수,"370,053","25,254","37,300","21,242","21,653","14,492","16,475","22,642","24,972","25,072","17,562","20,338","18,673","15,151","18,983","39,621","30,623"
2021년08월_계_0~9세,"24,017","2,714","2,197","1,445","2,150",653,"1,444","1,679","1,759",813,956,983,"1,112",581,874,"2,337","2,320"
2021년08월_계_10~19세,"27,982","1,661","2,223","1,545","2,042",839,"1,523","1,833","1,736","1,190",920,"1,282","1,540",770,"1,420","3,384","4,074"
2021년08월_계_20~29세,"62,040","3,093","6,241","2,894","2,204","3,592","2,464","3,406","5,036","6,306","3,349","3,372","2,823","3,236","3,142","6,562","4,320"
2021년08월_계_30~39세,"63,774","4,904","6,522","3,580","3,671","2,420","2,594","3,596","4,145","5,390","3,614","3,843","2,886","3,029","3,263","6,551","3,766"
2021년08월_계_40~49세,"60,257","4,305","5,307","3,096","4,331","2,049","3,039","3,811","3,930","3,665","2,622","3,177","3,185","2,246","3,269","6,319","5,906"
2021년08월_계_50~59세,"54,664","3,831","6,270","3,439","3,032","2,043","2,451","3,582","3,649","3,068","2,352","2,941","2,812","1,972","2,842","5,834","4,546"
2021년08월_계_60~69세,"40,713","2,804","4,580","2,747","2,206","1,500","1,539","2,502","2,573","2,278","1,944","2,442","2,201","1,712","2,256","4,360","3,069"
2021년08월_계_70~79세,"23,603","1,184","2,516","1,509","1,282",865,886,"1,454","1,362","1,486","1,189","1,553","1,452","1,008","1,300","2,859","1,698"
2021년08월_계_80~89세,"11,319",647,"1,289",853,629,447,473,681,686,742,532,655,592,510,558,"1,224",801
2021년08월_계_90~99세,"1,577",102,142,132,103,71,50,93,94,125,82,85,64,82,56,183,113
2021년08월_계_100세 이상,107,9,13,2,3,13,12,5,2,9,2,5,6,5,3,8,10
2021년08월_남_총인구수,"174,204","11,847","17,531","10,162","10,228","7,004","7,948","11,016","11,892","11,509","8,130","9,563","8,774","7,169","8,903","17,974","14,554"
2021년08월_남_연령구간인구수,"174,204","11,847","17,531","10,162","10,228","7,004","7,948","11,016","11,892","11,509","8,130","9,563","8,774","7,169","8,903","17,974","14,554"
2021년08월_남_0~9세,"12,264","1,331","1,159",775,"1,044",352,733,850,923,409,494,495,571,287,431,"1,176","1,234"
2021년08월_남_10~19세,"14,080",798,"1,108",795,989,442,769,986,867,567,451,643,762,418,686,"1,761","2,038"
