,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년06월_계_총인구수,"43,042","7,787","19,222","3,163","3,848","2,616","1,758","1,004","2,720",195,729
2021년06월_계_연령구간인구수,"43,042","7,787","19,222","3,163","3,848","2,616","1,758","1,004","2,720",195,729
2021년06월_계_0~9세,"2,622",682,"1,496",91,119,81,45,23,58,5,22
2021년06월_계_10~19세,"3,106",432,"1,923",167,183,141,66,45,103,11,35
2021년06월_계_20~29세,"5,268","1,227","2,413",325,451,233,130,73,317,43,56
2021년06월_계_30~39세,"4,161",998,"2,159",185,258,171,127,61,146,13,43
2021년06월_계_40~49세,"4,819",788,"2,624",277,383,236,130,76,227,16,62
2021년06월_계_50~59세,"6,974","1,037","3,165",566,673,491,323,150,408,30,131
2021년06월_계_60~69세,"7,821","1,154","2,873",715,879,587,496,244,666,38,169
2021년06월_계_70~79세,"4,956",860,"1,529",490,542,423,252,211,494,24,131
2021년06월_계_80~89세,"2,877",518,876,312,316,236,162,110,266,13,68
2021년06월_계_90~99세,414,86,157,32,41,16,25,10,33,2,12
2021년06월_계_100세 이상,24,5,7,3,3,1,2,1,2,0,0
2021년06월_남_총인구수,"22,537","4,210","9,783","1,684","2,043","1,401",942,535,"1,449",116,374
2021년06월_남_연령구간인구수,"22,537","4,210","9,783","1,684","2,043","1,401",942,535,"1,449",116,374
2021년06월_남_0~9세,"1,324",333,763,47,53,41,24,16,29,3,15
2021년06월_남_10~19세,"1,640",244,983,90,104,83,38,28,47,5,18
2021년06월_남_20~29세,"3,348",846,"1,371",225,324,145,82,45,237,37,36
2021년06월_남_30~39세,"2,367",590,"1,170",110,165,104,72,34,92,7,23
2021년06월_남_40~49세,"2,637",446,"1,338",170,227,132,80,52,141,9,42
2021년06월_남_50~59세,"3,765",589,"1,648",313,371,274,177,81,231,16,65
2021년06월_남_60~69세,"4,049",581,"1,472",386,445,311,281,127,337,22,87
2021년06월_남_70~79세,"2,252",367,703,225,232,204,111,102,235,12,61
2021년06월_남_80~89세,"1,034",186,288,107,111,102,69,48,91,5,27
2021년06월_남_90~99세,113,27,44,10,11,5,7,1,8,0,0
2021년06월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년06월_여_총인구수,"20,505","3,577","9,439","1,479","1,805","1,215",816,469,"1,271",79,355
2021년06월_여_연령구간인구수,"20,505","3,577","9,439","1,479","1,805","1,215",816,469,"1,271",79,355
2021년06월_여_0~9세,"1,298",349,733,44,66,40,21,7,29,2,7
2021년06월_여_10~19세,"1,466",188,940,77,79,58,28,17,56,6,17
2021년06월_여_20~29세,"1,920",381,"1,042",100,127,88,48,28,80,6,20
2021년06월_여_30~39세,"1,794",408,989,75,93,67,55,27,54,6,20
2021년06월_여_40~49세,"2,182",342,"1,286",107,156,104,50,24,86,7,20
2021년06월_여_50~59세,"3,209",448,"1,517",253,302,217,146,69,177,14,66
2021년06월_여_60~69세,"3,772",573,"1,401",329,434,276,215,117,329,16,82
2021년06월_여_70~79세,"2,704",493,826,265,310,219,141,109,259,12,70
2021년06월_여_80~89세,"1,843",332,588,205,205,134,93,62,175,8,41
2021년06월_여_90~99세,301,59,113,22,30,11,18,9,25,2,12
2021년06월_여_100세 이상,16,4,4,2,3,1,1,0,1,0,0
